,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Ppp1r14c,0.3692189,0.4796448,-0.38588452,0.9248134,-0.17203076,-0.3439646,-0.8363959,-0.58565575,-0.09539764,0.4322347,-0.06699593,-0.27892804,0.0696537,-0.47878692,-0.763956,-0.75434744,-0.69265646,0.37255588,0.117084734
Plekhg1,-1.4636613,-0.8131672,1.163794,-2.5279925,0.51816106,1.668879,-1.4585676,-1.0085753,-0.35809028,-0.9335698,0.6575597,-1.1284622,0.62257826,-0.6244932,0.9774148,-0.7610589,-0.52009374,-0.8828394,-0.8032973
ENSMUSG00000096054,-0.49320942,-0.104339994,-0.5631728,0.32487217,-0.21338317,-1.2958226,0.35478267,0.2171451,0.075492,-0.24116953,-0.025874695,-0.11653732,-0.77410203,0.37515423,0.010456873,0.054785084,0.28216374,-0.33660832,0.11263333
Vip,-0.44001234,-0.93163353,0.07733249,1.8702478,-0.6191041,-0.60592437,-0.88565844,-0.738298,1.1288466,0.042111687,0.72520345,-0.9051856,-0.29172426,-0.24531026,-0.596864,0.33937335,-0.8960196,-0.7032191,0.4792388
Rgs17,-0.09015354,0.21645933,-0.35468337,-0.32235587,-0.44500914,-1.3676522,0.4651123,0.3692014,0.36290863,0.14326549,-0.57660884,0.64340866,0.3417281,-0.37017334,-0.056501437,-0.3809282,0.37000346,0.45435858,0.051857483
Lrp11,0.2480814,0.054359447,-0.6933255,0.48903835,-0.81317276,-1.5394492,0.033437364,-0.09108088,0.3096804,-0.16362442,0.17513128,-0.05039043,-1.3165139,-0.056248374,-0.8727928,0.015763978,-0.09089844,0.3258353,0.39474508
Pcmt1,-0.04191153,0.17432752,-0.4928269,0.17809223,-0.31421363,-0.6427609,-0.20653115,-0.10051837,0.20747122,0.0582903,-0.4400718,-0.23760669,-0.008572,-0.7051848,-0.3579775,0.17212641,-0.025405832,0.3101987,0.23934135
Katna1,-0.11570557,-0.058097698,0.10107353,-0.011132966,0.5032671,-0.38178134,-0.009235524,-0.025910247,0.07505732,-0.022962615,-0.32442033,0.094950736,-0.016435169,-0.17375565,0.00955592,0.0065067587,-0.014226906,-0.15868294,0.058676917
Ginm1,-0.16374277,-0.21761996,0.2291362,-0.7835922,1.1730462,0.8749412,-0.5758501,-0.884253,-0.37404355,0.14817417,-0.4284424,-0.28834996,1.0344284,-0.7780035,0.42806572,-0.26968932,-0.16743724,0.21345389,-0.36272526
Ppil4,0.021214167,-0.26200613,-0.50098747,0.036662944,-0.19115782,-0.31536663,0.43116352,0.005035553,-0.071512714,-0.29561275,-0.7384149,0.23926027,-0.9061979,0.15361309,0.07279424,-0.0041364064,0.064014055,-0.5173137,0.12872104
