,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 6
ANKRD65,0.033211887,0.088431895,-1.1501968,-0.740328,-0.16703384,0.13360079,-0.0068034576,-0.13162455,-0.012673529,0.040472284,-0.026046809,-0.0065558967
ATAD3B,0.030494563,0.5119773,-0.25628927,-0.38100263,-0.14350043,-0.05557696,-0.006201214,-0.2545405,0.0083953235,0.033706747,-0.04256254,-0.01249103
MIB2,-0.0025334517,0.014122045,-0.37958118,-0.0075660706,-4.452521e-05,-0.016612966,-0.0006513901,0.2478988,-0.0029725132,-0.0021702696,-0.0009061567,-0.0013205757
NADK,-0.07827557,-0.5842015,0.50763136,0.31876904,0.09693321,0.39376053,-0.01782803,0.83395684,0.009682737,-0.017074676,0.0107536465,-0.007997427
PRKCZ,-0.47894028,-0.08772363,-1.2482837,0.93567395,0.067196384,-0.00591042,-0.0027533458,-1.8056195,0.08744821,-0.027176626,-0.013904131,0.010681131
PANK4,-0.0077085644,0.09052124,-1.2260823,-0.3444233,0.00924514,-0.04929936,0.0048422054,-2.1823769,-0.012079282,-0.0059748837,0.0033902891,0.000102053105
KCNAB2,0.010462113,0.03703466,-0.79866964,-0.06736039,-0.04444085,-0.034298684,0.0007673733,-1.1727499,-0.006775533,0.025276551,-0.010291998,-0.005982369
TNFRSF25,0.03320902,0.607754,-2.1321359,-0.025511444,-0.0012902601,-1.1116697,-0.016091648,-1.7955401,-0.029555773,0.13899308,0.027697187,-0.02223117
PLEKHG5,-0.40998542,-1.8761659,0.18984102,0.8907263,0.79836565,-1.1724085,-0.003850033,0.18402396,0.16014275,-0.479117,0.17971452,0.047259018
ERRFI1,0.9013897,-1.0291736,-0.2575426,-1.3682228,-1.1147625,-1.847554,0.08221321,-1.5157074,0.04587991,-0.09548792,-0.06462114,-0.16893154
ENO1,-0.028036943,0.15282105,-0.17348999,-0.1344983,0.0058551854,0.055253338,-0.008353671,-0.61377656,0.009396827,0.014986105,-0.031380713,-0.0031097233
H6PD,0.0032641918,-0.011540909,0.20775041,0.0129594505,-0.00042759939,0.008808372,-0.0029238581,0.18897854,-0.00030704148,0.0027294627,-0.01882029,0.0002344104
SPSB1,-0.25024226,-0.5046159,1.6839383,0.6974646,-0.02009118,0.19749045,-0.21805754,1.3488859,0.0348835,-0.12346256,-0.0960721,-0.043187927
PIK3CD,0.10635028,0.081691206,-2.2847779,-0.59498775,-0.009001165,-0.14338188,0.0151467025,-1.7654743,-0.09487542,0.06488869,-0.0067918776,-0.0045889765
CTNNBIP1,-0.01333113,0.041113913,0.5592028,-0.24183023,-0.008395537,-0.049377166,-0.00075267476,0.7868596,-0.0027135527,-0.001989468,0.005819957,-0.0001349306
PGD,-0.06341776,-0.04267545,0.89673024,-0.41000408,0.0024669098,0.069284774,-0.026403088,1.3082849,-0.051981032,-0.014590919,-0.029251758,-0.0010605885
MTOR,-0.0074763466,0.17305993,-0.37766337,-1.4755677,0.009861502,-0.0020757387,-0.0011945904,-0.39092422,-0.02995601,-0.0034430362,-0.002896981,-0.00063503854
UBIAD1,0.0034468519,0.10190751,-1.51943,-1.7694844,0.0071405102,-0.042240616,-0.0010183329,-0.40667242,-0.033411786,-0.0039828233,-0.02280405,-0.002912709
FBXO44,0.20362246,0.07214551,-1.3164243,-0.4635129,-0.17513365,-0.19051002,0.018299295,-1.0668361,-0.026160242,0.051300228,-0.0968706,-0.004325445
AGTRAP,-0.03578543,-0.32401055,-0.99232864,0.4320442,0.16034773,-0.72005576,0.019983837,-0.6596602,-0.0008263411,-0.032531567,-0.011710315,0.035667457
KIAA2013,-0.0036326656,-0.14741877,-0.46748176,-0.2820971,0.046174757,-0.018400284,0.008044619,-0.06985682,0.005986453,-0.017041989,-0.004178935,0.005184767
MFN2,-0.37514687,0.06250128,0.7926789,0.9094659,0.0013973416,-0.021593802,-0.0048180134,-0.10792499,-0.0030063633,-0.041646086,0.022049274,0.003304002
MIIP,0.010890833,0.035766616,-0.2356217,-0.92754436,-0.0059113465,0.021814244,3.4815446e-05,0.044572104,-0.0004863166,-0.00019772889,-0.0053702565,-0.0016641568
TNFRSF1B,-0.19722076,0.19273782,0.41458353,0.30179316,0.0055222264,0.0033727463,-0.005217074,-0.14751938,0.00016343313,-0.005875023,-0.007729617,0.0018855046
VPS13D,0.0085524805,-0.004848224,-0.12794685,-0.09866043,-0.0034094835,0.023949444,-0.0034101426,-1.2273226,-0.00023843936,-7.461602e-05,-0.010020521,0.0020394404
DHRS3,-0.055403966,0.029793935,1.3195002,0.31479928,-0.06128161,-0.4906425,-0.0057308567,1.5360161,-0.012651354,-0.033640493,-0.076290146,-0.025072299
EFHD2,-0.6233354,-0.21356317,0.31044984,0.4963093,0.020681215,-0.0599776,0.00040444257,0.016651133,0.04963073,-0.08263161,0.01074019,0.021109562
ZBTB17,-0.013398674,-0.021693125,-0.53817445,-0.08733172,0.07018585,0.09719027,-0.007002944,-0.97026765,0.0024912064,-0.0062556276,-0.008041826,-0.0001768634
FBXO42,0.008964223,-0.077887274,-0.44526213,0.27451578,0.003928088,-0.06829325,0.0028121846,-0.12510754,0.0017432618,0.0015235385,0.00379714,-0.00089329155
SZRD1,-0.027595235,-0.031763792,0.31020024,0.57104063,0.011333817,-0.049963154,0.00046073808,0.5385982,0.033807863,-0.016140323,-0.0015189241,-0.0034037363
CROCC,0.08056645,-0.08126549,-1.2352629,-0.8379027,-0.050925348,-0.2663046,0.0057131485,-1.1176385,-0.028138146,0.01120651,-0.007940631,-0.0013664413
SDHB,-0.06941284,0.32908753,0.8069539,0.185406,-0.08056985,0.09319646,-0.0600398,1.148844,-0.061008163,-0.024262758,-0.118265584,-0.017024802
RCC2,-0.010735113,-0.056465883,-0.38836855,-0.03841644,0.017546229,0.25018415,-0.0006429844,-0.43597424,-0.00085497834,-0.0068290695,0.0005332028,-0.00030803483
IFFO2,0.038639866,0.06751914,-0.6090448,-0.55456144,-0.08939609,-0.35884893,0.002106408,-2.348103,-0.031302188,0.027332045,0.016301166,-0.0057219677
MRTO4,-0.01596329,0.689907,0.33196327,-0.19748823,-0.1704287,0.10276778,-0.01869838,0.73301613,-0.023715727,0.021015435,-0.014121101,-0.012919462
CAPZB,-0.051077876,0.023590446,0.29106814,0.43955743,-0.01318001,0.020597529,-0.0055050333,0.028012857,0.09499442,-0.020645149,-0.033790633,-0.00653046
PLA2G2D,-0.13580248,0.38617432,-1.5641556,-1.0729976,-0.16795653,1.3061475,-0.05234981,-1.9689481,-0.085653506,0.06590555,-0.035032004,-0.04442872
EIF4G3,0.004473887,-0.05992356,0.34579238,-0.09853901,-0.010457689,0.15175596,-0.0012663807,0.44638044,-0.007579999,-0.009751118,-0.013514081,0.001795276
USP48,0.002214519,-0.01977049,-0.028765641,-0.06348263,0.014158184,-0.030839192,0.0011677566,0.039051175,-0.0009732426,0.0009369805,0.010878715,-0.0006449226
KDM1A,0.0010309091,-0.026226882,0.42267284,0.056156673,0.0074087386,0.116938226,-0.006316465,0.10509378,0.0005294608,-0.0062308325,0.0007430589,-0.00076196046
HNRNPR,-0.012564441,0.09133879,-0.04478305,0.06880301,-0.008693464,0.019042693,-0.002304364,-0.35306326,0.0041730343,-0.0022330035,0.0038296762,0.0012569571
ID3,0.44580248,-0.9138051,0.89251465,-1.381704,-0.15879965,-0.3104167,-0.051259372,0.04600096,-0.08780764,-0.03535204,0.0033851983,-0.03198459
ELOA,-0.0154372435,-0.025074985,0.6376431,-0.089786045,0.017550016,-0.12589042,-0.007438889,0.43145335,-0.0026178337,-0.002696985,-0.007542232,-0.00030668481
HMGCL,-0.036147952,-0.028228888,-0.87709284,0.21099126,0.02343124,-0.019744916,0.004241651,-1.067711,-0.0021184732,-0.017545795,0.042748652,0.008001031
FUCA1,-0.66926014,-0.10702458,-0.1482779,0.8150956,0.16873233,0.5853099,-0.016078463,0.022718618,0.07799841,-0.08216802,-0.020444203,0.008205387
RCAN3,0.2732149,0.50553375,-2.315333,-0.8764377,-0.26306793,-0.31209308,0.0311206,-2.4126725,-0.024414586,0.32631946,-1.1699737,-0.05395846
RUNX3,-0.0071702674,0.25513437,-1.9198682,-1.0327235,0.0043660873,0.08774211,-0.0040392573,-1.5772787,-0.013449854,0.040184706,-0.34090126,-0.0028242844
SYF2,0.0010343016,-0.012302626,0.12327715,-0.025155887,0.0024118866,-0.011942879,-0.0006846611,0.17172673,-0.000674725,0.00084309955,0.0010198612,-0.0003478955
RSRP1,0.0035342383,-0.21998882,-0.99398154,0.1575272,0.1238029,-0.0924295,0.0027185003,-1.736145,0.013089141,-0.031767286,0.033102427,0.005316278
LDLRAP1,0.051518105,0.46570683,-0.92282426,-1.0105635,-0.02396188,-1.0440259,-8.899552e-05,-0.6191456,-0.14363198,0.00653022,-0.0019829196,-0.0073837964
UBXN11,0.01704519,0.108011864,-1.313321,-0.24213295,-0.0012300018,-0.11116344,0.0046535386,-2.1634078,0.020794712,0.001404597,-0.013226656,-0.0074156234
