,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 7,RNA private topic 8
SDF4,0.00020491319,0.0618484,-0.011885347,0.027195333,-0.007095406,0.21226197,-0.18268725,-0.26031783,-0.00082517415,-0.014686272,0.00025404827,0.0022763952,0.0024314076
INTS11,-0.003126025,-0.046191346,0.16670766,-0.17995751,-0.16808456,-0.25859845,0.025904806,-0.5977644,0.0051583974,-0.18544206,0.0008468056,-0.0046758736,-0.006638668
AURKAIP1,0.0025353536,0.080403894,-0.36873972,0.48569953,0.016400162,0.02032629,0.24031572,0.14515013,-0.033354912,-0.017497333,-0.0006549768,0.006757864,-0.016077818
CCNL2,0.00014155821,-0.2681897,0.04074701,-0.032583408,0.029174801,0.03963745,-0.14674875,-0.088732824,0.0009405404,0.09545168,-0.0010489956,-0.004196938,0.0014202512
SSU72,-0.0027557702,0.0004387958,-0.013253922,0.5370345,-0.0043073283,-0.49928957,0.33142266,-0.26393563,-0.0020166242,-0.14651978,-0.0026475189,-0.0046864157,-0.0048296493
NADK,0.003900121,0.25643948,-0.26683682,0.17450377,0.027297217,-0.57089704,0.17258465,-1.0014002,-0.020148026,-0.01635728,0.00013798627,0.000679345,-0.0592819
GNB1,-0.0009493818,0.051318552,-0.06464609,0.30954152,0.0582367,0.40314424,-0.015123344,-0.08685671,-0.0335829,0.3202489,-0.00076501205,0.0028306963,0.0042177294
FAAP20,0.006289632,0.13449267,-0.13888101,-1.5496174,-0.051135357,0.18745738,0.1700385,-0.23471878,-0.009477665,-0.27291825,0.0015539336,-0.002024634,0.017384104
SKI,-0.0017193082,-0.05948973,-0.024129163,0.5363082,-0.018136585,0.15697947,0.24336006,0.23016186,-0.0010823058,0.005892374,8.6288793e-07,0.0004052322,-0.005861458
RER1,-0.00460168,0.17528693,0.075719014,0.44978207,-0.05739095,-0.6041994,-0.16666874,-0.7881563,5.5193435e-05,-0.55836236,0.0016850983,-0.0023746043,-0.0072074244
TNFRSF14,0.010770829,-0.032014083,-0.051620174,-1.516423,0.06815732,0.00815796,0.17823143,-0.2993161,-0.023682004,-0.23494647,0.0014061484,0.0052699074,-0.02163595
MEGF6,0.006521758,-0.8558636,0.23350969,-1.6671379,0.22173788,0.23419015,-0.38823298,-1.0796566,-0.05044626,0.33395666,0.011592198,-0.04007149,0.018822897
TPRG1L,0.0059578875,-0.19474325,-0.07101723,-0.13089986,0.16589986,0.23770191,-0.2830403,0.090826206,-0.013903559,0.06497583,0.00031324665,0.0030968841,0.022666646
LRRC47,-0.004273863,-0.09517979,-0.01161924,0.09964769,0.056417488,-0.14130504,0.037681222,0.1967541,0.0021872048,0.0942625,-0.0003434046,-0.004643528,0.00014609186
KCNAB2,-0.019048132,0.07928275,0.5351162,-1.2869735,-0.18547839,-0.8979492,0.5671123,-0.3101276,0.16904925,-0.24747176,-0.012377475,-0.03560014,-0.74484134
TNFRSF25,0.012787604,-0.4511497,0.5809479,-1.4417238,-0.3477434,-0.24356866,0.76799244,-1.6185105,0.2538227,-0.5695031,-0.020181773,0.011178279,-0.06961607
KLHL21,-0.02434727,-0.6411277,0.07656653,0.46824792,-0.467172,-0.39049986,0.12856312,-0.009443079,0.043929633,-0.024942977,0.0016706204,-0.028499376,-0.006286387
VAMP3,0.010479019,-0.27494365,-0.23824154,0.15009148,-0.037091456,0.43209636,-0.90821236,0.6828525,-0.074855894,0.04862058,0.0007467354,0.015094291,-0.033765964
ERRFI1,-0.24848258,-1.2604507,1.3062274,-0.73502207,-0.13996112,-0.8335317,-0.4347169,-0.9768137,0.5863827,-0.640291,0.03732141,-0.6448298,-0.7578443
RERE,0.0047546052,-0.037558682,0.0002112086,-0.5700145,0.10195209,-0.2616095,-0.19750476,-0.22316314,-0.011069822,-0.026814409,0.0011470835,-0.0019504273,0.0039383504
ENO1,-0.001135686,0.2386357,-0.064067505,-0.1577444,-0.04314936,-0.24893045,0.5032882,-0.095108055,0.00845085,0.13657461,-0.00037039898,0.0013940715,-0.020390341
PIK3CD,-0.07474627,0.12623441,0.10940507,-1.4907691,0.03904183,-0.13322982,0.5973163,-0.004390813,0.050046485,0.24679652,0.004421884,-0.02063081,-0.8985607
CLSTN1,-0.007894763,0.1429438,0.11486462,-0.94503003,0.003988599,-0.5218385,0.050583486,-0.09916858,0.009302652,-0.16157502,-0.001653585,-0.0081912475,0.002987799
SRM,-0.008313437,0.26801226,-0.11664758,0.3943265,-0.1679794,-0.051496863,0.4338043,0.514498,0.00037559844,0.0123859905,0.0028729711,-0.03969468,-0.01465025
FBXO44,0.009047608,-0.00064386585,0.24754468,-1.8982024,-0.12672718,-0.7712119,0.20140749,-0.546143,0.070617355,-0.89609545,0.008083264,-0.0063763624,-0.027111651
KIAA2013,-0.0005236527,0.08853296,-0.026828809,-0.056139305,-0.029744886,0.11663749,0.020993471,-0.42850628,-0.0019187762,0.04612262,0.0010072431,6.858769e-05,-0.0025255322
