,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Metabolin private topic 2,Metabolin private topic 3,Metabolin private topic 4,Metabolin private topic 6,Metabolin private topic 9,Metabolin private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
0,0.6382232,0.88594055,0.6776537,0.39535224,0.29775137,0.66464293,7.322101,1.6413713,4.3463683,1.7163794,1.9417002,0.61631787,2.0746274,56.25336,0.66652054,0.68154335,1.0145217,3.9556997,1.674005,1.6907487,0.8055663,1.8567216,1.2139257,1.1460531,1.2190604
1,0.6576713,1.0959439,0.56832635,0.4180798,0.2689252,0.6123128,2.8211823,2.370685,18.000076,1.8020637,2.0692225,0.5726573,1.9333463,42.175117,0.6230115,0.7641483,0.50171316,0.43391198,1.3373841,1.4698219,0.46761012,0.5606819,1.0650845,0.75913006,1.0227048
3,0.5995791,0.8724432,0.6091733,0.40261438,0.27307978,0.5855273,3.3530817,2.3776085,35.17266,1.2987711,1.8954015,0.5918875,1.8098919,42.187828,0.69217676,0.63564694,0.5614227,0.44719782,1.4114335,7.6662626,0.48077548,0.5248721,1.0592691,0.84909075,1.3238282
5,0.7015133,1.1750689,0.48799467,0.4496671,0.31898755,0.5405655,4.237632,1.0280116,24.400156,0.8889878,2.089168,0.5572469,1.4850264,39.428024,0.691219,0.8565232,0.58777606,0.42136502,1.0780879,1.5316492,0.49006388,0.5058266,1.0118986,0.97500503,1.1421564
6,0.5133548,0.83535695,0.647786,0.41199517,0.31768265,0.72136104,2.5333147,2.7312737,28.296375,1.063587,1.9429593,0.60699123,1.4701141,49.17462,0.6952151,0.66260004,0.47212958,0.28498346,0.929841,1.0820454,0.430463,0.42151406,0.96151656,1.4160061,1.6774877
7,0.62246466,0.93118656,0.6022542,0.4275713,0.33998477,0.72148633,1.708381,2.4570606,34.527386,0.98720026,1.9998443,0.6650673,2.2510211,76.295494,0.81226504,0.55558914,0.5232248,0.32396933,0.9455253,1.2083919,0.50403726,0.4920035,0.9547039,1.4168828,1.6580281
8,0.8755053,1.754915,0.6140187,0.3407154,0.27578625,0.7093204,1.8791312,5.6376886,12.240412,1.206321,1.9935544,0.58870995,3.0230932,59.364697,0.7103907,0.58666176,0.41333988,0.21434796,0.74794644,1.3544112,0.25056568,0.2346197,0.91674334,1.9476374,2.329203
9,0.64209306,2.357723,0.77357936,0.42923522,0.39330202,0.8569609,1.3908944,2.8918025,11.165909,0.7216437,1.979177,0.5840634,3.4977353,58.21276,0.785952,0.562726,1.1762496,0.6735354,0.8005331,1.0454596,0.5236362,1.3995949,1.0228412,1.1326832,2.004962
10,0.6206093,3.578453,0.82409966,0.4191072,0.39112258,0.7761836,1.6412272,2.651764,6.2541656,0.7375766,1.9797051,0.60948116,2.8314955,55.50038,0.7151562,0.56555945,1.1762512,0.6735361,0.8005336,1.0454595,0.5236367,1.399597,1.0228417,1.1326828,2.004962
11,0.8502772,1.3475931,0.6820319,0.42152083,0.33008036,0.74005413,1.4956944,4.26604,27.187248,0.7855592,2.0155544,0.61597073,2.3534396,52.041855,0.6956905,0.6118847,0.57157755,0.3523538,0.8310179,0.9604364,0.47999227,0.5361325,0.79266435,0.7563391,0.88353395
12,0.83544743,1.0479119,0.66709095,0.41488037,0.32794115,0.65333647,1.4202285,3.0371726,14.612085,1.2439905,1.9158125,0.5509891,2.6543572,41.945084,0.6444884,0.5324514,0.4725477,0.3657875,0.8267785,0.9828664,0.46464854,0.48232448,0.83238095,0.7253463,0.85576725
13,0.66752064,0.61905026,0.5316989,0.41552836,0.3156892,0.5680007,1.9649864,2.0441947,15.4849205,4.7670784,2.0067008,0.59992135,2.617984,52.551704,0.6933218,0.5821363,0.30768448,0.2683276,1.0699351,1.2766966,0.30213875,0.46182254,0.8872728,0.87481844,1.1736143
14,0.9117641,0.98314303,0.39982983,0.30702573,0.20226726,0.42308563,3.2462752,1.7782252,7.290743,7.4400578,2.0249496,0.5143339,4.0339255,34.2964,0.60263026,0.58118534,0.34863567,0.28064248,1.5975069,1.3158808,0.2922294,0.5178005,1.0430387,1.0636911,1.2031705
15,0.65982497,1.524493,0.5260576,0.39874738,0.2894479,0.75751257,7.0362015,1.3946457,2.1785622,5.907831,1.9779639,0.6027155,2.3944516,52.583813,0.67978084,0.5670772,0.6498578,0.39027023,4.8598595,1.3078469,0.32791662,0.7794413,2.1452122,1.6989928,1.402899
16,0.6399468,0.7625998,0.44448245,0.3868336,0.21828187,0.57501805,8.016853,1.0358979,2.7094758,7.414316,1.9410771,0.6080461,3.778554,53.81663,0.7867562,0.53036606,0.64970136,0.4004935,5.153011,1.3262746,0.3333508,0.7759238,2.1503756,1.7261275,1.478163
