,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 6,ATAC private topic 9,ATAC private topic 10
104.10721613216346,1.2472472,-0.834378,-1.095668,2.4340296,0.81361353,-0.55141884,0.36499822,0.25907835,-0.056907885,-0.6891787,3.763324,1.325248,0.45748037,0.083426125,0.96541464,1.6095865
114.0663487757167,1.4857286,-3.5043764,-5.127292,3.0413606,-1.161932,-4.915811,0.21390074,-4.612292,0.7661276,-4.036858,3.848517,-0.61986536,0.962058,-1.3709258,-3.567208,2.8464124
119.08989347482412,1.6390852,-4.408173,-3.736946,3.455127,-2.204141,-4.48166,-4.032597,-4.3597193,-0.53472215,-4.398415,5.526105,-1.9934087,-3.440147,-3.9856544,-3.3016033,3.0193827
141.07147334429604,1.7251965,-4.051472,-4.807753,3.3097043,-0.04983267,-4.887181,-4.285492,-4.3388762,-0.3615507,-4.8344073,4.450487,-0.8216852,-3.163837,-3.9289362,-3.079464,3.0157971
142.94804145265775,1.5650289,-1.3807374,-4.9041796,3.2537587,-1.7982529,-4.0131917,-3.7102544,0.08786376,-2.7113008,-1.5687726,3.865691,-2.3707805,0.09488248,-0.29688832,-2.0737815,2.755368
146.16516858340012,1.5718639,-4.985857,0.10113069,3.5806582,-1.451023,-4.4393888,-4.3005066,-4.2281966,-4.4805117,-4.6372433,6.3131223,-0.721918,-3.6607559,-4.307105,-2.7524235,2.6460886
150.97673966710036,1.5018287,-3.7244296,-4.7893662,3.1635191,-2.9205735,-4.786186,0.31107688,-2.956708,0.14720999,-1.9657679,3.9288726,-3.7648706,0.29987162,0.11550417,-3.5178256,2.7558038
163.97769453157306,1.2768409,-2.0500398,-2.5304122,3.5126219,-2.147254,-4.035802,-4.2213883,-2.8437395,-3.441073,-3.1073225,3.2693412,-3.2618632,-3.0833566,-2.38973,-3.0521212,3.0134907
164.00826925149738,1.3867148,-4.1721745,-0.19820586,3.5352614,-2.1505442,-2.7363722,-3.5783007,-3.164009,-3.092029,-2.9471202,3.4331975,-2.9024181,-2.4188333,-2.4378853,-2.4919329,3.0399954
169.98583471858657,1.0921377,-1.000136,-3.407689,3.0181623,-1.9980364,-3.9566636,-0.15412505,0.5033426,-0.3135015,-0.9118808,2.7212698,-3.1087,-0.20397054,0.57613945,-2.737713,2.5807073
188.17563513707617,2.4841697,-4.0484767,-3.798819,2.8888242,-2.962358,-3.8453684,-3.5447664,-3.7015383,-0.8767574,-3.5694113,5.956704,0.036820143,-3.0155706,-3.4725404,-2.8199046,2.3708808
