,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Metabolin private topic 2,Metabolin private topic 3,Metabolin private topic 4,Metabolin private topic 6,Metabolin private topic 9,Metabolin private topic 10
104.10721613216346,1.2533706,-0.8683288,-1.0907717,2.3738065,0.8005744,-0.5528933,0.3628527,0.22503899,-0.084499836,-0.66021955,4.2150064,1.2637063,0.4656828,0.093381464,0.7382795,1.5645226
114.0663487757167,1.4846274,-3.516072,-5.100186,2.9980297,-1.0679332,-4.9017344,0.2642806,-4.5632267,0.74008834,-4.0532765,3.9841647,-0.2751098,0.8839662,-1.2361732,-3.620922,2.7904696
119.08989347482412,1.6655715,-4.4252734,-3.6888313,3.4092035,-2.2993364,-4.463597,-4.003529,-4.33856,-0.511013,-4.3584905,5.7021027,-1.7710656,-3.4174478,-3.962703,-3.340006,2.9727478
141.07147334429604,1.7127596,-4.171176,-4.748185,3.2736754,-0.114669345,-4.8544793,-4.226178,-4.298179,-0.32399383,-4.8021145,4.6096907,-0.8225509,-3.3277063,-3.9410675,-3.1375268,2.955214
142.94804145265775,1.5444365,-1.3257366,-4.8692164,3.2012122,-1.6487364,-4.020007,-3.6670482,0.2890172,-2.438254,-1.6629496,4.3391047,-2.5417914,-0.17650773,-0.038025822,-2.4546518,2.7141476
146.16516858340012,1.6073312,-4.9976935,0.0888624,3.5272138,-1.4132429,-4.434393,-4.2866836,-4.1871805,-4.4577117,-4.6156554,6.7604,-0.19098769,-3.6053827,-4.2814746,-2.7724836,2.4854305
150.97673966710036,1.5330673,-3.799532,-4.7723145,3.0997336,-2.9074588,-4.790681,0.3180248,-2.8409812,0.14090805,-1.9101171,4.252561,-3.8201149,-0.22401506,0.2563358,-3.6792672,2.705674
163.97769453157306,1.309336,-2.0150807,-2.4179976,3.4582236,-2.1932437,-4.040471,-4.18982,-2.6504974,-3.264524,-2.959619,3.3740702,-3.3480158,-3.2714229,-2.1557305,-3.218125,2.9484758
164.00826925149738,1.4400946,-4.209077,-0.20351076,3.474326,-2.1339276,-2.7530777,-3.5746484,-3.1232996,-2.999886,-2.8681958,3.51975,-2.9763265,-2.6365318,-2.528215,-2.6160407,2.926561
169.98583471858657,1.1190132,-1.0953193,-3.403614,2.9515698,-1.8910782,-3.9776485,-0.15208653,0.55955696,-0.2749701,-0.8357888,2.918675,-3.1300628,-0.62955624,0.7291117,-3.0173037,2.5407603
188.17563513707617,2.4993842,-4.039288,-3.7834427,2.7741704,-2.9474363,-3.835231,-3.5552843,-3.6599827,-0.9249493,-3.525747,6.491868,0.42369145,-2.9851503,-3.4741163,-2.9072075,2.267822
