,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
HES4,0.026294975,0.7177712,-1.6557401,-0.39376682,0.027462715,-1.6042866,0.7296753,-0.1313489,0.9093484,0.38555416,0.291944,-1.7572446,-0.2758077,0.84000075,-0.8501656,0.23613332,0.45355228,0.57378423,-1.2489396
AGRN,0.7645032,-0.9087057,-0.18889199,0.33859426,0.71548766,-0.16313346,-1.7730201,0.7546567,-2.8838882,-0.6730316,1.0699979,0.15571229,-1.8353013,-0.17535293,0.06874813,0.7956927,-2.7184343,0.107118495,-1.4387406
TNFRSF4,0.7279367,-2.3612282,-0.14768234,0.5320409,-0.14159079,-2.4128664,-0.28449127,1.0584952,0.43146732,-0.20267038,0.615284,-2.164671,-2.4226637,-0.67383605,0.2801895,1.4342608,-2.3000734,-1.4471838,-0.052076478
SDF4,0.032162186,0.41193286,-0.67822754,-0.6266069,-0.5460528,-0.4925909,0.4954253,-0.34230146,1.0411013,0.675018,-0.2577368,0.17730129,-0.14827664,0.40678668,-0.6581639,0.017332463,0.5942398,0.74926573,0.2708022
MXRA8,0.7389602,-0.4555547,-1.090878,0.25162992,0.5650334,-0.10811055,-2.3187387,0.0041716993,0.570186,-1.1412492,0.8572653,-0.22709686,-0.9224639,-1.8176197,-0.9731248,0.6428673,-1.9242504,-0.039234843,0.2680237
AURKAIP1,0.2036455,-0.0031096353,-0.77458227,-0.026361138,0.034093484,-0.14803882,1.1776536,-0.28720665,0.8364726,-0.6150126,0.20340563,-0.065709405,0.3932373,1.065574,-0.44386956,-0.0021532173,-1.4743559,0.45673788,-0.43548736
CCNL2,0.10204187,-0.46162337,0.2793814,0.118360445,0.67592615,-0.1696164,-2.6041431,0.33596474,-1.9954123,0.6620289,-0.17437835,-0.24871807,-1.6439933,-2.6390781,0.49287686,0.36433038,-0.43858016,-1.7514981,0.11483588
MRPL20,0.005025284,-0.044292696,-0.61297596,0.020706696,0.18512459,-0.012742935,0.7700187,-0.17549543,-0.18055347,0.7619064,0.44977647,-0.17544022,0.8053749,-2.0600033,0.113697216,0.14142047,-2.3147047,-0.2925104,-1.19356
VWA1,0.16800791,0.5807602,-0.65904284,-0.5028649,-1.1487148,-0.69389784,1.166342,-0.12711188,0.8523008,0.00052497914,-0.17352854,-0.07172541,0.49868336,0.7438542,-0.75881517,0.36526287,-0.47674626,0.8668559,-1.1957952
SSU72,-0.16049832,-0.26768532,-0.8859003,0.28736025,0.5767468,-0.059262514,-0.9837717,0.5731459,-1.5119745,0.34069252,0.058124278,-1.3463455,0.34414715,-2.119995,-0.5030181,0.7190575,0.5075713,-1.1001692,-0.47816935
