,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 8
0,1.5152674,2.2330897,0.37134293,0.42665225,0.4112422,0.4156683,17.043577,1.1439444,0.36701542,0.79667985,0.45854947,2.476542,1.0104514,1.4202291,63.71432,0.6596796,0.30540043,125.307175,0.9640737,2074.7969,1.9270711,1.8076172
1,1.6091938,2.100992,0.3159212,0.45805612,0.45346308,0.43304995,12.646554,0.9689049,0.5300903,0.82380617,0.54019964,2.2805712,1.255351,1.1036494,17.384117,0.54558444,0.2959816,58.060623,0.7357097,2299.4866,1.9328837,1.8036102
2,10.927307,1.865291,0.32359082,0.50707626,0.4502363,0.47315753,2.454966,1.1127946,0.584035,0.7800994,0.74151766,1.6770378,1.1045332,0.98498654,4.503826,0.72400796,0.33484107,58.609936,1.8615582,170.04332,1.7643111,1.6330761
3,15.502482,1.9709612,0.2985294,0.5043317,0.4875129,0.41354203,2.233384,0.8899348,0.6860712,0.47570154,1.6010457,0.69832754,0.6823458,0.961365,1.230469,1.1023922,0.492756,9.38469,9.554724,1718.0045,1.8736987,1.8082018
4,14.026417,2.0246015,0.3351751,0.48838502,0.45794636,0.41115168,4.025686,1.0318668,0.3900829,0.5128752,1.009499,1.6405561,1.0015786,1.0214057,2.6035855,0.8001065,0.21489584,32.154594,2.2614005,206.09761,1.7534093,1.6203768
5,15.993998,1.9486042,0.37235212,0.45970094,0.47796556,0.39561325,3.1450405,1.0780138,0.38870326,0.67953587,1.1440351,2.9618716,1.8322684,1.649511,1.0930798,0.84054834,0.30038136,17.157099,2.7891417,1587.9583,1.4511977,1.6577805
6,17.953655,2.062551,0.40744272,0.4330998,0.45106184,0.42926311,3.6869633,1.2017983,0.34476757,0.8096584,0.46480027,35.90135,2.4843118,2.6412644,24.146553,0.56076825,0.35704002,38.135506,0.5636372,2115.7925,1.9239337,1.8005289
7,13.340434,2.975594,0.34584004,0.41709644,0.43406463,0.41106564,3.8910644,1.4383974,0.37086844,0.8800086,0.56061125,13.4672365,0.90734094,2.8006413,2.5803301,0.51868343,0.34961987,5.569707,0.49066147,2005.6497,1.9174323,1.8001436
8,14.366913,1.7026703,0.50998306,0.5214573,0.5423357,0.4845997,2.981598,1.0486903,0.3939864,0.77136654,1.1027049,1.792228,0.89822274,6.344141,0.83292836,1.40691,0.38892904,3.7417502,0.9353993,2252.3916,2.022907,1.7691381
9,15.253555,1.7479409,0.45016313,0.46059132,0.5135332,0.44107103,4.114278,1.1006461,0.36971185,0.53600127,2.8216014,0.8943801,0.55938333,1.5607308,1.1370406,1.3101072,0.28004947,10.587722,9.118594,2745.9575,2.020751,1.7766588
10,17.247587,1.6430268,0.40922233,0.42023295,0.41545948,0.4224147,2.8971667,1.4058037,0.38970992,0.48301694,2.9228466,0.708896,0.56199163,0.9621481,1.1043487,1.4206992,0.34359753,11.227178,20.41241,988.04364,1.4137897,1.5556495
11,3.2808795,2.0310655,0.34803492,0.4309278,0.42109782,0.3874181,11.240922,1.1591127,0.30282962,0.46513554,5.330811,0.56437117,0.45921603,0.6241051,0.72890186,1.6767054,0.45898265,3.8650126,13.442423,899.3343,1.4382628,1.5929517
12,1.6807811,1.8587512,0.3228655,0.42736644,0.45395648,0.42809826,13.127098,1.0678512,0.5478736,0.950787,0.6429018,3.8303623,1.3011756,1.0874738,64.549255,0.6952199,0.36997655,71.97488,1.0702053,2311.9365,1.9334416,1.8036321
13,1.4129478,2.0983193,0.3354745,0.47169518,0.49220702,0.45687026,11.55486,1.089507,0.5452434,0.94670606,0.44024554,5.3712983,1.5276549,1.5902938,47.114815,0.526492,0.2716249,164.22285,0.8575718,2088.6487,1.9128135,1.8049586
14,1.2796197,4.5185027,0.3350262,0.4771859,0.45486248,0.44971707,15.338583,1.3172257,0.35055676,1.1339092,0.4305966,6.7096086,2.2114909,3.8246524,22.031769,0.44476613,0.29538083,86.92796,0.9081393,412.2441,1.3201128,1.3303146
15,1.5165544,2.7812614,0.38823068,0.45929635,0.4475301,0.4534487,12.868893,1.2163697,0.3490085,0.93375194,0.5539837,2.867852,1.3400637,1.7549739,18.475227,0.6208932,0.39094576,108.340126,0.89071316,998.1282,1.4643404,1.5342224
16,1.5779812,2.3774557,0.38044792,0.49158585,0.48684204,0.46698368,10.996029,1.1421584,0.39397338,0.790895,0.75900143,2.1716669,1.2175816,1.8163056,9.331293,0.6664952,0.39805418,50.978752,1.6982068,1553.6829,1.9002416,1.8003261
17,14.056609,2.4478302,0.29414034,0.4456115,0.38714164,0.43047276,4.7742586,1.1887472,0.4298663,0.6660566,1.0796432,1.3239043,0.83314323,1.0189103,2.958194,1.0188756,0.30123857,43.250748,3.9577463,2303.6577,1.9331608,1.8038186
18,15.440788,1.8618294,0.3330781,0.4961264,0.50931364,0.4026602,3.3039038,0.9233579,0.6864048,0.5195179,2.1363046,0.8249247,0.6328244,0.86201745,1.5029286,0.99016315,0.323557,15.448219,8.950876,1328.6902,1.8242857,1.8108301
19,15.4685755,1.8837293,0.33443758,0.4803347,0.49796367,0.40466172,3.6090314,0.97943014,0.6445515,0.5496479,1.3652916,1.1171699,0.74653065,1.0554962,1.1075745,1.4482667,0.3961955,17.339064,6.248935,1140.813,1.7961026,1.8115268
