,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 8
85.02883948530474,-4.9568505,-9.618303,3.0529566,-0.43199822,3.022217,3.2470593,-5.043035,-4.7927933,2.3643196,-28.303226,8.468148,-3.0722322
95.06068721922534,-5.27182,-5.0331783,2.9829361,1.3521501,1.5454438,2.3260834,-5.236019,-4.0275393,3.4484518,-19.079868,9.02661,-2.4665956
104.10721613216346,-0.10441918,-0.13848448,1.9435838,1.7820493,1.0911376,1.9033144,0.07075361,0.16742478,3.6753087,-4.727453,8.4045105,0.32825708
114.0663487757167,-5.4553847,-5.3146973,2.1785548,1.8436362,1.5809137,2.075241,-5.6395483,-5.203042,3.9018958,-22.683044,8.909001,0.40496203
120.10201086819092,-5.1118975,-8.164119,2.8096268,2.408579,3.0025787,1.8475097,0.22651832,-4.7946243,2.1751893,-19.55367,8.508622,-1.3432947
126.02200299722656,-4.3952765,-5.8510337,2.6567,1.969696,2.3312898,2.819599,-4.053904,-4.291967,3.0295546,-19.92157,8.305045,1.2323467
130.08648087626347,-4.104125,-5.176638,2.2269433,1.3860893,2.4335933,2.1133606,-4.2511845,-3.1598074,3.5927186,-12.6053,8.3683195,0.90948373
141.07147334429604,-5.061903,-9.137941,2.6834543,2.3920286,2.664207,2.439665,-5.080162,-4.832577,3.4947796,-27.401094,9.004395,-1.9126617
142.94804145265775,-4.47708,-1.9772172,0.4191024,2.5576475,1.4514085,1.060722,-4.9530964,-4.1706023,3.8721688,-17.82359,8.536671,1.0923738
146.16516858340012,-5.475485,-10.413235,2.7793844,2.7222514,1.8423223,2.886452,-5.407054,-5.325619,3.2079926,-30.394337,9.425016,-3.3980143
150.97673966710036,-5.0129604,-5.0612907,2.3466675,1.8404533,1.5516516,2.2351923,-4.5362663,-4.3334193,3.7241778,-17.437838,9.026,-0.5601954
156.07691831543409,-4.763477,-7.688081,1.7620881,2.7971053,2.5709352,2.503193,-2.014474,-4.8508706,3.4560926,-19.430855,8.8828945,-0.74740314
158.04032672175362,-4.9106646,-9.45772,3.243416,1.3425691,2.9615197,3.5062933,-4.9922824,-4.729825,-2.377957,-28.05544,7.1407475,-3.812927
160.13314159280725,-5.5895834,-8.24885,2.4544501,1.9144726,2.0245183,2.4844062,-5.5768523,-5.388258,3.7173584,-28.129286,9.268692,-1.783143
163.97769453157306,-5.0694056,-8.018123,2.6019082,2.161491,1.7610295,2.5760143,-4.8786116,-4.547726,3.5414636,-18.336802,9.0197525,-0.3105413
164.00826925149738,-3.6081917,-3.634796,2.0434768,1.931711,2.257065,2.2654169,-2.3418484,-4.1204567,3.492453,-11.706543,7.913624,1.4917657
169.98583471858657,-0.56533563,-2.9683673,1.6043379,2.1698039,1.442541,1.7860742,-2.8783152,-2.2684953,3.6919212,-10.114088,8.1657095,1.2759651
176.11822321817183,-5.3190484,-9.948183,3.2924333,2.9235275,1.6717435,2.7112615,-5.4239817,-5.0435996,2.9526305,-29.273193,9.955606,-3.401934
181.06253357277816,-5.2125087,-4.736719,3.0052836,0.94539785,1.8125434,2.9004412,-4.7382603,-4.8832545,3.4310176,-27.299253,9.652993,-3.4449105
184.07346765759067,-4.5406117,-9.075422,2.5049417,0.065139376,3.0206656,2.9821243,-4.7043595,-4.367535,2.8326674,-22.624077,7.2440615,-2.791872
185.05740413292418,-4.24086,-5.521028,0.72828937,2.448646,-0.9715063,1.4464753,-5.101379,-5.046107,4.0246716,-23.377491,8.60906,0.8277295
185.95976571022555,-5.069352,-9.5357,2.7362833,1.8785349,2.1759305,3.0930572,-5.025347,-4.9949694,3.2492967,-25.926966,8.40891,-2.1357524
185.9903670258029,-4.4255896,-3.5756092,-0.17118114,2.0662773,2.221259,1.8965477,-4.629645,-3.6825223,3.659128,-14.373012,8.190661,1.3318447
188.0766250994236,-4.4483986,-6.0519867,-0.5638404,2.6165586,-1.7058662,2.2010264,-4.183068,-4.083557,4.145305,-22.744558,9.053998,-2.1543763
195.0419453058757,-5.1287417,-7.466146,2.4400449,1.8788905,1.8230013,2.487607,-5.102768,-4.470558,3.6482248,-19.813627,8.937138,-0.8436621
195.06271277531698,-2.0979352,-3.916655,0.92715466,1.9115,0.9739696,1.2004119,-5.119979,-2.9498847,3.9507349,-18.286549,8.36586,1.0061704
197.05746415042407,-4.880163,-7.692766,2.5850608,1.8670121,1.9178306,2.6639383,-4.9633946,-4.7941766,3.6975799,-25.4429,9.195562,-2.0006237
202.09219427994782,-4.85837,-8.59411,2.4820745,1.6731349,2.065712,2.6853178,-5.108602,-4.6948304,3.61851,-25.028082,8.699369,-0.01423041
205.06005018215913,-4.2812023,-1.9107146,0.4190348,1.5086834,0.680775,1.0757009,-5.5286007,-4.8578258,4.1381598,-20.58874,8.321074,1.2464174
205.12064445969258,-5.1014442,-6.4616604,2.393371,2.0072465,2.0843909,2.325632,-5.221109,-4.6426234,3.83638,-24.260475,9.3548355,-0.9159806
206.05539519878883,-4.9280133,-5.6870413,2.0425458,2.0456789,2.1414723,2.3465319,-4.9514055,-4.817036,3.6301246,-19.08221,8.617608,0.38795704
211.0366937767653,-4.371647,-8.097507,2.4193964,1.7401038,2.4096484,2.85717,-4.783861,-4.4818764,3.6971707,-23.627449,8.72809,-1.6598
211.07315270468837,-5.188538,-6.5901685,2.4198103,1.7745773,1.9018811,2.475761,-5.220982,-4.1964393,3.7922719,-19.51967,8.984128,-1.0538027
215.06810475732192,-3.3579407,-3.567256,2.0358603,1.9911822,1.1776967,2.0972848,-5.101969,-3.694811,3.8852835,-15.202722,8.885908,0.7705499
216.22637378394234,-5.099067,-9.660067,2.7341378,2.6438253,2.7209146,3.0008733,-5.194685,-4.9926043,2.840343,-29.502945,9.225794,-3.649822
