,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
HES4,-0.022218142,1.3284347,-0.25672045,0.016225604,-0.46674293,-0.034753677,-0.3867707,0.12769257,0.047678176,0.2739198,-0.29477143,0.8713156,0.4925798,0.36548573,0.2643958,-0.92477083,-0.23749752,-0.16002555,-0.70727533
AGRN,-0.03223174,1.4941992,-0.23405951,-0.1283855,-0.059712946,-0.020610908,-0.0647456,0.072982304,0.010669798,-0.035547692,-0.13641797,0.9977624,0.5243388,0.33660653,0.5807234,-0.93297297,-0.7061003,0.07301373,-0.67611367
TNFRSF4,0.09377198,1.8814557,-0.61554855,-1.3582692,-2.3476772,-0.22102521,-2.1590543,0.69715726,0.5618153,1.1011906,-1.0905721,0.7968759,1.2393177,0.45692572,-0.89636314,-2.361695,0.33598837,-2.4884365,-2.4404187
SDF4,0.014249196,0.64593375,-0.091107935,0.049942713,-0.034185078,-0.025180869,-0.011774174,0.06921229,0.007649411,0.4090886,-0.17691636,-0.074127205,0.20073906,-0.2942647,0.4881346,-0.007951868,-0.30201602,0.079844095,-0.061505023
AURKAIP1,0.00850674,0.018411398,-0.009816466,-0.020359498,-0.16600464,3.5425106e-05,-0.00026879483,0.08857629,0.00097596063,0.29498747,-0.020825978,0.4728095,0.29558945,-0.31838256,-0.19577184,0.0043746326,0.06675294,-0.12108459,-0.09249931
CCNL2,-0.035795216,0.9822544,-0.22823907,0.29760364,-0.1288433,-0.009824131,0.14211868,-0.5310271,-0.011976541,-0.96947545,0.036390424,0.6726306,-0.4310321,0.7467997,-0.041081347,-0.13968386,-0.8349063,0.31111863,0.10576929
MRPL20,-0.0035903926,-0.17240481,0.006908575,0.0077916076,0.003492164,0.001339114,0.0060588494,-0.028111279,-0.00898845,0.10025761,0.0010885877,-0.07853648,-0.13257667,0.11981333,-0.46035528,-0.013513457,-0.106192134,0.28191015,0.018487783
VWA1,0.0035222012,1.6528702,-0.15807779,-0.030196149,-0.15396543,-0.033404455,-0.03128699,0.112672046,-0.07909394,0.17885968,-0.45352873,1.0171211,0.5842933,0.38806996,0.5470433,-0.39350894,-0.7131536,0.15793583,-0.696589
SSU72,0.0017056004,-0.24197914,-0.0033383272,0.008452512,-0.0026521026,-0.00022806997,-0.0053045996,-0.0062199268,-5.739841e-05,-0.021674281,0.0067287665,0.0018035682,0.2660694,-0.075379044,-0.47126403,0.007604109,-0.055501476,0.09634068,0.004671501
GNB1,-0.041602757,0.3530684,-0.02366629,0.0129111055,-0.0031534855,0.00425784,-0.013769197,-0.024501087,0.005348992,0.008552247,-0.05038047,0.017436447,0.004660902,0.18735771,0.45565173,-0.06145679,-0.42488426,0.35162187,-0.05065858
FAAP20,-0.0032905894,-1.1691196,0.1758166,-0.024538074,-0.28162467,0.01171402,-0.6856968,0.40483665,0.020289727,0.51450163,-0.1661547,0.121239506,-1.1822026,-0.052642222,-0.6645058,0.13204353,0.49258447,-2.2423985,0.018341076
RER1,0.028234575,-0.45476407,0.011522354,-0.047961485,-0.01814817,0.0010628393,-0.0070370184,0.07574783,-0.009430172,0.014524471,-0.00049826194,0.28890076,-0.2983351,-0.096695915,-0.34375086,0.0024885456,0.123515986,-0.2927975,0.055067368
TNFRSF14,0.008843455,0.57283664,-0.1339447,0.053208157,-0.049041435,-0.020117484,0.034036823,-0.11143086,0.0053939675,-0.19500233,-0.0948686,0.15699512,0.20158963,0.31711298,0.36150464,-0.045110025,-0.5376694,0.19634481,0.018612513
CAMTA1,-0.013268768,-1.4237373,0.24725567,-0.23388556,0.24483909,0.032782096,0.06633344,-0.17581145,-0.093978986,-0.12301155,0.29011697,-0.3131196,-0.47967032,-0.42054647,-1.3369226,0.48770088,0.07156125,-0.05808216,0.3596075
VAMP3,-0.0026401093,-0.28715032,0.023607807,-0.3129656,-0.08566334,-0.00028373572,-0.0020143252,0.08385106,0.0005584832,0.46778855,0.001536753,0.41755182,0.06142422,0.13663879,-1.2920656,0.0040969457,-0.11698887,-0.1012562,-0.17945266
