,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
0,1.2590319,0.94161725,0.6209389,1.4969935,0.48712993,0.38249025,2.1104484,116.10359,1.6923593,0.41186053,0.3528537,5.2515078,2.9674253,4.222049,1.0568326,17.242517,0.5380508,0.67522264,2.130981,0.89407855,0.62589675,0.6604214,0.78967845,1.059332
1,1.0780456,0.7493335,0.65470815,1.3502736,0.42427948,0.37105,2.7670615,72.209656,1.5913472,0.42680848,0.40852883,7.8484054,3.389049,8.766325,1.0168966,12.541742,0.57158506,0.9705849,1.6166725,0.9164274,0.6875881,0.7862217,0.8564452,1.2569435
4,1.1291637,0.7150793,0.6625132,2.3433936,0.46335366,0.41130647,1.6795677,244.50974,1.5179746,0.44439125,0.3441321,8.600021,2.6984,2.1779473,0.75519603,37.708714,0.48449603,0.36063236,1.1962912,1.0014747,0.49539316,0.8165258,0.69871867,1.2695115
5,0.8986755,1.0120634,0.6886053,1.3563639,0.4666025,0.37304348,2.759673,163.31055,1.2471267,0.3814947,0.3173479,4.7283764,3.236411,5.0796924,0.9957835,11.23902,0.5674318,0.88983023,1.5765303,0.94624823,0.6888456,0.825029,0.8545801,1.2067618
6,0.87339896,0.81496453,0.749565,1.254564,0.45650244,0.36952886,2.7518106,115.10877,1.1805921,0.3753177,0.34370348,7.9388933,3.2857528,7.6968107,0.9957835,11.239026,0.5674318,0.8898303,1.5765303,0.9462482,0.68884546,0.82502913,0.8545801,1.206762
7,1.7523043,0.6870964,0.48061633,1.7571166,0.41727436,0.3514102,2.1201007,56.318626,9.143589,0.3790989,0.3880468,13.48784,2.2834263,2.2351336,1.2340482,2.1526406,0.50680184,2.1810088,14.658724,1.616227,2.3449423,1.8841578,25.671156,1.5439728
8,2.1736658,0.8410567,0.51664305,3.0738473,0.48437363,0.3826412,2.1644766,98.954956,6.7832665,0.3742808,0.49916223,3.4423032,2.7470772,1.9785497,1.2340482,2.1526406,0.50680184,2.1810088,14.658724,1.616227,2.3449423,1.8841578,25.671156,1.5439728
10,1.2660549,0.56841516,0.62223136,0.9000281,0.54061645,0.3987607,2.0914927,367.8144,1.3536128,0.51059103,0.45301828,8.759303,2.7379417,1.5597849,0.95614725,19.362509,0.5720232,1.0659838,1.5077715,0.87705016,0.67064667,0.7822841,0.842264,1.5212106
11,1.104605,0.58015746,0.74528766,0.94899046,0.4499546,0.39691556,2.2922745,354.98422,1.2876534,0.4413482,0.41261628,7.5607057,2.8315618,1.7193983,0.80716854,30.318018,0.50620544,0.4730588,1.2927659,0.97717065,0.5374166,0.8121261,0.7355554,1.3105841
12,1.248978,0.67294264,0.6297748,1.5498908,0.48121083,0.45368582,1.6395752,288.59973,1.8072239,0.46028417,0.56384015,5.3550806,2.9444404,1.9408145,1.192047,2.113686,0.58088636,0.7515349,1.9645103,1.0326252,0.81668997,0.94610274,0.9163659,0.6663264
