,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
HES4,0.3472238,-0.3757575,-1.9728813,0.28241473,-1.7336676,0.7485887,0.45681167,1.0972086,-1.0194159,-0.46752185,0.4422806,-0.58061445,2.0645707,0.23255949,-2.2894878,-2.2416298,-0.5447784,-0.5480825,-3.1747553,-2.8428643
AGRN,0.28777924,-1.9784888,-0.93493974,0.36681777,0.52292955,0.47135925,-0.43377826,0.74674815,-0.4822392,-0.25753683,0.5604932,-2.864554,1.6760153,0.59348714,-2.6869905,-2.259791,-2.2019904,0.21911393,-0.9854056,0.1443066
TNFRSF4,-0.8949691,-3.2646732,0.50850666,0.60877436,-3.551268,-0.079059795,1.0219998,1.4952921,-1.2506989,0.025710015,-0.062447224,1.3989352,2.293971,-1.4518913,-3.2344446,-3.1925018,-3.1888578,-2.050953,-2.0798423,-2.780106
SDF4,0.5637118,-0.13662888,0.533563,-0.066032544,0.3115089,-0.11715776,0.29364318,0.6418125,-0.5053099,-0.9980603,0.4577866,0.7584438,0.8634862,-0.70840436,0.3068543,-0.98430073,-0.20845619,0.4500307,-1.0392692,-0.27579534
AURKAIP1,0.20207776,0.50667787,0.40332288,-0.04004064,0.08949173,0.08010263,0.46818635,0.058671545,-0.2642463,-0.39113405,-0.1003157,0.6073416,-0.12052929,0.325766,0.1494207,0.28841853,0.21493416,-0.14007969,-0.3712798,0.12464669
CCNL2,1.074669,-3.4218318,-3.216677,0.47370884,1.1247956,-2.2638085,-0.49870512,0.6489158,0.5135805,0.37455118,0.362578,-2.4130952,-0.27823102,1.2330531,-0.68541557,-1.6331974,-3.042877,0.64676744,1.1336479,-2.6117604
MRPL20,-0.13703693,0.50838184,-0.4066266,-0.19107424,0.2612009,0.56832105,-0.5342519,-0.5418238,-0.02590444,0.37098458,0.30113196,-1.9931158,0.37342283,-0.3108042,-0.80658036,0.72531474,0.6247991,0.17888351,0.23112859,-1.817795
VWA1,0.05576595,-1.29596,0.88469726,-0.16322531,-2.1090012,-0.22405627,1.1166706,1.1688808,-1.0362006,-0.71643686,0.7473108,1.664901,1.4178556,-0.2328491,-0.6094824,-1.8230726,-2.5469184,-0.7319771,-2.2642171,-0.7093422
SSU72,0.29860497,-1.3982421,0.3695753,-0.06306177,0.19300859,-0.13544652,-1.6410301,-0.032456852,0.01366172,0.1584828,0.36726195,-0.3336638,0.8666619,0.23743401,-2.381619,0.213142,-0.5232528,-0.30370983,0.16425754,-3.0579565
GNB1,0.31766766,0.4209155,0.460489,0.03005175,0.44661134,0.099749036,-0.62017524,0.04638793,-0.26860356,-0.20960426,0.47848663,-0.39675367,0.65077597,-0.17810851,-1.2303339,0.11436833,0.62408346,0.09358911,-0.45577657,-0.25242135
FAAP20,-0.21747267,-1.4209435,-1.7077782,0.3390351,0.3603815,0.4514598,-0.97759235,0.027184524,-0.23385094,0.7850338,0.3447371,-2.9606266,1.2727698,0.06694511,-3.0604277,0.7274424,-2.4064267,-0.41549793,0.629468,-2.089535
RER1,0.4138829,-0.5336063,-0.41661543,-0.051660057,0.55434346,0.3835409,-1.0009232,-0.68108416,0.04024639,0.30300817,-0.30957785,-3.1104438,0.7542624,0.126868,-0.43312484,0.3565029,-0.36765128,-0.15218905,0.3911247,0.021192336
TNFRSF14,0.37406892,0.21611407,0.03329238,0.0056350473,0.4120955,-0.45757142,0.0941389,0.3971451,-0.1658696,-0.22518612,0.4792813,-0.2428427,0.17616627,-0.42186493,0.4309275,-0.11828495,0.027948158,0.5482398,0.009149856,-1.514614
CAMTA1,-0.21523918,-0.31031528,-3.157627,-0.07815978,0.6270712,0.8125239,-3.6099439,-1.182684,0.3529242,0.6990299,-2.202505,-3.1051214,0.018012045,0.6669542,-0.70670176,0.5659799,0.26151067,-0.31682545,1.0305796,0.53629655
VAMP3,-0.03927142,-1.4761462,0.51452863,-0.54539275,-0.67150986,0.8510624,-0.67911506,-3.507969,0.3473062,0.9097954,-0.05882128,-2.6446939,1.0493426,0.98776037,-1.0006092,0.5408894,-0.59954745,-2.8201334,0.79191643,-2.0464268
PARK7,-0.0146008115,0.72828686,0.003750135,-0.12686646,0.45047447,0.1029854,0.4393466,-0.36678296,-0.256325,-0.16526078,0.28207582,0.3317808,-0.30157465,-0.2786821,0.16154277,0.2107368,0.18291752,0.3877429,-0.085429356,0.5343171
