,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,ATAC private topic 3,ATAC private topic 4,ATAC private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 10
0,8.815065,0.4043886,0.8195905,3.1667707,1.0057482,0.658697,0.5385859,2.2502134,30.571016,1.1230623,0.47721025,0.7486946,1.8712572,0.90628916,37.033073,0.4794981,9.083231,1.3932942,0.41386193
1,10.169957,0.38778058,0.75476384,2.695,1.0479017,0.5954907,0.47901222,2.1730962,36.858223,1.1161467,0.5596751,0.7766068,1.6445005,0.90389013,50.512135,0.48115933,18.60432,0.71820974,0.49706715
2,6.7057343,0.45572418,0.62384355,3.0773056,0.9909995,0.5576534,0.43647426,1.9340256,31.798906,1.0874491,0.5202057,0.55988276,0.6489316,0.5621815,10.176186,0.5426909,32.999508,0.29682267,1.513056
3,7.3048425,0.6087035,0.5368764,3.7757049,1.0787481,0.56757754,0.49537373,1.6359357,40.306942,1.4261986,0.62454355,0.5670705,0.76985145,0.5557322,12.059754,0.48633227,29.116518,0.3126693,1.9557604
4,5.9140234,0.6771176,0.48807013,4.059062,1.0600157,0.6038871,0.5167856,1.3746617,29.75039,1.4575336,0.62567693,0.59912807,0.74674827,0.5662075,6.5092263,0.5369658,23.173677,0.32619512,2.6884713
5,4.9144645,1.1324452,0.5600438,7.718225,0.85101557,0.82054687,0.5088808,1.3053199,49.198513,1.4375345,0.99913067,0.51596636,0.93642014,0.54088485,9.193712,0.4423129,8.411807,0.42777866,2.0866337
6,5.155946,0.8759339,0.5401727,8.272799,0.80027413,0.79492813,0.4506638,1.2275705,57.417084,1.5708688,0.7830603,0.5734282,0.7852827,0.59453833,4.2674994,0.54587364,9.107145,0.33690256,2.8459363
7,2.9639983,0.9825369,0.4004048,20.326435,1.2172737,1.4516945,1.0640116,1.0855362,29.5711,1.0460148,1.3935102,0.7806935,3.1329646,0.96451014,8.175197,0.48749027,1.5068331,0.41438973,0.5498291
8,2.4069526,1.0521369,0.39021593,17.582047,1.4299195,1.0675535,0.8453838,0.9346186,43.935547,1.0935197,0.3339371,0.6662534,0.74180245,0.85431254,7.540018,0.4864768,4.660555,0.28659055,0.9718219
9,2.2005093,0.89628226,0.3678242,18.09057,1.1618465,1.400671,1.2329764,0.90727013,61.19956,1.2674478,0.42101547,0.8874051,2.1345227,1.244317,10.602709,0.43079773,3.4723094,0.3504116,0.61628246
10,1.7450781,0.8834574,0.31205672,13.320953,0.9994373,1.5715139,2.0781765,0.9213078,75.3818,1.3907713,1.4896351,1.310819,33.727505,1.4868152,24.41614,0.5257174,1.108017,0.87772286,0.44834104
11,12.124862,0.40895122,0.79463863,2.4308257,0.99052775,0.6530976,0.56585056,1.8386507,19.098106,1.176928,0.43218976,0.6788892,2.047494,0.8130446,42.48372,0.36876473,21.627443,0.3950473,0.40382254
12,15.826178,0.40069115,0.780897,2.4565585,0.95673263,0.63003725,0.4982146,1.8258195,18.705654,1.1282758,0.43342912,0.70440453,1.8744646,0.8333346,34.534657,0.39179,14.781999,0.46906948,0.44428292
13,11.6961355,0.41493046,0.7163527,1.88931,0.9092033,0.6089402,0.6093235,1.7393482,14.886181,1.0215046,0.7423537,0.62343234,0.8323142,0.68737847,29.18372,0.5324491,48.04224,0.25350395,1.1433878
14,7.4977674,0.55918455,0.52021706,3.4059052,1.016875,0.58037066,0.5510735,1.6170948,29.180317,1.168543,0.5071688,0.5005703,0.650677,0.5318613,9.249765,0.5134364,30.491894,0.3061265,1.453575
15,6.2481785,0.75545293,0.43274835,3.62013,0.9442419,0.6009021,0.5591623,1.3036416,27.785627,1.318894,0.5344278,0.5986816,0.6570911,0.59746915,5.302767,0.65348506,21.20377,0.25400618,1.9752382
16,5.857325,0.93249875,0.46974605,4.641457,0.8231416,0.74079466,0.56715435,1.3387308,24.469889,1.3024119,0.6817582,0.6292895,0.7343807,0.6143602,3.0595593,0.5726456,17.321035,0.3647608,3.2018964
17,3.9693725,1.370199,0.50248516,14.691307,0.84451306,1.1326468,0.6752721,1.308223,22.214712,1.1138866,2.2245317,0.57237387,1.4588939,0.60289574,6.806395,0.3670883,3.2276776,0.31448722,1.1143079
18,3.7313466,1.116175,0.4569981,12.457002,0.9897152,1.0849082,0.7148463,1.1532754,39.179787,1.0560898,1.0079373,0.672389,0.80134606,0.62545455,2.3866346,0.593475,4.417429,0.30516732,1.8964574
19,3.6310873,1.0036796,0.4155497,13.508163,1.1494658,1.1339631,0.8125534,1.252735,33.358147,1.1950042,0.83854914,0.6425668,0.6565265,0.6626435,2.1279461,0.7283384,2.9426093,0.30464926,1.6638275
20,2.2384763,1.0537072,0.31778452,21.489433,1.2687728,2.2234886,1.3317082,0.90267575,25.495687,0.9726299,0.7729607,0.8689294,3.4872966,1.2522242,5.390938,0.40834993,1.4553492,0.32464677,0.4071045
21,1.9543787,0.8103165,0.35456413,15.827364,1.036213,1.8128577,2.2872639,0.94924104,61.653744,1.4694929,1.7855676,1.109317,17.785675,1.3043975,9.855358,0.5003478,1.7932489,0.6780803,0.41698405
22,1.7089477,0.81832385,0.31591362,12.642737,1.0037625,1.5465965,2.2087193,0.9047712,83.11241,1.4952465,1.4307835,1.2355963,46.11661,1.3828179,13.415251,0.48615465,1.0822768,0.8807487,0.40296638
23,1.5410806,0.82572436,0.25935778,11.251707,1.0602582,2.4110312,2.9218855,0.9406136,81.52004,1.6779325,0.8582113,1.5026581,797.54144,1.1742337,2.4375448,0.8748647,2.0642538,0.705272,0.597071
24,1.6402649,0.7558984,0.2788744,17.928864,1.301303,1.8103063,6.2890882,0.88789964,63.80119,1.6552428,0.801095,1.4190552,535.7901,1.1705117,2.1762898,0.84956807,2.063446,0.76892465,0.5870503
25,10.433749,0.4994058,0.6753051,1.8659561,0.79938585,0.6279074,0.6836406,1.8195401,8.226689,1.6629244,0.7637067,0.63995063,0.7820999,0.73937196,7.5163083,0.44787902,25.175005,0.74333817,0.6590762
