,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,ATAC private topic 3,ATAC private topic 4,ATAC private topic 10
95.06068721922534,-3.116972,6.5479503,2.263349,-5.0782747,-4.4300756,0.057798225,-0.69633037,3.2461822,-9.092913,-2.3676043
104.10721613216346,1.3161869,6.097995,2.7685993,0.19031706,-0.22253294,-0.76636213,0.25484052,4.0256805,0.56373423,1.0665971
114.0663487757167,1.6327865,6.1835947,2.1287258,-5.201519,-5.1292744,-0.43653002,-0.64579797,4.3147163,-13.018994,-3.0744278
126.02200299722656,6.6091747,5.035263,-2.261294,-4.5290613,-4.843603,0.42529723,-2.0048862,-4.413752,-12.308659,-3.4210987
138.05260963693527,1.8878002,2.8409352,1.0290344,-4.9383526,-5.0616846,-0.6609922,-0.9144345,5.1167636,-13.056463,-4.1235557
141.07147334429604,6.356636,5.3155212,-0.07349554,-4.997259,-5.2502337,-4.3059635,-2.8011584,3.2846594,-13.439794,-3.5670269
142.94804145265775,-0.33576268,4.9861364,1.3736047,-4.6767144,-4.5892935,0.44530976,0.14681536,3.89082,-8.158019,-2.2627418
146.16516858340012,3.5332117,6.075491,2.7372828,-5.0806913,-4.578265,-1.6145767,-0.96711683,3.2029622,-11.472769,-1.7689722
150.97673966710036,3.3995607,6.0880356,0.27945173,-4.805919,-4.9993167,0.07331074,-0.2126398,2.7985644,-11.6885395,-3.6437159
152.04718107340682,4.458678,3.8766806,-3.3090692,-4.2327476,-4.6848474,0.741673,0.38462642,-2.9140913,-11.419392,-2.838196
156.07691831543409,3.393828,1.4170911,-0.037383996,-4.037069,-3.9054303,0.63312453,-0.27314165,3.4487197,-6.1557164,-3.0411844
157.04607935405934,-1.6381611,2.9332433,0.7814091,-3.6167572,-2.7037337,-0.27251646,0.3094028,4.378688,-6.3004513,-3.1090963
158.04032672175362,8.20546,0.9235652,-1.9040911,-4.6088147,-4.4762645,-3.4364762,-2.8786445,-3.839764,-11.791765,-3.3909304
158.92214768140076,4.0063486,3.0978167,-3.0119088,-4.629486,-4.57051,1.1319305,0.6977723,-1.7390103,-11.34053,-3.0869076
159.16856324044997,-11.224741,6.514923,-3.672897,-4.292101,-4.2576346,2.1274025,0.81040597,-5.978855,-10.694825,-3.0285566
163.97769453157306,4.673702,6.135356,1.5126214,-4.840169,-5.0868516,-0.44366476,-0.6803032,2.1284242,-11.840851,-3.7540905
164.00826925149738,6.46411,4.6068425,-2.6353996,-4.0930533,-4.5569334,1.2342023,0.28448793,-5.239996,-10.975499,-3.1825027
164.93001813169528,-12.968256,1.6660123,-3.1124156,-4.451968,-4.010839,1.254358,0.7986517,1.8949172,-7.788703,-2.9757504
169.98583471858657,2.1357937,5.750993,2.1192243,-2.677021,-2.4532716,-0.2503422,0.2307879,4.225953,-3.2299373,-2.655782
181.06253357277816,4.385253,3.705383,-3.0484004,-4.1782546,-4.7512302,0.9652528,0.06638878,-1.9684031,-11.1769905,-3.6104915
185.95976571022555,5.151968,5.4603577,-2.8327851,-4.935994,-4.9434853,0.023641722,-0.020410972,-1.0044745,-12.922173,-3.6855962
188.17563513707617,3.291864,6.251706,1.8453149,-4.9603963,-5.325229,-0.27811417,-2.653494,3.1656404,-13.576507,-3.7098582
195.0419453058757,4.553368,5.063071,-2.5084345,-4.670417,-5.1020145,0.37279135,-0.4811428,1.4026828,-12.759129,-3.723356
195.06271277531698,-0.46101275,3.7444208,0.9479972,-3.7203944,-3.8881474,0.16096419,0.40172726,3.978108,-8.125684,-2.878408
197.05746415042407,4.0768046,3.9072351,-2.9683905,-4.5804086,-4.8664985,0.49517915,0.3026279,-1.8293617,-12.769249,-3.8323848
199.07325281002025,-2.5638444,2.615246,-2.2857118,-4.0775614,-4.433367,0.80019116,0.44016677,1.282386,-11.572293,-2.7191467
202.066501544518,8.597172,-1.3776804,-2.55609,-4.460324,-4.62783,-4.1200323,-2.8759968,-5.415059,-11.919815,-3.3990948
205.06005018215913,-11.515624,6.7856016,-4.4503527,-4.844243,-4.51883,0.56477416,0.95271647,0.97621036,-10.744423,-3.3677416
206.05539519878883,7.6844025,2.2194602,-2.5939233,-4.682463,-4.8536386,0.5118563,-1.1701752,-6.316721,-12.516685,-3.2642245
211.07315270468837,3.7270362,5.0929875,-2.3962772,-4.3950186,-4.7204595,0.49931154,0.24294381,-0.031334758,-11.444234,-3.983979
214.05565761455762,3.6920211,4.362523,-3.3559928,-4.2274036,-4.176329,0.5963637,0.3448879,-3.649149,-11.787582,-3.0230231
215.06810475732192,4.6801195,5.271515,-2.9773545,-4.6802716,-4.8794546,0.5931329,-0.011549853,-1.601552,-13.091242,-3.7065282
