,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 10
HES4,-4.8465977,-0.5264592,-0.4265994,-0.35820907,0.4001097,1.4011469,0.95353395,0.9351142,0.73832965,0.3002477,1.2855618,-3.168278,0.29629812,-1.9996939,-0.23551597,-0.23642184
AGRN,-0.21774466,0.08096499,-0.29677585,0.1953067,-0.11174905,0.7372606,-1.2027417,0.71564245,-0.129593,-0.6777361,-0.8221271,-0.35404032,-0.10364462,-0.46185452,0.6252265,0.24609202
TNFRSF4,-7.0985956,-0.37403727,-0.56193125,0.3715837,1.3540547,1.2534608,-0.92035615,0.7992732,-1.2626041,-1.8465061,1.1703055,-2.9905975,1.8256209,-2.3323884,-2.1585941,0.42774433
SDF4,-0.55160713,0.021076612,-0.6814745,-0.032892104,0.31778443,0.79679966,0.44633165,0.81442726,0.17631002,0.45789754,0.7672972,-0.19271512,0.45880294,-0.96802187,0.041274857,-0.46179646
MXRA8,-1.8607811,0.03545414,-0.7918053,0.0461169,0.17250434,0.18956253,0.7844982,1.0544077,0.17871524,0.49846092,0.35930908,-1.83103,0.57777596,-1.5769184,-1.2342762,0.012049061
AURKAIP1,-0.39494973,0.017800767,-0.24649599,-0.00029649,0.123652704,0.8224487,0.2233786,0.7066799,0.30828208,0.46379423,-0.13106689,-0.03075573,0.37338766,-0.27180457,-0.46866173,0.34690875
CCNL2,0.15087155,-1.4307473,0.5165141,-0.2340614,0.8115896,-2.8752558,0.66322166,-2.3729358,-2.6082478,-1.0226816,-0.37044793,-1.4444913,0.50388724,1.1890392,0.8204004,0.7772421
MRPL20,-0.03399633,0.07299074,-0.014475008,-0.16559342,0.14481968,-0.71315837,0.2993251,0.26450142,-0.063881986,-1.8869336,-2.833461,-0.0060872673,0.5941183,0.19280295,-0.008837944,0.03822302
VWA1,-3.3334606,-0.35217202,-0.457164,-0.057676516,-0.117313154,1.3931317,1.0086279,0.50058585,0.046282236,1.064616,1.559392,-0.94040763,-0.12549736,-2.7046173,0.2666854,-1.4303095
SSU72,-0.7479437,-0.07212059,-0.1465053,0.06545634,-0.0029869864,-0.14719746,0.5352921,-0.51534986,0.36163622,0.5626148,0.6488996,-3.0468886,0.54301816,-0.17568175,-1.1258621,0.6120176
GNB1,-0.21049267,0.018448137,-0.1014488,-0.11413013,0.40381327,-0.22474238,0.6115262,0.5090488,0.123319276,0.67683715,-2.2294388,0.23129459,0.6635984,-0.3533435,-0.020851085,-0.38663447
FAAP20,-0.012793809,0.0028544134,0.0019409779,-0.012372192,0.09153491,-0.08977562,-1.6451107,0.47839004,-0.43419358,-0.87983626,-2.5979483,-0.59470624,0.5328053,0.0022737682,-1.1266884,1.0064955
RER1,-0.25564852,0.19523987,-0.065265834,-0.09769694,0.31382278,-0.22954352,-1.2658285,0.15620282,-2.0920713,-0.28250885,-1.7667116,-0.34901023,0.886553,-0.012789607,0.27379254,0.63922083
TNFRSF14,0.114775226,-0.43376657,-0.07703197,0.14006528,-0.23358287,0.50659215,-2.6521666,-0.7727957,-3.4036236,-0.7342204,0.53720987,-0.19079092,0.34382507,-0.15250391,-0.17656814,0.7959881
CAMTA1,1.2016286,-0.79141647,0.37084994,0.15332656,-0.3313958,-2.5640595,-0.60363644,-2.5506868,-0.100999735,-2.1200042,-2.4894786,0.117587365,0.15131174,1.071794,-0.10125841,1.0967923
VAMP3,-0.44961086,0.46282303,0.61554825,-0.08873822,0.05930132,-2.043202,-1.1364864,-1.2975938,-1.0889251,0.27434224,-1.3562852,-1.9846438,0.9660404,0.47414148,0.49595237,0.72741246
PARK7,0.06416124,-0.12939985,-0.12801032,-0.06956826,0.24229293,-0.33308357,0.96663046,0.06558137,0.7289181,0.366323,-0.36841503,0.25052515,0.28558776,-0.09251183,0.039996695,-0.15936436
ERRFI1,-0.47683918,-0.16821799,-0.3872882,0.19860172,0.9168119,0.20021832,-1.3501902,-0.34281102,-0.2960727,-0.70894927,-2.3447435,-0.1296928,1.0521864,0.41779983,-1.0806806,0.63326466
RERE,1.8602891,-3.469327,0.7134734,0.0946098,0.4316944,-1.439854,-2.4316936,-1.7063416,-0.82459855,-2.581265,-2.582071,0.13888858,-0.10201374,1.9240805,-0.09443972,0.7614835
SLC2A5,2.2475502,-2.6973324,0.81227344,0.33416304,-3.0475395,-2.5660644,-0.7365302,-1.8374139,-0.72023153,-1.7436697,0.6206665,1.0473131,-3.1657634,2.075179,0.31442353,-1.3866016
CLSTN1,-0.45525903,-0.11117182,-0.060203787,0.05531382,0.14236975,0.116858885,-0.04818689,0.18694878,-2.1280787,0.47309962,0.008335039,0.26376247,0.57293445,-0.352026,0.20260476,-0.42677683
RBP7,-2.9519997,-1.6399293,0.9553913,-0.06382517,0.95970535,0.5802857,-2.0274198,-1.2409291,-0.4027575,-2.2859457,-2.3195238,-2.1486318,0.69629896,0.52846485,0.73867655,0.902508
PLOD1,-1.3073795,0.3385639,-0.38301373,0.05588145,-0.15661268,0.40582368,0.71220326,1.0564376,0.68011326,-0.10967141,-0.72135913,-0.3268838,0.3732704,-1.211409,0.10674098,-0.026065264
DHRS3,-0.45810634,0.2276215,0.09299164,0.13846117,-0.43589705,-0.2176061,-1.5629566,-0.053265944,-1.131917,0.6854477,-0.58737063,-0.19533531,0.20632355,0.25770712,0.05171902,-0.2751437
SZRD1,-0.16730452,0.05549205,-0.027211951,0.004331704,-0.02582673,-0.28249577,0.64547604,-0.13407375,-0.3308104,-1.0101175,0.7044109,-1.4918699,0.7810656,-0.24655935,0.10738166,0.72097343
SDHB,2.2043076,-2.8068984,0.57675284,-1.9690261,0.5106122,-0.24893257,-2.5677657,-0.46866855,-2.898511,-2.7247002,-2.0972192,-0.52622145,0.4356367,2.1403646,-2.6094985,0.7378358
AKR7A2,2.031628,-0.33198014,0.033231787,0.12189447,-0.5607443,-1.8381338,-2.8573508,-2.2022314,-1.6391361,-2.4436734,-2.6792517,0.20328753,0.73469937,1.4413182,-2.059448,1.1311669
CAPZB,-0.8385174,0.25311682,-0.6999559,-0.33420917,0.38258505,0.34790665,0.63762164,0.4259181,0.29903683,0.7150982,0.4272324,-0.08119307,0.804966,-1.265903,-0.5987415,-0.42729968
MICOS10,0.26399934,-0.15626614,-0.09806888,-0.023124613,-0.022119882,-0.95975703,0.35317415,0.32124397,0.5196191,0.74904156,-1.9797924,0.3025124,0.2084865,0.08949557,-0.190889,-0.08031507
RNF186,0.9055532,-3.9841723,1.6137482,0.3696138,-3.1189723,-2.56695,-2.5912657,-1.816156,-2.4170017,-1.7069911,-2.0343776,-1.4239193,-2.693953,4.038832,-2.3251402,-1.6932284
CAMK2N1,1.1134177,-0.40253899,0.43666252,-0.19303153,0.41135064,-1.8496748,-2.8533862,0.019448208,-3.0099702,-2.7262824,-2.830373,0.8045936,0.8197926,1.1726756,0.3357697,-0.74790937
PINK1,0.0021201968,0.07357456,0.03649404,-0.1640903,0.33990774,-0.110906504,-0.7501866,-0.4410254,-0.39567012,-0.4298322,-1.9809648,-0.5730347,0.92347634,0.16789149,-0.020847151,0.5111174
