,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 6,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9,ATAC private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
0,0.34835643,0.7954025,0.5898704,0.3687207,1.9276869,1.2921364,11.8555155,0.658502,0.446818,1.0315201,0.834792,1.0517614,0.5379988,2.1349244,1.7584248,199.29137,1.6464827,0.8221968,1.557801,1.5133783,1.4112792,1.3305572,0.99372005,1.2263238,2.400312,0.9682689,0.8604553,6.5443296,1.0360849,14.66888
1,0.37755716,0.7205709,0.57833576,0.36170456,2.3122363,1.0240183,12.249059,0.72081023,0.44727033,0.9915104,0.8889945,0.9031503,1.3116273,2.1239667,1.295389,102.605385,0.96372,0.71238333,1.0844024,1.0699137,1.3766582,1.2451172,0.96709746,1.317812,2.067192,0.99376595,0.81683826,5.5623846,0.9788084,14.665314
2,0.49401134,0.58469105,0.672752,0.50357866,2.1143506,1.0272663,13.021162,0.82751846,0.46128482,0.82424116,0.9301748,1.0127915,4.8387327,1.39676,0.9876716,89.251976,0.7160174,0.62600803,1.2165937,0.80621535,1.4544021,0.74283445,0.6275799,1.4351604,0.6870941,0.834282,0.6710156,2.3575106,0.6756608,13.420767
3,0.562594,0.5710893,0.75776494,0.72644687,1.6918266,0.9091748,13.79443,0.8731418,0.5389329,0.9036145,0.92236155,1.0556657,5.888132,1.0596013,0.85722524,59.175167,0.7281474,0.5886625,1.5473473,0.74879897,2.3225982,0.86726564,0.5709822,0.7245892,0.57513756,0.52605987,1.088845,1.6067691,1.1024987,7.60693
4,0.5068789,0.5975089,0.81422055,0.6898687,1.5006018,0.9837222,13.517683,0.86425596,0.5346698,0.9616549,0.79171884,1.0325099,4.855685,1.0727626,0.8047307,52.102276,0.7293426,0.58654076,1.5914717,0.73021626,2.3594244,0.8888578,0.5524886,0.5991215,0.647487,0.49747527,1.1285008,1.7135559,1.1606429,7.4276476
5,0.46672034,0.6041064,0.6505826,0.6414399,2.4215047,0.86827755,12.65345,0.9216049,0.51199794,0.9988208,0.77282196,1.1484599,6.722509,1.0759112,0.8012764,61.200527,0.7312641,0.63903064,1.6432539,0.6987896,2.7228196,0.8760015,0.63062847,0.69115967,0.66718644,0.571169,1.1204386,1.7388523,1.2798505,6.6771774
6,0.35165995,0.742337,0.5527423,0.4215623,2.4868135,1.3006303,11.575916,0.646502,0.5341276,0.9726188,0.8741144,1.2055497,0.56944555,2.1345952,1.5208247,211.22127,1.6180376,0.87563354,1.3538593,1.49106,1.4419978,1.4183425,1.0537498,1.0831896,2.779487,0.9145551,0.9235867,6.485846,1.1656553,12.980766
7,0.33918357,0.8438884,0.5535345,0.32887644,2.1269925,1.1773443,12.498077,0.6692377,0.43315655,1.081981,0.82786405,0.942415,0.55661535,3.0984626,2.1725354,200.59618,1.4340762,0.7390414,1.1570163,1.397712,1.9798975,1.4860661,1.0658423,0.99747676,2.0999165,0.90284514,0.99857736,4.8921194,1.1693149,12.111535
8,0.38571376,0.7929798,0.5617444,0.38349432,1.9079854,1.1017637,11.894402,0.69695616,0.45788172,1.0266659,0.7122543,0.9513062,0.5923592,2.75831,1.7519345,135.94217,1.2489558,0.7077178,1.0947093,1.3028675,1.7336947,0.8172102,0.69184715,1.2467126,0.71544826,0.768382,0.73795885,2.4142957,0.7193024,13.897542
9,0.4621003,0.71612406,0.684124,0.48333997,1.6232438,1.0898638,11.841347,0.72076285,0.51315206,0.86879885,0.7461057,0.9931385,0.868817,2.7750137,1.3694484,146.28622,1.007606,0.75249785,0.9394157,1.2041214,1.6663346,0.73390484,0.64133847,1.3700137,0.61677396,0.8593516,0.62711376,1.804697,0.66602606,12.979398
