,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 6,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9,ATAC private topic 10
95.06068721922534,-0.4094503,0.043437246,0.17842445,0.6497579,0.83082896,0.16635676,0.48046252,-1.6801898,0.27801016,-3.116324,-1.0018135,0.86506236,-0.38901767,-2.763105,-0.11335366,0.00777302,0.6302567,-0.0061390325,0.044612125,-0.88153523
104.10721613216346,0.8928328,0.09202689,-0.036146004,-0.14135168,0.34331325,0.0056563895,-0.13754646,-0.0110816965,0.08955396,-0.34854802,-0.70132756,0.6192944,-1.6406337,-0.0886198,-0.15497825,-0.26387936,0.4781048,0.48867097,-0.03759837,0.15683877
114.0663487757167,-0.10687498,0.07738563,-0.024029333,0.023321206,0.3061749,0.16578706,-0.037511986,-0.25274196,0.14732046,-0.48885703,-0.7526178,0.43053204,-1.4271849,-0.07988632,-0.18972297,-0.2550586,0.42960423,0.24196135,-0.06634765,-0.046219278
119.08989347482412,0.3436019,0.69957006,0.31964475,0.019263458,0.34245065,-0.04900624,-2.1714883,0.20738797,0.26497552,-2.5946085,-0.16342866,0.43285695,-2.0828216,-0.9266173,-0.06481786,-3.05022,0.9150995,0.60939884,-0.36241075,0.5801585
120.10201086819092,1.2395809,-3.3763244,-0.5088764,-1.0849676,1.0168331,0.3725508,1.0336723,-2.934771,-1.6867707,0.2973314,-3.2863476,1.1475528,-2.4798768,0.69389147,-0.5188167,1.0060662,0.20125155,-0.010274291,0.7785897,-3.1004212
126.02200299722656,-2.3120196,0.56798726,0.15469977,0.011218874,0.51421833,0.5321796,-1.1206692,0.19931352,0.059862696,-0.67221224,-0.08515732,-0.024325613,-1.6306926,-0.7415883,0.1853509,-2.3076518,0.8302886,-0.5205182,0.33496574,0.40098718
130.08648087626347,-3.423478,-0.99668175,-0.03321303,0.3668749,0.64047223,0.36627185,0.6560295,-0.86762583,0.4342252,-0.21322045,-1.3224566,0.6933189,-0.45128566,0.2093169,0.14428714,0.48284578,0.25143266,-1.6395932,0.38889274,-1.7483003
141.07147334429604,-0.23424686,0.5628781,0.18919526,-0.175764,0.34744224,0.118040994,-1.1802682,0.32125646,-0.008829317,-0.85150236,-0.25019962,-0.70700246,-1.8582772,-0.7750197,0.18523706,-1.7186005,0.8135944,0.28693944,-0.28195867,0.5327537
142.94804145265775,-3.3709035,0.019570583,-0.015503127,-0.039263904,0.7553208,0.37189695,0.14791673,-0.15762547,0.13012032,-0.59605294,-0.8273182,0.3097898,-1.3282816,0.17964488,0.19939879,-0.026441935,0.50589305,-2.0330045,0.27186412,-0.071154885
146.16516858340012,1.122118,0.07670959,-0.12859641,-0.19879864,0.39439774,0.006121241,-0.27824178,0.092115566,0.100177385,-0.57773525,-0.7654052,0.86756384,-1.5954689,-0.540693,-0.17065671,-0.41449225,0.46928275,0.7034503,-0.104167186,0.14120436
150.97673966710036,-3.3664458,-0.005135318,-0.021487722,-0.027914641,0.47611117,0.21216972,0.07273373,-0.017539443,0.10441718,-0.19321841,-0.7661742,0.3905822,-1.1488489,0.045805704,-0.066749364,-0.059291434,0.5336576,-1.1274644,0.15849426,-0.06545508
156.07691831543409,-3.6684716,-0.25476035,0.14727311,0.4165329,0.6712592,0.46058264,0.5229676,-0.5689261,0.17960058,-1.0296305,-0.96812385,0.35594085,-0.54390097,0.055852655,0.2082187,0.3242505,0.32090798,-2.4597716,0.42560184,-0.54220307
157.04607935405934,-0.3211906,1.198887,0.7102324,-0.42657804,0.36573806,0.028289778,-3.1881595,0.8008454,0.024955805,-3.1275747,0.16000354,-2.2836058,-2.021649,-2.6988206,0.19147305,-2.8309796,1.1057782,0.3434731,-0.8285902,1.20672
158.04032672175362,-0.083509974,0.71227884,0.39824694,0.037850205,0.39680463,0.19913256,-2.255578,0.4281142,0.01452714,-1.3474607,-0.094782054,-0.62987036,-1.8994726,-0.92920774,0.2939587,-3.1832106,0.8711512,0.34951997,-0.44624838,0.6476799
160.13314159280725,0.24661133,0.32926017,0.07275127,-0.023205657,0.08570754,-0.049772594,-0.5423867,0.12204882,0.3200385,-0.83886236,-0.2141627,0.7084542,-1.7375635,-0.51331234,-0.6661498,-1.0369883,0.6192331,0.20711994,-0.5907864,0.40194795
163.97769453157306,-3.5635438,0.67978644,0.36906952,0.086989366,0.6867736,0.4235162,-1.589278,0.41821328,0.21079855,-0.72597975,0.036014136,-0.7571381,-0.9578702,-0.39455464,0.4006894,-2.9248495,0.95488083,-1.1204582,0.23257709,0.6450523
164.00826925149738,-3.46237,0.4978569,0.123453625,0.028776016,0.8182551,0.43141675,-1.1123841,0.09789446,0.1495816,-0.93537205,-0.26141936,0.16881597,-1.3691838,-0.43109205,0.334668,-2.0861971,0.79084504,-1.735482,0.18560289,0.38816017
169.0948563029166,-3.2191403,-2.6759624,-0.42751658,0.8512725,0.7943407,0.64697564,1.4067413,-2.9684644,0.48930642,-0.8437572,-2.3726616,0.96558225,-0.3349791,0.5561062,-0.22956313,1.1334237,-1.3900737,-2.739546,0.55269206,-2.4706683
169.98583471858657,-3.4148452,0.36333695,0.3425629,-0.075305715,0.96292406,0.57515216,-0.78015,0.037995968,0.07385383,-1.1787835,-0.47101703,0.01607125,-2.1906435,0.26244846,0.48661247,-1.3020891,0.6384427,-2.2861269,0.5104415,0.21334617
176.11822321817183,-2.050266,0.7007271,0.63850385,0.0032386521,1.1505102,0.007167714,0.116779305,0.011762621,-0.96708983,-2.7499526,-0.7060451,-1.6273351,-1.466948,-0.80276084,0.3838721,-0.81718206,1.0572906,-1.0189091,0.27156106,0.5551161
181.06253357277816,-1.4793574,-0.96126235,-0.11640329,0.17820634,0.51947457,0.21386698,0.32339013,-0.003312288,0.36183676,0.020708278,-0.47344464,0.37653625,-1.009473,0.16127744,0.31298694,0.013143632,0.7373377,-2.2057853,0.3926472,-0.9707555
185.05740413292418,-2.542154,0.34974352,0.21371152,-0.12825504,0.7436431,0.7568849,-0.17335412,-0.15519443,-0.043660566,-0.5800177,-1.0815327,-0.24894801,-1.1475848,-0.6469584,0.29913145,-0.24197064,0.9878503,-0.7639886,0.7334298,-0.4313452
188.17563513707617,2.0516365,-0.31537881,-0.535578,-0.703311,-0.6691677,-1.5946809,-2.8317792,-0.06954701,-0.019949479,-0.24275024,-1.0590087,1.239818,-1.6747003,-1.7311901,-1.9639467,-2.8291254,0.5243389,1.4884018,-2.71557,-0.0775586
195.0419453058757,-2.9034138,0.027679572,0.035867784,-0.048306603,0.5412431,0.28382748,0.11680158,-0.10193048,0.138685,-0.23078026,-0.77440894,0.41041574,-1.364561,0.0436262,0.058569122,-0.068303905,0.60288125,-0.8417947,0.19501992,-0.1118117
195.06271277531698,-2.1722357,-0.53868,-0.02923047,-0.28170243,0.85187024,0.5440074,0.43628463,-0.45032194,0.20770708,0.02252532,-1.9973147,0.83959657,-1.0977573,0.3613837,-0.09398218,0.36132565,0.41258994,-2.0613725,0.54061335,-0.5343649
197.05746415042407,-3.061178,-0.0711278,0.02011656,-0.06931396,0.6952819,0.4231572,0.14108816,-0.26159126,0.11996319,-0.22192515,-0.91945153,0.20446077,-1.2289746,0.10683089,0.20701368,-0.096115276,0.56564224,-1.5809743,0.5546576,-0.3451983
202.066501544518,-0.9290381,1.2006966,0.6229221,-0.08235999,0.61111873,0.04025276,-3.7191465,0.8316541,0.37033203,-3.1130128,0.32319516,-1.5330226,-2.0661445,-1.9336172,0.13815235,-3.8679717,1.2713042,0.2501438,-0.60283893,1.2223824
202.09219427994782,-2.340722,0.11178736,0.029161138,0.0023098069,0.35970685,0.6195616,0.20415081,-0.30353308,-0.14625226,0.023758115,-0.32531393,-0.120187886,-0.35633048,-0.459881,0.21575753,-0.1046591,0.5133572,-1.6769835,0.6771333,-0.30141583
205.06005018215913,-0.27110428,-2.2587235,-0.11327042,0.0073977388,0.6287645,0.34876496,0.5071202,-0.81831217,0.41059968,0.09056957,-1.9474674,1.2740582,-1.8061087,0.20840056,-0.13190979,0.35555062,-0.0990239,-0.17685181,0.4921578,-2.6210284
205.12064445969258,-0.09748363,-0.67556554,-0.059345044,0.123812556,0.382984,0.16855986,0.063940585,-0.39780825,0.34620216,-0.3872394,-1.1005592,0.5838208,-0.76256514,-0.13816516,-0.09559584,-0.22120297,0.50549215,-0.19731662,0.23329754,-0.5208376
206.05539519878883,-2.1208532,0.18964691,0.019969404,0.039773844,0.5315866,0.2077209,-0.44306624,-0.033427596,0.2249538,-0.5662232,-0.45547533,0.18923792,-1.2129003,-0.13562381,0.117320575,-1.1884099,0.56262815,-0.404742,-0.066046245,0.16106951
211.07315270468837,-2.3920748,-0.0020486237,0.02386322,-0.09145207,0.5497679,0.36113247,0.104147896,-0.06990387,0.10544465,-0.20377587,-0.84212214,0.28412467,-1.0942421,0.045605972,0.106849104,0.05827055,0.5472608,-1.4681146,0.33952695,-0.17626782
215.06810475732192,-0.8815653,0.0386237,0.0045285965,-0.033600412,0.44472086,0.23884998,0.027724158,-0.03681302,0.096676715,-0.1707174,-0.8003984,0.39477608,-1.387726,0.0002638042,-0.067285635,-0.09023886,0.5307385,-0.37076646,0.20604785,-0.120362304
