,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
HES4,0.26879776,-0.3346447,-0.09800006,-0.24954332,0.32968754,-0.025739113,-0.25431606,0.084542364,0.34940514,0.02677124,-0.057651546,-0.24074873,0.26914522,-0.055904537,0.77598524,-0.025562039,-0.5258678,-0.18797131,0.22902401,-0.16790645
AGRN,0.24748877,-0.393738,-0.33744755,0.051933154,0.031562604,0.0008728139,0.1459852,-0.42533663,-0.06645745,0.20089056,0.030033361,0.07025672,-0.5669211,-0.25545767,0.08267156,-0.192813,-0.07110629,-0.016030941,-0.0037400194,0.02882908
TNFRSF4,-0.14956118,0.88908744,-1.1963809,-0.18621384,-0.86615086,-1.461051,-0.9882196,0.45966998,0.2630864,1.0331165,-0.9094666,-1.063128,-0.92861915,-0.6812682,-0.6148835,-0.050838053,1.1940589,1.5840119,-1.6934317,-0.21095856
SDF4,0.3477602,-0.3311087,0.050000068,-0.0137952585,-0.04377413,0.020466302,0.11295726,0.005259684,0.22168435,-0.097675055,-0.00016486661,0.31706607,0.40819237,-0.013652387,0.06872307,0.0043558567,0.1763422,-0.35994968,0.022783201,-0.05819996
MXRA8,0.48773956,-0.06909701,-2.3705027,0.18487388,0.28009397,-0.61610997,-0.31837526,-0.3068129,0.3317359,0.44116867,-0.045735803,0.2058006,0.09284641,-0.41810757,0.6840927,-0.99445474,0.50057405,0.034901656,-0.32540354,0.5468917
AURKAIP1,-0.1261151,0.10296877,-0.54785854,0.043399327,0.0006619894,-0.02768312,0.23490025,-0.1286548,-0.39254194,0.07411315,0.06873397,-0.22543027,-0.9242677,0.0030729752,-0.7131449,0.012960102,-0.12243593,-0.045516465,-0.063239366,0.11600459
CCNL2,-0.035433505,0.04192242,-0.07567887,-0.09764648,0.067695275,0.15978381,-0.066864446,-0.5028433,0.0466759,-0.16213223,-0.0043034153,-0.8224143,-1.0926512,0.023059951,0.073873855,0.061388917,-0.10732593,-0.06211622,-0.040641405,-0.17133154
MRPL20,0.21133144,0.088728346,-0.043897428,0.13751182,-0.07602066,-0.018279988,-0.22561975,0.11050745,-0.018815137,-0.13469583,-0.0065792305,-1.0257944,-0.37332964,-0.012120691,0.07077044,0.008600433,0.34639996,0.05518808,0.14482991,-0.04423236
VWA1,0.5107252,-0.2864831,-0.055950012,0.25727236,0.31908414,-0.13174629,0.21984977,-0.31577653,-0.09186909,-0.2991221,0.062497657,0.16723329,0.06049503,-0.18022609,0.35648265,-0.005096978,0.13539243,-0.6700256,0.27802554,-0.09815546
SSU72,-1.1856387,0.15013207,-0.000609078,-0.00046120537,-0.06932665,0.0122126015,0.06089,0.01997392,0.23609602,-0.11948101,-0.01135608,0.053819217,-0.65418655,0.009619555,-0.26746562,0.012219761,0.53761524,0.0012467792,-0.96533304,-0.4484289
GNB1,0.08233017,-0.011366553,-0.00093330664,0.009848028,-0.0025040873,-0.0074230614,-0.0054191323,0.0059902994,0.016845826,-0.031223109,-0.0030955498,0.1775199,-0.64972216,-0.0024813816,-0.020699538,0.0017077917,0.30616817,-0.017223414,0.019862343,-0.019784397
FAAP20,-0.7909565,0.4453086,-0.26730838,-0.18316357,0.22258547,0.09954978,0.09062977,-0.4419087,-0.26292363,0.114019156,0.26466233,-1.5264335,-0.9278136,0.31591672,-0.083614625,-0.26114956,-1.9735457,0.24137868,-0.884673,0.6802663
RER1,-0.42535678,0.022038238,-0.057308376,-0.13417551,0.022512048,0.0049092714,0.19673602,-0.08554861,0.027473297,0.00067400816,-0.004074066,-0.2786269,-0.06327489,-0.0018097681,-0.2157032,0.008789656,0.013548558,0.020092482,-0.032325298,-0.018501094
TNFRSF14,-0.02994812,0.021941617,0.22460888,0.084019974,-0.15939833,0.13213973,-0.044320937,-0.24045122,-0.13145939,-0.5509029,-0.03790926,-0.2416316,0.21549699,0.010341122,-0.0046534436,0.1530845,-0.32175303,-0.3350963,0.12514673,-0.58740515
CAMTA1,-0.48532414,0.43834406,-1.0223452,-1.0754728,0.23441699,0.18336977,0.5492148,-0.63574356,-0.33044937,0.39069808,0.36810225,-1.4001204,-1.5839094,-0.48236555,0.3368552,0.3663081,-0.42410204,0.5106882,-1.5551482,0.67035097
VAMP3,-0.096819535,0.3589796,-0.24107656,0.12009152,0.5871335,0.012830367,-0.772052,-0.9278162,-0.06551379,0.4921373,-0.4921453,-0.24503486,-0.050877985,0.061317492,-0.4374631,-1.2310176,-1.229775,0.54242086,-1.3266786,0.6753816
PARK7,0.22531149,0.02063034,-0.022213502,0.01769899,-0.0032482904,-0.02180276,-0.16681547,0.11311247,-0.014094914,0.05013074,-0.0725512,0.2315776,0.37930024,-0.006103659,-0.13348147,-0.021408405,0.3193796,-0.022709323,0.14003335,-0.15348116
