,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 14,Shared topic 15,Epigenomics private topic 7,Epigenomics private topic 9,Epigenomics private topic 10
Sox5,-0.40883577,-0.42450845,-1.807063,-0.56896,-0.8779547,-0.40170544,-0.206341,-0.15097962,-0.3233095,-0.26845956,-0.32664225,-0.429281,-0.46840852,-0.4339394
Satb2,-0.83675635,-0.92376804,-3.5865743,-1.2121148,-1.3687236,-0.96593165,-0.12683773,-0.15278119,-0.52970403,-0.30507872,-0.7906289,-0.95807356,-0.8536119,-0.83765185
Khdrbs3,-0.7715553,-0.7202151,-2.4621723,-0.8793458,-1.2377882,-0.75003296,-0.31553143,-0.13909158,-0.45313597,-0.31951058,-0.56928027,-0.7711755,-0.59894276,-0.8040651
Sel1l3,-0.9776641,-0.85461795,-2.8640203,-0.9553431,-1.5022495,-0.8328839,-0.2690288,-0.24589843,-0.566679,-0.42019135,-0.6499156,-0.86492693,-0.8203596,-0.98065
Fhl2,-0.8714148,-1.0417023,-3.0193567,-1.1009157,-1.7411737,-1.1366448,-0.31931496,-0.29708132,-0.6753588,-0.4563786,-0.8730254,-1.0667564,-0.93915653,-0.8944838
Gabbr2,-0.49521446,-0.560542,-2.0783408,-0.6656872,-0.817846,-0.5819954,-0.1171962,-0.08769554,-0.3274413,-0.21855111,-0.35869476,-0.50846696,-0.52018774,-0.5012286
Pde7b,-0.59862566,-0.6621702,-0.22925055,-0.19523847,-1.7129297,-0.5994999,-0.6384398,-0.71716136,-0.54197586,-0.6150999,-0.5206029,-0.58144116,-0.60211146,-0.52257496
Car10,-0.65868616,-0.6672014,-2.2149312,-0.70374966,-1.1763825,-0.7788304,-0.22216173,-0.23213795,-0.45579717,-0.3305215,-0.47700116,-0.7375684,-0.67093027,-0.598205
Kcnj6,-0.6827938,-0.6658606,-2.207261,-0.6777549,-1.0631752,-0.72684324,-0.1487788,-0.18708533,-0.41501114,-0.29800683,-0.4383076,-0.6967175,-0.63772535,-0.6802635
Adcy2,-0.68130565,-0.68529546,-2.3770723,-0.71224314,-1.1640878,-0.663884,-0.24330667,-0.22307543,-0.44463134,-0.3467292,-0.46147704,-0.618539,-0.721243,-0.6653124
Sstr4,-0.68876183,-0.8051534,-2.498001,-0.8972033,-1.633918,-1.079319,-0.533067,-0.2683026,-0.59449375,-0.48565322,-0.6197756,-0.9712229,-0.8551653,-0.5528342
Arhgap15,-0.61574244,-0.5279352,-2.3488364,-0.79373753,-1.1858743,-0.6524261,-0.25324982,-0.2098284,-0.45419514,-0.35215563,-0.48994604,-0.62186754,-0.5191832,-0.64035404
Mical2,-0.5872525,-0.70244306,-1.9713072,-0.7141969,-1.2061342,-0.52314645,-0.24913643,-0.1907461,-0.4570738,-0.37693435,-0.47767267,-0.47811142,-0.66961765,-0.69349957
