,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 14,Shared topic 15,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 6,Transcriptomics private topic 7,Transcriptomics private topic 8,Transcriptomics private topic 9,Transcriptomics private topic 10
Ppp1r14c,-0.8313061,-0.9426496,-5.0678205,-1.1467261,-1.1140649,-1.3409489,0.0724569,-0.37580097,-0.4120564,0.18512702,-0.60609084,-0.72999585,-0.010523468,-0.76341856,-1.4214666,-0.5987357,-1.0613428,-0.60738987,-1.0398765,-0.9070246
Plekhg1,0.32575738,0.88750684,-2.8474307,-1.2724257,-3.6424022,0.06636292,-1.156208,-1.5153105,-0.9161758,-1.7381886,-1.4240345,-1.4444377,-3.1219633,-1.6761172,-1.0794507,-1.1493473,0.13091588,-1.1531987,-1.7736578,0.9650003
Rmnd1,-0.6107389,-0.8150967,-1.2093946,-0.4291204,-1.2162842,-0.9759681,-0.40119433,-0.3738514,-0.40438494,-0.39764512,-0.4811801,-0.41185555,-0.7972388,-0.97401565,-0.4895757,-0.41299447,-0.46464086,-0.42277384,-0.41030797,-0.7484323
Syne1,-0.56482846,-0.87165946,0.7858831,-0.032736614,-0.24365339,-0.5387916,0.49577612,-0.7422719,-0.30712736,-0.0700341,-0.2051895,0.34951612,-1.3359065,-0.16458476,0.8421921,-0.28654337,-1.1036354,0.5086944,0.26882318,-0.9350303
ENSMUSG00000096054,-0.7630825,-1.4145304,0.8932731,0.09825328,-0.477316,0.04872644,-0.23869182,-0.3688888,-0.26844293,-0.10286583,-0.18805113,-0.11830631,-0.23586856,-0.034151807,0.5454985,-0.36575204,-0.6174011,-0.39788252,0.09694043,-1.3921286
Lrp11,-0.812888,-1.562403,-2.4797804,-0.3527267,-0.94272184,-1.3647811,-0.10306266,-0.003620267,-0.28830883,-0.14185902,-1.1523346,-0.28436902,-0.9407922,-1.1361926,-0.86097527,0.08309391,-0.6353732,-0.16384386,-0.5741542,-1.2076013
Pcmt1,-0.7048274,-0.5090609,-1.0977914,-0.5656148,-0.7470957,-0.7793342,-0.22534901,-0.24699363,-0.25779295,-0.20344506,-0.3360904,-0.2294124,-0.14920935,-0.5784164,-0.74047446,-0.25966224,-0.5373838,-0.28794152,-0.64168215,-0.65464485
Ppil4,-0.35043973,-0.8217458,-0.95293444,-0.22703433,-0.84300333,-0.4454161,-0.27763337,-0.28836402,-0.28163946,-0.2767577,-0.2638008,-0.2870852,-0.60651326,0.51772267,-0.05699736,-0.28958878,-0.28267303,-0.29688227,-0.20723704,-1.1955943
Sash1,0.7733369,-0.2866813,-1.1039889,-0.6265075,-1.7535845,0.5290737,-0.87892795,-1.0579494,-0.4105393,-0.9791829,-0.42008853,-0.7762376,-1.5211396,-0.35932872,-0.37110332,-0.47704148,-0.129331,-0.51115006,-0.5089455,-0.5427777
Shprh,-0.28532517,-0.966422,-0.80348533,-0.26081613,-0.8543595,-0.46559006,-0.28630814,-0.29936337,-0.28342214,-0.2874869,-0.28034526,-0.2854758,-0.5793254,0.18877241,-0.23407435,-0.29394066,-0.3060015,-0.2854002,-0.26837113,-0.87362874
Utrn,1.3262246,-0.7831085,0.6525096,-0.25538898,-0.9743819,-0.31944782,-0.46898806,-1.0915265,-0.13996331,-0.6896279,-0.8525144,-0.65387225,-1.5683961,-0.752461,0.81563807,-0.24009502,-0.06421899,0.33302033,-0.6218181,-1.203942
Phactr2,0.24130535,-0.7092219,-3.4905047,-1.6230595,-2.182671,-0.30268162,-0.9208692,-1.877569,-0.5874424,-0.23724088,0.51319146,-0.7029593,-0.70883554,0.5968896,-0.7186664,-0.70156676,-0.31166846,-0.8529494,-1.2880754,-1.1667266
Aig1,-0.31067216,-0.38084546,-1.1841936,-0.5244011,-1.010938,-1.0762651,-0.30890957,-0.30694678,-0.3437914,-0.33437476,-0.43953437,-0.33742636,-0.6805352,-0.56569266,-0.40746275,-0.35251397,-0.35690477,-0.35012972,-0.6072099,-0.16386408
Reps1,-0.7069699,-0.8792206,-2.0591457,-0.6484005,-1.9288619,-0.26884416,-0.6560262,-0.6473065,-0.64322644,-0.6439185,-0.63818556,-0.6442124,-1.2725502,-0.6135984,-0.68019366,-0.6437483,-0.6760697,-0.6379266,-0.64914584,-1.0341171
