,Shared topic 1,Shared topic 2,Shared topic 7
Mrpl15,0.0069204955,-0.037202775,-0.043384258
Tcea1,0.0073762466,0.037082147,-0.016669376
Pcmtd1,-0.1371111,0.08286268,0.2088191
Snhg6,-0.055219892,0.07542251,0.08781838
Cops5,-0.006157059,0.094451964,-0.029682705
Arfgef1,-0.007443566,0.010159351,-0.023238126
Ncoa2,-0.03925699,-0.038524903,0.07942491
Tram1,0.031327605,-0.021130979,-0.016029844
Rdh10,-0.00060043787,-0.0009830748,-0.041358646
Ube2w,0.01101658,0.025329445,-0.062144868
Tmem70,-0.032499883,0.10821575,0.046542402
Mcm3,-0.043815568,0.11023963,0.07665322
Ogfrl1,-0.034019087,0.092432685,-0.08550387
Zfp451,-0.002062555,0.0002853088,-0.0026321656
Ptpn18,-0.057204828,0.054238945,0.1161969
Fam168b,-0.04475831,0.019626793,0.07132201
Arid5a,-0.030912217,-0.042025797,0.07431337
Ankrd39,0.042178564,-0.095641084,-0.021536384
Cox5b,-0.01761421,-0.041936666,0.05373203
Actr1b,-0.0321361,-0.0034574666,0.010044311
Mgat4a,0.045972355,-0.033105433,-0.093366906
Mrpl30,-0.054983594,0.081985,0.11053731
Txndc9,-0.083489455,0.07569733,-0.074212745
Eif5b,-0.1295443,0.109300494,0.108380385
Rev1,-0.07316344,0.09424257,0.018441388
Pdcl3,0.0013959642,0.07436448,-0.0364797
Tgfbrap1,0.033565175,0.04569172,-0.033672407
Tpp2,0.064590506,-0.12539525,-0.02031045
Stat4,-2.2658147e-05,-0.05682982,0.056689423
Stat1,0.052205708,-0.1019267,-0.09240771
Nab1,0.064344965,-0.09360849,0.03205803
Nemp2,0.014362469,-0.043175466,0.039179996
Inpp1,-0.09740536,0.06035496,0.09609027
Asnsd1,-0.014854464,0.12714364,-0.063349366
Stk17b,0.0034172242,0.008489321,-0.1019082
Hspd1,-0.049945243,0.13514924,0.10209744
Bzw1,-0.08976606,0.19062826,0.06923443
Cflar,0.015383842,-0.12148011,0.0003305325
Trak2,0.21244138,-0.12826174,-0.043096554
Sumo1,-0.059323084,0.016436158,0.12983207
Nop58,-0.04740783,0.08368547,0.083401576
Fam117b,0.0035301242,0.047660794,-0.012959761
Wdr12,-0.06693648,0.06986174,0.091142505
Cd28,-0.046700288,-0.08678269,0.12035327
Nrp2,-0.009317074,-0.037160892,0.05114373
Eef1b2,0.04169288,-0.12866363,-0.08521146
Fastkd2,0.004012268,0.041283563,-0.058978666
Idh1,0.089965165,-0.09447142,-0.16354975
Ikzf2,-0.07942627,0.10721622,0.14115484
Atic,-0.11719051,0.11077733,0.12409393
Fn1,0.0067646084,-0.090612724,0.044797633
Smarcal1,-0.054282498,0.12559369,0.025262605
Igfbp5,-0.120246984,0.10406424,0.321163
Cxcr2,-0.047390997,0.0908791,-0.10077573
Arpc2,-0.020590976,0.018571412,0.015919248
Aamp,0.008676227,-0.06386919,-0.059007
Pnkd,-0.017849177,-0.050315015,-0.05613737
Slc11a1,-0.028098606,-0.025429167,0.011880745
Ctdsp1,0.05576869,-0.07496179,0.028785719
Cnot9,0.06022849,-0.027662719,-0.04984019
Cyp27a1,0.011101023,-0.037787914,-0.0890264
Ankzf1,-0.073844604,0.033820033,0.055245932
Stk16,-0.022256836,0.029649053,-0.04285334
Tuba4a,0.24518844,-0.17980805,-0.10225857
Gmppa,-0.016421355,-0.08517765,0.040220093
Ap1s3,-0.045066267,0.17119835,-0.02499808
Wdfy1,-0.012598166,-0.02549955,0.08551172
Cul3,-0.053821422,0.032798387,0.07376823
Pid1,0.09752078,-0.10392419,-0.10927124
Trip12,-0.0910027,0.04089434,0.06884068
Sp140,-0.17369553,0.14024429,0.100529306
Cab39,-0.05268433,-0.00049043633,0.015688518
Itm2c,0.0516058,-0.11608665,0.03720203
Ncl,-0.056223013,0.08449557,0.022504918
Eif4e2,-0.104757614,0.14988798,0.20954634
Gigyf2,-0.10522181,0.041655537,0.094618954
Atg16l1,0.028747685,-0.03419049,-0.037636664
Arl4c,-0.1430844,-0.09182194,0.35119888
Hdac4,-0.03002217,-0.054576524,0.028283052
Ndufa10,-0.22701684,0.14385538,0.15295799
Thap4,0.06496039,-0.0308827,-0.15055265
Dtymk,-0.04191225,0.039369706,-0.0022382687
St8sia4,-0.010656712,-0.04240435,-0.029424649
D1Ertd622e,0.08756206,-0.02098694,-0.1003465
Zcchc2,-0.16303302,0.09101247,0.2516594
Phlpp1,-0.055608213,0.0013385601,0.15759686
Tsn,-0.055651255,0.037495483,-0.007175742
Clasp1,-0.030805498,0.061274663,-0.07723686
Ralb,0.023674019,-0.0654047,-0.08085933
Ptpn4,-0.06379171,0.080340475,0.062708184
Dbi,-0.09639157,0.18958549,0.08040165
Marco,0.37460887,-0.3018936,-0.32591775
Ccdc93,-0.009307819,0.09747409,-0.11314763
Ddx18,-0.04771817,0.13099559,-0.013782769
Actr3,0.020003079,-0.041486915,-0.03389926
Ccnt2,0.0429011,-0.10119406,-0.08891228
Ubxn4,-0.07890597,0.07769204,0.23760597
Cxcr4,0.08102386,-0.12732393,-0.050619356
Fcmr,0.016338473,0.023252169,-0.15823218
Eif2d,-0.10290279,0.011522708,0.112100534
Ikbke,0.009220633,-0.15838823,0.2982292
Ctse,0.75580615,-0.4816793,-0.3198
Elk4,-0.18790802,0.10700577,0.11613898
Tmcc2,0.8110875,-0.5203917,-0.29446262
Snrpe,-0.062170405,0.14756694,-0.059631594
Lax1,-0.22841167,0.28832367,-0.10663725
Prelp,-0.003770858,0.008353356,0.11757668
Fmod,-0.08281811,0.038473718,0.16119207
Ppfia4,0.022962332,-0.06997355,0.0877011
Cyb5r1,-0.008084452,0.044894498,-0.023010695
Adipor1,0.36924565,-0.24132942,-0.11053014
Klhl12,0.0747534,-0.027362611,-0.107100695
Ptpn7,-0.10754581,0.071146995,0.14072597
Timm17a,-0.12648168,0.08948996,0.10373642
Tmem9,0.014780393,0.0017231401,-0.023615168
Kif21b,-0.03960379,0.016688257,0.14225183
