,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 5
CD29,0.27403104,-0.37430862,-0.80850255,0.36772454
CD3,-0.23131897,0.9856103,-0.041610982,-0.6369018
F4_80,0.8252272,-0.739151,-1.8139348,1.0811073
CD169_siglec,-0.35738492,-0.51211154,1.2619127,-1.3129873
CD4,-0.2801516,0.8441149,0.21180485,-0.803797
CD19,-0.30298537,-0.12997708,0.9894306,-0.97316873
CD105,0.022422196,-0.19432615,-0.21221463,0.115610674
CD8,-0.036162723,0.6689224,-0.19398959,0.024167882
B220_CD45R,-0.247516,-0.09633793,0.79117703,-0.92346954
Ly6C,-0.02515218,0.12389153,0.045593347,0.021443978
CD31,-0.0047423453,0.02458483,-0.0010192906,0.0069517223
CD68,0.4941049,-0.15474436,-1.0440464,0.32308617
EpCAM,-0.024243345,-0.017004173,-0.015948497,0.18915538
CD163,0.65445197,-0.6954705,-2.0390534,1.47944
Ly6G,-0.021247262,0.107457794,0.0315973,0.060387593
CD38,-0.0072945803,-0.14617732,0.25840622,-0.1238285
IgM,-0.00071780384,-0.33288637,0.18154137,-0.1468685
IgD,-0.052822154,-0.06128816,0.56783086,-0.634663
MadCAM1,-0.036141578,0.011182554,0.27292392,-0.18197778
CD20,-0.009458991,0.045919374,-0.03837079,0.07761248
CD11b,0.0069721527,-0.07423045,-0.18053603,0.02623723
