,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 5
Rb1cc1,-0.03239225,0.025221309,-0.0062329452,0.02659813
Pcmtd1,-0.12463018,0.098641574,0.18192899,-0.14069875
Vcpip1,-0.13041584,-0.000102668404,-0.085781045,0.08880274
Sgk3,0.020394344,-0.087489344,-0.04108905,-0.0035358854
Cops5,0.036088552,-0.014432,0.04814698,-0.08731131
Sulf1,-0.11332227,-0.028443675,0.2726423,-0.18944195
Ncoa2,0.034062095,0.06291822,-0.13554,0.0029141512
Tram1,0.014214978,-0.013055021,0.09773067,-0.111410946
Terf1,0.068433054,-0.08217105,-0.053027943,0.014230831
Eloc,-0.2289758,0.12286949,0.0708051,0.0257003
Ly96,0.065499246,-0.06948705,-0.017446108,0.06728051
Ogfrl1,0.021403614,0.044557452,0.10247311,-0.092383154
Lmbrd1,-0.02633753,-0.18281494,-0.028903898,0.04699532
Zfp451,-0.020002631,0.066767134,0.05768282,-0.044793487
Dst,-0.043792546,0.029974349,-0.008606225,-0.039128374
Plekhb2,-0.05266619,-0.0457317,-0.075222895,-0.014457496
Hs6st1,-0.064367115,-0.006841425,-0.11870918,0.2365981
Neurl3,0.03924278,-0.14523165,-0.08525962,0.028893735
Arid5a,-0.03281895,0.28715008,0.09850298,-0.2652404
Kansl3,0.024282156,0.008280106,0.07882316,-0.063896105
Lman2l,-0.028647266,0.026216133,-0.025825087,0.02233634
Actr1b,0.054588787,0.09570941,0.0068163583,-0.016602274
Zap70,-0.030880276,0.3313091,-0.13176285,0.011163432
Mrpl30,-0.034114018,0.13130954,0.024084684,-0.10576986
Eif5b,0.027012954,-0.030932385,0.016296096,0.07512507
Aff3,0.037525106,0.053108927,0.08576151,-0.0054671485
Pdcl3,-0.09686835,0.14921825,-0.028735805,0.009024579
Map4k4,0.11912607,-0.08862043,-0.17613856,0.1568008
Mrps9,-0.12865718,-0.084112264,-0.03016891,-0.009208636
Ercc5,-0.031699147,0.073238246,0.06509723,-0.07187429
Wdr75,0.092481434,-0.017939173,-0.026845902,0.011989774
Nabp1,-0.085937485,0.25680876,-0.14235263,0.02804437
Stat1,0.1643896,-0.02910893,-0.12982914,-0.0045327777
Inpp1,0.016288495,0.06252373,-0.14516988,0.11017463
Stk17b,0.044084474,-0.08036698,-0.0546423,0.0555157
Ankrd44,-0.051138666,0.029470824,0.015617205,0.13590363
Hspd1,-0.09013886,0.086915836,0.04823542,-0.07241903
Kctd18,-0.047341436,0.12343075,0.05951782,-0.013251939
Bzw1,-0.17212728,-0.0477454,0.25466225,-0.13482803
Ppil3,0.019348875,0.039925292,0.0887216,-0.06667167
Ndufb3,-0.06877262,-0.08726531,-0.043875977,0.07352688
Cflar,0.05305422,0.007103873,-0.05372205,0.025408283
Casp8,-0.007354228,0.06658167,-0.01795202,-0.02190851
Stradb,0.041417222,-0.023387859,-0.11066644,0.05570592
Sumo1,-0.026367955,0.0012443799,0.04731902,0.027464557
Bmpr2,-0.11851547,0.07523624,-0.02500914,-0.086508885
Cyp20a1,-0.13316512,0.005627609,0.07616503,0.04961803
Ctla4,-0.028206771,0.14821269,-0.00090620574,-0.010506632
Nrp2,-0.011542566,-0.077736594,-0.0602828,-0.027791837
Eef1b2,0.15685043,-0.060256224,-0.06978393,-0.012502632
Creb1,-0.08722083,0.055738207,0.0026812712,-0.035834976
Plekhm3,0.11810689,-0.0742733,0.09721139,-0.06986691
Atic,-0.13913245,0.1253361,0.15182716,-0.20766348
Fn1,-0.016818954,0.15888906,-0.26013082,0.12354808
Igfbp5,-0.14933372,0.39752677,-0.016423602,-0.08417578
Cxcr2,-0.05792537,-0.13243856,0.05885879,-0.0374475
Arpc2,0.07434152,-0.060133826,-0.012339787,-0.05824265
Aamp,0.10200694,-0.082468025,-0.024628146,-0.10860713
Ctdsp1,0.13670583,-0.017524274,-0.09185476,-0.033382032
Cnot9,-0.106645666,0.039725557,0.011415257,-0.029702097
Rnf25,-0.07027132,0.057128046,0.016837277,0.040536433
Atg9a,0.042671125,-0.18410465,-0.029178534,0.029221633
