,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Protein private topic 1,Protein private topic 4,Protein private topic 8,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 7,RNA private topic 9
0_22,2.2141476,0.66465724,0.6623241,0.9999822,34.83696,1.0494112,5.068747,0.6469028,28.150434,0.7608095,1.1466793,1.0972078,0.97014505,1.1226578,1.3155273,1.1257135,0.49859488,0.7274868
0_33,19.295168,1.7796288,1.9369258,0.87963796,0.6806756,0.91207045,1.254338,2.3593626,2.4482827,1.4619168,1.297525,4.9574637,0.95890886,0.8258113,18.335938,0.5866406,2.985464,1.8011411
0_40,8.623629,0.6254144,1.1472169,0.5904244,0.9153579,1.6254312,0.95768946,3.1185272,5.850646,55.743137,1.2207103,3.350545,1.9556683,1.1279294,26.205894,1.0791698,2.121105,1.3069632
0_41,3.526339,1.2393664,0.76481235,2.0020037,2.3478136,1.0742744,1.7498732,20.091888,7.3438435,0.37013224,6.401073,4.668371,2.5733407,0.6634438,7.275591,0.9852716,1.6772594,1.7275323
0_42,13.541801,0.8929641,1.2438791,0.9022169,0.8720758,0.991385,1.2517217,11.346027,2.3200774,1.1807371,2.9671981,6.2022185,1.9544117,1.1206819,13.487797,0.8483928,1.3059452,0.8816786
10_10,1.3244135,0.4350978,0.4694427,0.95843446,1.110682,49.01342,0.6973973,0.7570688,5.7401667,18.054193,1.622154,0.9092873,1.0040627,13.391884,1.3375573,2.072516,0.50681674,0.5313623
10_11,1.6570777,0.5033516,0.5503453,2.5317152,0.89120466,29.883999,1.0543921,0.54459065,5.0686693,1.2362691,4.7153234,0.9573293,1.0661267,5.6133385,2.7672062,1.722176,0.59462327,0.35538322
10_12,18.468346,0.92599124,0.8066596,0.9588397,0.81345826,0.9262532,1.5957041,4.6818357,3.7570968,1.7157816,1.2156553,18.694588,1.898114,0.7542552,2.892543,0.8038532,1.0481943,0.907976
10_13,13.293605,1.7264854,3.5431547,0.9275754,0.67712337,0.9196341,1.379631,3.4897957,2.3266854,1.0908676,2.6399121,23.72552,1.1927572,0.7513894,4.103256,0.8353853,1.54123,1.8082623
10_14,8.287135,1.8772993,1.9431345,1.3013178,0.8637015,0.83319306,1.2704847,2.4850926,3.9468522,0.857172,4.8809657,2.6545453,1.7935032,0.91158205,58.344284,0.9747718,4.0213814,1.6777729
10_15,2.5202112,28.668072,1.3082665,2.3598728,0.89579314,1.281501,3.0445623,1.3904296,4.2184124,1.3447957,3.1029234,1.2867813,0.68223864,3.8779774,1.4545748,2.5865407,15.067296,11.664474
10_16,4.3925195,1.7574761,15.7330265,0.92188144,0.686836,1.0097119,1.642358,1.8324718,2.4763885,1.0022446,3.1429605,2.1226811,0.8595005,1.4598017,2.8865018,1.1561455,9.995727,5.4914947
10_17,2.4260077,0.66304076,1.0310826,1.1060736,3.1817896,1.3010786,154.41501,0.70693076,57.445774,1.1596521,0.80267364,1.2681481,1.4284245,1.3785546,1.5822062,1.6144726,0.9720785,0.87803847
10_18,49.613075,1.0202135,1.0540124,0.81689876,0.67291707,0.9135646,1.3278928,4.5969734,2.4138122,1.5483232,1.3331351,6.517519,0.9152969,0.56479603,19.990673,0.7005135,6.934474,2.6654263
10_19,2.2427719,1.5265902,20.537443,1.6177027,1.2243711,1.0855054,8.157612,0.93245167,5.865398,1.8340832,1.1446488,1.5244131,1.023648,0.8744304,0.83741975,1.3169868,1.7390293,2226.4036
10_20,2.3840618,1.0996157,1.050864,2.8135755,1.2395799,1.5548091,465.41464,0.7542941,4.341256,0.47766793,1.9343755,1.4278865,2.6547647,1.640095,1.8299716,2.750054,0.72531986,0.5682314
10_21,21.422571,1.1776775,0.65954065,0.9425474,0.85679764,1.1591358,1.2831912,4.3722506,2.2441244,1.358805,2.4064136,15.001492,1.5536298,0.8753935,10.007196,1.1938109,0.78065044,0.65861297
10_22,21.588655,0.99939394,1.0044428,0.8579252,0.8826903,0.9162282,1.4705131,1.8552349,2.8786974,1.108837,6.416896,7.2235384,2.4238365,1.2672586,8.722193,1.2308006,0.8229383,0.58932596
10_23,2.0412533,1.2522981,0.9494773,0.86369306,0.8895173,13.130122,1.3007517,0.72787464,4.3099823,0.9163646,5.220643,1.1699212,1.6069069,18.421675,1.4200574,151.66992,1.1463326,5.583123
10_24,2.9105623,3.382206,1.0468345,13.520821,1.1904914,1.2684306,2.8693004,0.98641676,3.9070349,7.321049,5.407994,1.3609318,1.316894,3.0984995,3.3086941,2.8165686,0.9043741,2.6325712
10_25,3.407229,17.815575,0.72383255,4.547726,1.0944695,1.1909902,2.4984407,1.2966934,3.2465258,1.9640874,12.624926,1.0641888,0.72611517,2.3328533,2.1217356,2.637367,0.92379844,1.652591
10_26,9.198523,1.781218,1.1431841,1.665843,0.7216028,0.93131846,1.1177248,2.3927033,2.1587987,1.5926504,4.936573,2.1576705,1.7416657,1.5788298,55.502766,1.0605406,2.3823934,1.2017459
10_27,3.324585,1.24296,0.8353704,1.2930858,2.1804366,1.1752033,1.691813,16.455265,5.7342787,0.6810944,13.176742,2.0130644,9.504877,2.5146422,4.6170797,1.9333533,0.6721264,0.5189182
10_28,19.98945,0.99277383,1.1461213,1.0813551,0.77375585,0.9471128,1.6817577,3.5743117,3.739604,1.7100973,0.78462845,16.77534,1.210186,0.6029211,5.1436853,0.773254,0.94677013,1.1156118
10_29,10.646894,1.1801426,5.0083394,0.82386005,0.8995855,1.003494,1.4286036,9.107767,4.4809794,1.1267407,1.1327825,8.606557,1.1342245,0.6395171,5.2327933,0.79841536,1.7229042,2.3838816
10_30,12.410692,2.842652,1.8080068,1.0614706,0.7899225,1.1597283,1.9794953,2.059638,2.2729235,1.1152282,2.6148055,8.806122,1.4921503,1.1206734,15.2955475,0.8817372,0.95341694,0.7938384
10_31,1.4189116,0.66711193,0.76015496,0.80473703,0.80273545,47.345898,0.79124725,0.424611,4.6246395,1.0661448,3.7052639,0.74302703,0.9278142,1.7926333,1.0981718,2.3025382,0.2898241,0.32841843
10_32,11.852655,0.9140701,1.6243018,0.8163575,0.9768032,0.92031956,1.5678879,5.714112,4.742173,1.3017018,2.938978,11.119612,1.0936705,0.49886024,7.517986,0.84759223,1.7947948,1.6428618
10_33,2.5794296,0.8755799,0.6542475,1.9307132,3.6076312,1.2968638,1.5124027,19.63778,10.088657,0.19526128,23.478355,1.3792076,13.212875,2.1923876,3.556519,2.3923512,0.7719458,0.9571859
10_34,2.1538105,0.6642968,0.50618845,1.2701657,63.663982,1.1772814,5.1601076,0.6173428,144.29059,0.35595998,0.6978413,1.0484107,2.008715,1.1792253,1.6848426,2.170805,0.47126612,0.47189844
10_35,1.6709495,0.6780398,0.51324487,1.6586303,0.97031623,21.898483,1.0893328,0.5888696,3.5032444,0.70143616,8.575212,1.1448653,1.1210864,3.6566868,2.218973,10.232175,0.5930624,0.5577982
10_36,3.908611,2.3881795,1.6946408,1.6892004,1.533073,1.5165086,3.97242,2.3625917,5.6205053,1.4957561,1.0725322,1.3074671,0.55128413,0.6171294,1.9428074,1.8187375,3.5879993,10.12391
10_37,9.919357,0.7186537,1.0458107,0.84235096,0.9711346,1.0252045,1.3610907,12.431248,3.4251633,1.5921807,4.63013,5.2680755,1.4501715,1.294656,8.468052,0.93886644,1.1021669,1.010466
10_38,2.3337615,0.74927986,0.94418466,1.6565869,1.9839444,1.5241566,329.46442,1.1925642,21.087456,2.225638,1.0134641,1.0759071,5.6616764,1.6429021,2.411353,1.7343838,0.5252306,62.24298
10_39,2.0596085,0.8776788,0.6741594,1.2407278,0.9593378,14.992529,1.4356029,0.55625933,5.762617,0.6075964,5.352771,2.013664,2.3014212,3.8567212,2.3410628,246.55759,0.9959961,2.202872
10_4,25.75852,0.6963507,0.62061197,0.68437105,0.80884564,1.4464453,1.2404573,2.9658475,3.0686784,1.5394293,1.0933564,17.006348,1.2216009,0.9324143,5.1526756,0.8446748,0.95886195,0.82661414
