,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Protein private topic 1,Protein private topic 4,Protein private topic 8
Mouse-CD8a,0.44510746,0.06258893,0.06061622,-0.0759628,-0.34752622,-0.14190954,-0.02165123,-0.060679138,-0.8017954,-0.050595142,0.073085144
Mouse-CD4,0.30668303,0.07607436,-0.013693137,0.0044605806,-0.41466817,0.043253154,-0.023607014,-0.12878282,-0.969171,-0.053161833,0.15359934
Mouse-CD68,0.23415244,0.101166286,-0.102880515,0.15757218,-0.4303988,0.10474037,-0.18086877,-0.10036306,-0.93556637,-0.033831887,0.37776828
Mouse-CD29,0.014796459,0.009582432,-0.018308278,0.058680616,-0.22248209,0.11111829,-0.067479864,0.014843859,-0.5601278,-0.043845985,0.16161194
Mouse-CD3,0.17543036,0.04903938,-0.09778367,0.03471464,-0.21058513,0.15204781,-0.098308176,-0.07949018,-0.51472586,-0.044434533,0.17549324
Mouse-CD19,-0.2862364,-0.12289241,0.008184719,-0.013385386,0.36026028,0.24179727,0.071758844,-0.094925694,0.6060879,-0.074828595,-0.3546314
Mouse-CD31-Pecam,0.15797599,-0.07891857,0.045066226,-0.058435075,-0.15415484,-0.0790467,-0.10622172,0.06649557,-0.39999467,-0.07306582,-0.057858795
Rat-IgG2b,-0.25036633,-0.0020743008,0.099243656,-0.0489485,0.2669053,-0.015168824,0.16819641,-0.046800226,0.35684735,-0.15019825,-0.28784
Mouse-CD38,-0.07519332,-0.037779354,-0.011975891,-0.029825788,0.2283072,-0.09239789,0.13451806,0.05445116,0.321186,-0.064695105,-0.16515651
Mouse-CD45R-B220,-0.017047588,-0.12543233,-0.045295957,-0.13308191,0.27798456,-0.08420553,0.109435394,0.19812918,0.6073573,-0.106082655,-0.26124972
Mouse-IgG2a,-0.47499344,-0.12341516,0.08709779,-0.19289146,0.5148793,-0.20332764,0.12371696,0.15069585,0.9594287,-0.14807154,-0.70905995
Mouse-F480,-0.16047767,-0.034707297,0.09433888,-0.06831484,0.3463563,-0.05744771,0.18483767,-0.057911884,0.60977507,-0.09682559,-0.37952188
Mouse-CD169,-0.5030951,0.27524635,-0.28642765,0.35924608,0.07097878,0.05147861,-0.14310119,0.09953667,0.09722562,-0.006812483,0.98139286
Mouse-IgD,-0.2039167,-0.0522531,0.009415337,0.116265066,0.19535428,-0.0008419829,0.21252215,-0.106361665,0.24827045,0.67399275,-0.49295837
Mouse-CD140a,0.11416881,-0.18310496,0.12709472,-0.0647158,-0.11574075,-0.18594499,-0.5174958,0.4843673,-0.066117674,0.6198178,-0.20703661
Mouse-CX3CR1,-0.8372104,0.37177187,-0.21340819,0.39685076,0.35266757,-0.09776921,-0.29221123,0.32560247,0.50626844,-0.049208604,0.3206819
Mouse-CD163,-0.008929681,-0.02985486,-0.039863102,-0.06162064,0.06652889,-0.0915542,0.05378585,-0.028897237,-0.022551214,0.0061982176,-0.019780958
Mouse-CD304-Neuropilin-1,0.045772567,-0.016708639,0.0027950336,-0.0033140837,-0.0043369588,0.040269528,0.041603208,0.024949053,-0.007111609,0.012586791,-0.046544053
Mouse-Ly-6C,1.3071215,0.108187675,0.20127946,-0.3282742,-0.77844554,-0.40443698,-0.6597346,0.020586528,-0.9811927,-0.06968245,-0.08451503
Mouse-CD226-DNAM-1,0.03956101,0.023097731,0.004946157,0.0065546115,-0.006474349,-0.0025413495,-0.0062794904,-0.0023098115,-0.036722597,-0.032044053,0.04103842
Mouse-P2RY12,0.09691654,-0.011643906,-0.030727921,0.0013840396,0.0447327,0.03769319,-0.052408013,-0.010655459,-0.12736066,-0.008275856,0.03906373
