,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 7,RNA private topic 9
Mrpl15,0.2589283,-0.30463913,0.07017763,-0.35414627,0.41487613,-0.31209555,-0.8852182,-0.039127648,0.025126724,-0.27528363,0.09103748,0.00033584947,0.07839394,-0.031906586,-0.41753972
Atp6v1h,-0.53491735,0.49895337,0.3928326,0.5924557,-0.6756034,0.43922624,-1.0505418,-0.14471908,-0.1903952,-0.2145205,0.7560139,-0.017810233,0.35785577,-0.07900396,-0.16483362
Lypla1,0.07200642,-0.41216528,-0.6122483,0.38083506,-0.15785642,-0.072953396,-0.0076426347,0.045248464,-0.0004654664,-0.003708075,-0.2235288,0.0016983324,0.057004523,-0.009432646,-0.3424741
Pcmtd1,1.039561,-0.64080787,0.40830007,-0.13469934,-0.68055886,-1.5671849,-0.44960806,0.3131083,0.32069704,-0.3234662,-1.1101652,0.03028359,-1.2910364,0.3380382,-0.08761169
Rb1cc1,0.55775726,0.33858764,0.5761644,-0.3748449,-1.832289,-0.6211972,-0.7028496,-0.110040806,-0.0949207,-0.98526293,-1.0086032,0.06258122,-1.242148,0.8040542,0.7995315
Vcpip1,0.12134838,0.14065617,0.09968775,-0.15216021,-0.31213665,-0.37593874,-1.4709393,0.11311259,-0.05853201,0.16858968,-0.71129775,0.011652457,-1.07513,0.37838745,0.45822552
Sgk3,-0.15494566,-0.13698798,0.11871356,0.28483632,0.14771679,0.31376374,-1.0908606,-0.020931745,-0.021852763,-0.12739271,0.11596285,0.0006577587,0.20922463,0.0056956946,-0.08734104
Cops5,-0.10030548,-0.2748476,-0.2599495,-1.456428,0.26835507,0.019506305,0.09032288,0.52316254,0.04951958,0.21439883,0.2624818,-0.007370122,-0.59452015,-0.06859215,-0.6489136
Cspp1,-1.0013252,-0.012248716,0.7379949,0.6405126,-0.077707246,-0.64987564,0.5505248,-0.74420786,-0.41772884,-0.43021774,0.50111896,-0.04163248,0.047766905,0.12573129,0.5213306
Arfgef1,0.28353655,0.44473982,0.17678393,-0.09367331,-0.403944,-0.0011003934,-1.4002517,-0.3615935,-0.02247813,-0.5622901,-0.069755964,-0.002557063,-0.1643629,0.07600807,-0.45645973
Tram1,0.19289273,0.26956245,0.10882829,-0.25138515,-0.2679567,-0.23506477,-0.4637169,-0.3677356,-0.047234267,-0.13932241,0.008905939,0.020245954,-0.35430056,0.21785608,-0.6355083
Terf1,-0.5645003,-0.25495344,0.91059995,-0.7377488,0.44483244,-0.40803564,0.41493252,0.18902409,-0.06537454,-0.5843013,-1.0119016,-0.003672269,-0.589656,0.49776608,0.6890207
Ube2w,-0.40773103,0.4047428,-0.18522976,0.9079261,-0.70804244,0.27617833,-1.0363803,-0.34265417,-0.18789576,-0.28948972,-0.12624529,0.032601494,-0.3551581,0.2274959,-0.45813859
Mcm3,-0.2011436,-0.16059259,-0.5102497,0.14299881,-0.20251581,-0.120797776,-0.18287018,0.716776,0.40463486,-0.055438142,-0.12302336,-0.022144414,-0.32093555,-0.07765323,-1.2156445
Kcnq5,-1.7979192,0.76316744,1.0184321,0.36540496,0.52916074,-1.2262387,-0.54672694,-0.43162444,-1.722283,0.30745623,0.0035213346,-0.16488609,-0.30745956,0.42415464,1.2845023
Smap1,0.09533758,0.008760511,0.23633076,-1.0017073,0.15762326,-0.19204287,-0.14395925,-0.1470002,0.01964703,-0.43492398,-1.0404328,0.0040865345,-0.6442636,-0.099272475,0.13363811
Lmbrd1,-0.18345399,0.2431881,0.48050573,0.27128837,-0.74274427,0.294309,0.008349749,-0.56378084,-0.13519399,-0.57530993,-0.26439717,-0.0018150173,-0.30754524,0.018555468,0.8101756
Zfp451,0.19517916,-0.027855914,0.44103277,-0.12889962,-0.94404477,-0.46845153,-0.30550104,0.058391318,-0.05036599,-0.04470658,0.12241158,-0.0008577154,-0.086339876,0.15020283,0.31139004
Phf3,0.628187,-0.026639774,0.18703532,-0.98658395,-1.0759519,-0.8499081,0.124140844,0.13476644,0.2730865,-0.84426457,-1.2035897,0.12467839,-1.446407,0.5012015,-0.16054328
Dst,-0.3755592,-0.08754909,-0.41300374,0.2758508,-0.35395387,-0.2440986,0.31513757,0.099675685,-0.22130737,-0.42288336,0.23852982,0.0066325897,0.30504754,0.005783155,0.1645071
Hs6st1,0.28452086,0.5800044,0.21528028,-0.24169803,-0.1734944,-1.1807369,0.5135053,-0.8551032,-0.09326424,-0.20525257,-0.5432069,0.084040254,-0.96564454,0.4063858,-0.70047444
Ptpn18,0.37877953,-0.6443041,-0.41296548,-0.1842709,0.066001,0.5298413,0.21797018,-0.06198251,0.2970937,-0.4696807,0.44582918,-0.008960683,-0.35742572,-0.5865955,-0.6874462
Kansl3,-0.23501123,-0.74801594,0.36804232,-0.14405277,-0.8100459,0.109198354,-0.021606255,-0.09402203,-0.043413002,-0.72853863,-0.08624867,0.0022762353,-0.7891664,0.0069115614,0.05591175
Uggt1,-0.19028302,0.4524094,0.2702722,-0.39117405,-0.30282772,0.36953384,0.35612416,-0.5531313,-0.12634768,-0.20271935,0.51950777,-0.007227674,0.6835825,-0.042575814,0.0020980956
Fam168b,-0.03336539,-0.109152064,-0.35015315,-0.09014886,-0.88936764,-0.06029333,-0.73026043,0.123017654,-0.05357892,-0.84489805,0.005103521,0.035983518,0.19358534,-0.0388363,-0.23561355
Actr1b,0.53703535,-1.4063985,0.07865218,-1.2513223,-0.16959368,0.0973102,-0.7706692,0.1720588,0.11093091,0.26210698,-0.31358296,-0.0039134044,-0.008558873,-0.33178636,-0.3042755
Zap70,0.114455454,0.057964385,-0.18608238,-0.0035115136,-0.32275826,0.26868245,-0.17257282,-0.21092314,-0.033141907,-0.7141446,-0.4839918,0.007943778,-0.5597379,-0.06419984,0.22503899
Tmem131,-0.1407038,0.5095841,0.7419818,-0.66162175,-0.80491275,-1.4328221,0.24932398,0.29773387,-0.3778462,0.27529472,-0.33974183,0.017077226,-1.3457181,0.15207258,0.7297818
Coa5,0.2212945,0.20038204,-0.8204943,-0.2329483,-0.19905986,0.5636153,-0.7426884,-0.07374325,0.020398716,-0.73066056,0.13859478,-0.009991503,0.3736199,0.06832422,-0.79412776
Mgat4a,-0.4399968,0.8116939,0.3638655,-0.06860754,-0.4631274,-0.64799696,-0.10398871,0.36886162,-0.0014911778,-0.3121244,0.014011722,-0.014184462,-1.0600611,0.36151227,0.50947386
Txndc9,0.6825362,-0.20092744,0.17541331,-1.070258,-0.17658035,0.07134504,-1.0959864,0.06638431,0.20739426,0.26230454,-0.2573593,-0.008518953,-1.1313453,-0.041867524,-0.9588138
Eif5b,-0.19446155,0.14704561,-0.059214327,-0.014279663,-1.3941784,0.08418805,0.46028242,0.2818277,-0.045637503,-0.17169535,0.28950465,0.003782244,-0.8279677,0.15651202,0.25974783
Rnf149,-1.480733,0.77592987,-0.28638488,0.1716494,-0.32030115,0.8316506,0.10189958,0.16473673,-0.25618005,0.29549548,0.35163185,-0.025504325,-0.13166632,-0.0077351574,-0.5149444
Map4k4,-0.55611616,0.63916963,0.117334045,0.046962388,-0.14329815,0.51354194,0.030819383,-0.26506013,-0.16795059,-1.003027,0.44938204,-0.011788708,0.06070152,0.10142033,0.3894017
Tpp2,0.66409206,-0.07969676,0.13625927,-0.37454465,-0.25361544,-1.5115352,0.29511398,-0.18291168,0.42387813,-0.76627856,-0.78841317,0.031057479,-0.9221545,-0.10817156,0.053728096
Slc40a1,0.7603854,0.40215695,-0.33620012,0.59080213,-0.8626026,-2.1385303,-1.119095,-0.017484354,0.1831447,-0.4747003,-0.518547,0.9091436,-0.7988171,-0.31493005,-0.562023
Nck2,-0.34812135,0.8505511,0.45839274,-0.051592544,-0.5331187,-1.5088208,0.2660919,-0.17560914,-0.27704185,-0.40276182,-0.8257874,0.015962332,-1.2179545,0.52206326,0.9525989
Nabp1,0.4356339,0.18656805,-0.06596219,-0.34699857,-0.25739488,-0.16401906,-0.30974478,-1.0400366,-0.07849777,-0.43731138,-0.27856156,0.027589161,0.15417436,0.14466205,-0.9489446
Stat1,-1.2641656,0.65772676,-0.31709749,0.2998713,0.22413856,0.93620586,0.047880787,-0.10736084,-0.9494176,-0.10217813,0.5906281,-0.20843083,0.7992225,-0.07605372,0.33530003
Gls,0.026105052,0.66897917,0.1749834,-0.7810945,-0.41333345,-0.2841786,-0.35631055,-0.11626336,-0.13884692,-0.12897827,-0.7126509,0.045661263,-0.46900135,0.23085374,-0.0125313625
Stk17b,0.47018114,0.33841968,-0.3054406,0.051854707,-1.109368,0.2930553,-0.3368562,-1.0412085,-0.25619134,-1.0310307,-0.5486261,0.026511755,0.29793608,0.011454362,0.096322924
Hspd1,-0.46553037,-0.76542974,-0.9729745,0.011045999,0.17143457,0.80694604,0.2832684,0.5645642,-0.045512527,-0.22801101,0.37194562,-0.03729766,0.37814447,-0.41273195,-0.0058343373
Mob4,0.15923883,0.115364514,-0.5004866,0.1494991,-0.10682514,0.5200399,-0.018684737,-0.21799758,-0.038015805,0.004775253,0.22369376,0.0016222716,0.08704333,-0.4953268,-0.39735538
Ankrd44,-0.32131946,0.7059633,0.49807414,0.036780998,-0.7674343,-0.17894138,-0.6659748,-0.3173949,-0.60892826,-0.8546916,0.20024951,0.021877576,-0.18304047,0.5438533,0.3091077
Sf3b1,0.3418602,-0.14043675,-0.15605351,-0.14743257,-0.44673586,-0.2540538,-0.17136471,-0.019206451,0.14206156,-0.5564535,-0.34268227,0.029643886,-0.6891688,0.056903828,-0.69672567
Plcl1,0.007503718,0.7747003,0.69073385,0.029363807,-0.3485693,-1.9690869,0.38482165,-1.20862,-0.7811042,-1.452188,-1.0084178,0.09713771,-1.1324805,1.0927876,0.5196783
Bzw1,0.80356896,-0.6478802,-0.08733136,-0.65917706,-0.57622445,-0.5007783,-0.52661294,0.17260201,0.14275712,-0.06511987,-0.32402113,0.050039645,-0.81919277,-0.018143112,-0.8554503
Orc2,0.44426373,-1.1023328,0.21550249,-0.061655834,-0.270804,-0.60126024,-1.0989826,0.5856203,0.221647,0.13891327,-0.16297023,-0.01207493,-0.85184675,-0.38028714,-0.04689983
Casp8,-0.19732194,0.34570348,-0.39765227,0.38417295,-0.49928692,-0.8898062,0.55203265,-0.05854554,-0.03172287,-0.07456762,-0.13597454,0.011107526,-0.7228447,-0.21789226,-0.120368816
Trak2,0.04712727,-0.6226571,-0.112693205,0.03437784,0.01607373,-0.03532251,0.2148561,-0.015536402,-0.0019284055,0.067897856,-0.022557566,0.00075963465,-0.39285916,0.02012478,-0.5178597
Cflar,0.0025605275,-0.28033412,0.046837345,0.42057946,-0.150947,0.5460822,-1.0503637,-0.29274327,-0.11499961,-0.37322706,0.6627376,0.014521577,0.31969395,-0.17961958,-0.11252724
