,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 3,RNA private topic 4,RNA private topic 6,RNA private topic 7,Protein private topic 2,Protein private topic 4
110_38,2.7843175,75.86733,0.5984115,0.5403997,2.0193934,2.0897033,0.8023898,0.5042893,0.7373855,2.8939104,2.9999225
71_20,4.1374063,10.06988,0.7891661,5.2648525,1.241368,3.57382,0.7061145,1.488259,0.90915954,5.420346,1.8798863
48_23,17.245934,3.1540184,1.4581007,2.180916,0.88055813,11.233115,1.1547258,3.498839,0.98799485,7.952915,1.1034733
94_54,38.94526,2.6943433,0.8893645,0.9160214,0.7769759,14.162807,0.9523066,1.7196785,0.96153766,4.8995194,0.511321
69_34,2.5608358,36.089993,0.5465574,0.6168639,1.6948882,1.7851555,0.79598284,0.5364687,0.7464908,2.5517602,2.7822332
9_46,7.6729536,3.3667765,8.111965,1.331635,0.80280536,23.378288,1.952536,6.8390107,0.87090033,4.7621837,1.0783123
108_57,18.727324,2.1542788,11.30295,0.93711543,0.46125415,3.1232414,1.438173,0.6616826,0.56001174,10.742284,1.0965096
115_65,24.109863,2.4149196,3.78407,0.84541196,0.51595527,8.088683,1.309344,1.3985226,0.67649853,21.395977,0.9435828
104_42,4.182154,9.362475,0.7859519,1.2055259,0.9887392,43.264076,1.2408545,5.6818132,0.8022645,11.349312,0.65929574
94_23,2.726519,47.197823,0.56198823,0.6910421,2.5175753,1.6588622,0.55847156,0.47812912,0.72430664,2.3031456,2.8525836
111_42,4.953902,30.318363,0.717608,0.7711738,1.3912264,8.152488,1.0576249,1.1311754,1.3389972,1.8900301,1.0876579
13_51,61.420025,2.897521,1.7860109,0.53169847,0.7383158,6.0934925,1.7619365,0.9747843,1.4693956,43.704277,0.910232
17_39,9.839857,2.5528526,15.299722,0.9378753,0.6526681,8.612838,1.9548833,2.465124,0.6960824,39.984215,1.1291122
63_20,7.001043,4.82198,0.82959104,16.10028,1.4759127,8.549126,1.2308637,1.1168764,2.5945613,8.038109,0.70649296
89_44,35.72109,2.748695,1.0702335,0.91115415,0.7740027,17.04195,1.1447709,3.5426116,1.0662268,5.415023,0.6348186
99_40,4.163826,7.211611,0.79707205,2.321103,1.0914985,25.319965,1.1364957,6.1597815,0.9441895,14.229951,1.1923217
72_27,2.4902456,17.587267,0.5510786,0.7862799,22.168121,2.2265873,0.9493679,0.55197644,2.0448558,3.5515153,2.275212
82_0,6.032364,4.210069,0.9679254,17.840893,1.6552378,4.7985764,6.945563,3.2605097,2.3541362,13.293777,1.3163894
64_27,4.754189,6.3417077,0.83923197,9.064407,1.9002984,6.137415,0.8000042,0.9890071,8.252369,9.109345,0.74372953
78_46,5.878153,4.2960663,1.1647379,3.5831141,0.83274776,17.876747,2.4162893,21.836151,1.17673,22.924244,1.562811
89_14,2.6352668,48.412365,0.5953173,0.6639976,3.2282326,2.4594717,1.0182707,0.5846448,1.2407993,2.8758342,1.0904614
78_8,34.026924,2.9478602,0.9350674,1.060436,0.9630957,20.288528,1.8624462,9.469485,1.0483358,4.159684,0.88475
78_18,5.6677628,4.972733,0.98902583,24.861265,1.3148763,5.1430354,1.0725808,1.3601246,1.1134198,12.231046,0.72032326
96_24,2.6383796,65.12575,0.5444076,0.5361856,2.1514828,1.8828279,0.6329966,0.46388745,0.6480309,2.0631514,4.0533204
63_29,2.0965626,50.03605,0.42716736,0.581084,2.7700028,1.576763,0.5598359,0.5400143,0.695561,2.524253,3.3555803
97_7,35.955135,1.9822857,1.8449953,0.68674934,0.59584296,6.300649,1.190498,0.93987125,0.84512305,4.399419,0.89818394
88_9,66.30715,3.002724,1.1562485,0.88762325,0.8289776,10.285801,1.245042,1.0325323,1.0587373,4.633153,0.7670835
53_31,4.7230773,5.082446,1.1815615,20.337502,2.0629709,8.379136,1.2773408,1.2339505,4.3091083,3.4294724,0.9946631
45_38,2.296046,34.865913,0.5145971,0.53763556,4.131027,1.4444742,0.6703797,0.39651957,0.68332,3.0440042,4.235482
88_49,9.8144,3.6675103,1.0108389,1.4475044,0.7944147,36.642704,1.7602826,7.6247406,1.0653694,7.4291415,0.7963173
117_46,2.5239859,31.071749,0.5237973,0.7241602,1.9912391,3.7963586,0.9071093,1.240847,0.8936198,4.9813457,1.2205536
29_46,2.304094,56.066624,0.5031821,0.59449255,3.963806,1.7482358,0.6385188,0.5020507,0.6991373,3.2796364,3.5498946
87_26,8.220722,5.901374,0.84942824,5.864817,1.055057,21.85882,0.97376627,2.6295395,1.3055781,5.413552,0.72425294
55_23,6.129851,4.3765965,0.776659,7.7085032,1.0153612,14.247378,1.1394362,1.3052279,1.8605894,10.4946785,1.3229914
94_31,8.717619,4.336511,0.8778652,2.382606,0.78983897,23.353172,1.2462497,6.4502068,1.055419,16.545465,0.94317836
75_26,2.4646196,51.48368,0.55722797,0.5716677,4.4336867,1.4757226,0.6958491,0.41123435,0.68276256,2.365623,3.2044015
67_32,3.3329802,7.1845174,0.8508333,10.733194,2.7349133,3.1866994,1.9373397,1.2337401,3.0802076,4.048167,1.7424446
78_12,13.483358,2.8868291,1.0726732,1.7882674,1.0436219,14.416262,1.8256338,2.4247901,7.6350183,4.0530863,0.5678357
115_52,16.726261,2.5280235,3.2445164,2.0129833,0.970636,5.7689533,1.3829621,0.86623645,2.588504,5.3503675,0.68828535
109_39,3.6472235,59.13987,0.6215278,0.5730375,1.6733001,2.9625335,0.7654904,0.5874532,0.87801015,1.8043932,2.972951
48_25,5.1515408,3.9165726,0.9391582,7.80383,0.7061397,14.893947,1.4636774,2.4330635,1.2077824,5.447507,1.3768327
43_26,4.5597525,6.3134327,1.0028212,2.8229933,1.7994092,7.3451486,1.3129772,1.2800713,4.1237297,2.523461,1.8128539
111_50,18.018923,2.6610632,1.1251435,0.5329162,1.2569579,7.7887263,0.8947338,0.8139122,1.748931,7.93059,0.60401833
94_52,26.677137,2.6596181,0.98378325,1.0301118,0.80354357,31.106213,1.3069988,1.0846276,1.2884974,5.215561,0.71509916
91_17,2.2935257,22.1642,0.5376903,0.68009067,15.354336,1.6186738,0.85401857,0.433354,0.7711442,2.5438075,2.291348
112_46,6.4604816,23.840282,0.8795233,0.6263002,0.9913724,12.280033,0.8710506,1.1690394,1.0372326,1.9431331,1.2376413
79_19,2.7413094,51.92179,0.55720633,0.6985082,1.8193487,2.1403458,0.70467496,0.7040125,0.79346895,2.3398488,1.8376166
82_47,12.422088,3.8824291,1.3492172,1.4973315,0.83833325,18.38037,1.3233551,3.6354542,1.2316678,9.701604,1.2358207
