,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,Protein private topic 2,Protein private topic 4
mouse_CD5,0.0632465,0.39166343,-0.3632646,-0.06434104,-1.0094004,-0.0076036905
mouse_CD68,0.36501634,-0.76888067,-0.109347336,0.26163253,-0.17506152,-0.34612378
mouse_CD4,0.82924485,-1.0565765,-0.0002490893,-0.02524317,-0.29985818,-0.29538855
mouse_rat_CD29,-0.06407903,-0.0027181907,0.055772927,0.09399442,0.04970486,0.43362647
mouse_CD8a,1.0364342,-1.8827109,0.043964725,0.094217904,-0.09384215,-0.5915908
mouse_CD3,0.12598771,-0.25286847,0.081297114,-0.029638955,0.0047777276,-0.10564726
mouse_human_CD44,-1.4073966,1.6644702,-0.40450963,-0.18801482,-0.9444966,0.31200743
mouse_rat_human_CD27,1.067211,-1.984292,0.19331893,0.044591147,-0.054245695,-0.6860615
mouse_CD90_2,-0.015720017,0.0895469,-0.016094655,-0.0125735,-0.010511616,0.104020745
mouse_CD11c,-3.6139822,2.8342772,-0.7462055,-0.52792764,-2.2228408,0.5562732
mouse_CD31,0.15774335,-0.79118866,0.07092493,0.03878654,0.08457445,-0.27748382
mouse_F4_80,0.23559535,-0.9558962,0.11417567,0.08259249,0.08778201,-0.31821206
mouse_human_CD45R_B220,-0.1731429,0.2465206,-0.054068204,0.0730898,-0.037185937,-0.11696694
Rat_IgG2a,0.18125853,-0.5638556,0.13651107,-0.007826987,0.1542225,-0.20241386
mouse_human_CD11b,-0.8564355,0.5063323,-0.0729114,0.14989588,0.37016067,-0.04044893
mouse_CD19,0.1403783,-0.019193955,0.017995998,-0.07262115,-0.021887671,-0.12431713
Mouse_IgG2a,0.062506594,-0.4626326,0.3404309,-0.048681524,0.418857,-0.18353692
mouse_Siglec_H,0.004709501,-0.09674408,0.026562294,-0.007959838,0.10861845,-0.05067132
mouse_CD169_Siglec-1,-0.66992146,-0.6106649,0.311803,0.56411445,0.5226244,-0.16188732
