,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 3,RNA private topic 4,RNA private topic 6,RNA private topic 7
Pcmtd1,1.1992948,-2.5901942,0.52360636,-0.13024397,-1.001198,0.45107418,0.50171494,-0.00827288,-0.75189227
Sgk3,0.21798363,0.79374886,-0.25861952,-0.8602633,0.35935327,-0.116418526,-0.78849244,-0.05310705,0.15966143
Cspp1,1.2721156,-2.1932626,0.8457778,-0.5114149,-0.20842189,0.16299775,-0.33409515,0.042294845,-0.012305488
Arfgef1,-0.013964806,0.2672424,0.12084366,-0.009820157,-0.011014759,-0.0011612155,0.010814612,-0.03061078,0.016020462
Tram1,1.2172841,-1.9294021,-0.21762073,0.03445682,-0.27285752,0.39829695,-0.6615596,0.032119464,-0.8306137
Ncoa2,0.2200622,-0.028833628,0.65510136,-0.38341296,-0.30616218,-0.2325031,0.4606986,-0.51466143,0.70865655
Terf1,1.6597954,-2.9224777,0.33011052,-0.08337616,-0.55298126,0.25325412,-0.12676536,0.8094619,-0.47931552
Ube2w,0.34820795,-1.2443776,0.21111356,0.06731489,0.23188052,0.029476896,-0.699627,0.045383424,-0.51546454
Mcm3,0.18145633,-0.9044429,-0.24189566,0.06616341,0.03163813,0.04243029,-0.34612912,0.13539611,-0.17116179
Kcnq5,1.2220882,-3.5825915,1.1604878,0.040138222,-0.4848682,-0.17615214,0.22135004,-0.0031058406,0.18278505
Smap1,0.13539952,-0.11957684,0.37639138,-0.94182366,0.46054053,-0.1259025,0.6328522,-0.049912628,-0.057364997
Lmbrd1,0.648271,-0.8764001,-0.066002704,-0.07662817,0.037054334,0.06417198,-0.8344465,-0.004921341,-0.41104296
Phf3,1.119953,-2.5015264,0.13495056,0.16341868,-0.5824827,0.09169717,0.7263107,0.043772697,-0.70809865
Zfp451,0.86814386,-1.4401726,0.31955957,-0.40350455,-0.47266296,0.049569026,-0.7710999,0.025022253,0.20946704
Ptpn18,-1.8148329,0.905951,-0.6199686,0.5150736,0.16004257,-0.016932806,-1.2091928,0.035016853,-0.91290843
Dst,-1.239363,-0.4574745,0.30215737,0.5080593,0.21124886,0.025479667,0.4939339,-0.015251297,-0.09138923
Plekhb2,-0.9406749,1.5516995,-0.00079353194,-0.38749856,-0.01668776,-0.40088248,-0.6719975,-0.017747257,0.26216725
Fam168b,0.18966916,-0.21613914,-0.6981995,0.069158725,-0.3152045,0.009561892,-1.124947,-0.06285143,-0.40522647
Hs6st1,1.2738957,-2.480649,0.3450386,0.35406175,-0.5191813,0.3421031,0.15841867,-0.2576813,0.040039197
Uggt1,0.39576423,-0.7809083,0.3354866,0.0056481105,-0.051605552,0.012148477,-0.49774724,0.0062590986,-0.05066801
Kansl3,0.015880764,0.51282114,0.40835565,-0.7870023,-0.32687533,-0.16204663,0.24753529,-0.1739998,-0.65325457
Zap70,0.3798563,-1.2716694,-0.28992727,0.11054812,-0.74121433,-0.0061522657,0.3616531,-0.0128658535,0.12259592
Tmem131,1.3994861,-3.4931529,0.7562092,0.126147,-1.0170727,-0.091536194,0.70032763,-0.05755922,-1.66066e-05
Coa5,-1.8948511,2.2428293,-0.7682931,0.2797525,0.5276739,-0.6545967,-0.83726144,-0.32667264,-0.015718516
Mgat4a,0.5033519,-2.0534017,0.6731446,0.17864995,0.20077984,-0.14878619,0.5577988,0.080403656,-0.24821848
Eif5b,0.022125345,0.1034444,0.18157694,0.00031261516,-0.21989156,-0.014549982,-0.089117035,-0.0074259858,-0.01771205
Aff3,1.5276254,-4.1933804,0.80369866,0.19506887,-0.2807715,0.3742404,0.990321,-0.33449072,-0.11407631
Map4k4,-0.37032813,1.4404454,0.030827686,-0.10563102,0.6318078,-1.1042087,-0.05097234,-0.37765715,0.60079706
Mrps9,-0.08238014,0.10784103,-0.2437422,0.02708601,-0.30973044,0.0014998871,-0.2804398,-0.016387392,-0.1281443
Tpp2,0.96483886,-2.1190057,0.26722404,0.0050302534,0.09242729,0.123459496,-0.23661238,0.013982153,-0.7059198
Nck2,1.0269265,-3.7576733,0.97187203,0.38022682,-1.2097473,-0.22718404,1.0249069,-0.08165974,0.8606614
Stat1,-1.6896312,1.9679055,0.048915375,-0.36118835,0.2235249,-1.3948095,0.33451596,-0.2643537,-0.24119525
Nab1,-0.022196472,0.06751001,-0.027929632,-0.3076491,-0.544179,-0.037663236,-0.8108832,0.09733627,-0.19834208
Gls,0.65897816,-0.79784834,0.18629067,-0.08697715,-0.35688215,-0.0069542243,0.30914545,0.015380705,-0.11762211
Stk17b,-0.28072685,1.1427764,-1.1260705,-0.026086412,-0.4781768,-0.020315612,-0.51185226,-1.0149193,0.10107365
Ankrd44,0.29842156,-0.8892014,0.44211367,0.16964081,-0.5456875,-0.060581565,0.21582815,-0.11599273,0.6320186
Hspd1,-0.9580013,0.16378224,-0.89529324,0.50035274,-0.3177776,-0.16909997,-0.99333924,0.04759288,-0.49923778
Mob4,-0.36641106,0.39452025,0.053692427,-0.10521984,-0.76483655,-0.062324293,-1.0603448,0.00091997394,0.03313764
Plcl1,2.276907,-4.8602324,1.2308264,-0.7591895,-0.31615278,0.71300614,1.1718787,-0.18855476,-0.34711036
Clk1,0.13540845,-0.3367746,0.2801324,0.009792502,0.06380701,0.008058311,0.6180041,-0.0072248345,-0.066539355
Cflar,-0.68589777,1.2354187,0.3151322,-0.38768843,0.4720686,-0.48366836,0.45069954,-0.035775337,-0.8614334
Trak2,-0.11867142,-0.9826908,-0.15170369,0.2781879,-0.7530648,-0.044404924,0.1414079,0.0056862016,0.091701046
Nop58,0.26468638,-1.0246557,-0.37825865,0.020748885,-0.6098977,-0.006982323,-0.8914681,-0.007477467,0.01841752
Fam117b,-0.6716801,1.2544755,0.26124296,-0.2768681,0.22299433,-0.38151023,-0.7045961,-0.15603662,-0.2134669
Wdr12,2.1231263,-4.80601,0.62808204,0.23637961,-1.2049626,1.6208143,0.7258968,0.14192945,-0.7784479
Nbeal1,1.3215355,-1.8165418,0.059724495,-0.073913135,-0.43919736,0.005815977,0.63652885,-0.21308097,-0.31432638
Cd28,1.5055385,-2.0508726,-0.06496126,-0.10301814,-0.38468978,0.60461754,-1.3354462,0.015799819,0.015674049
Ino80d,0.46953082,-0.009339601,-0.00074011646,-0.05023775,-0.09945968,0.0009834999,-0.71377367,-0.018605057,0.031930126
Ndufs1,0.013903039,-0.67180604,-0.12512058,0.027673751,-0.14061582,0.014954821,-0.27768788,0.00059199135,0.020632206
Klf7,1.4170301,-3.129054,0.41129535,0.13755707,-0.16861242,0.1398516,0.33065945,-0.035436008,0.53795993
Eef1b2,-1.8767469,1.7752581,-0.85829645,0.3600823,0.58422405,-1.5900103,-1.2335353,-0.1457657,0.22111633
Creb1,0.6880413,-1.6965165,0.25101006,0.0053312825,-0.25441295,0.098974876,0.60866374,-0.06369345,-0.11221358
Kansl1l,2.951769,-5.715726,1.0733184,-0.95932984,-0.68734723,2.0488427,0.6646221,0.35280448,-1.178022
Ikzf2,0.44407362,-0.22743562,0.67885256,-0.25364223,-0.3423136,0.017431589,-0.18029553,-0.34843516,0.049876295
