,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,Protein private topic 1,Protein private topic 6,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
110_38,5.004527,5.329793,8.554934,0.9384222,0.7927045,1.2050359,1.0250906,1.4974372,2.7484164,5.5115995,8.676659,4.5650983,1.812125
48_23,3.6409156,3.4659882,7.6543856,0.9550662,1.2285768,1.6501292,1.3648572,1.88129,6.430996,3.182773,6.180628,19.792732,1.7930185
71_20,17.484474,2.6876245,2.3394604,1.150732,1.063751,0.85802066,0.28689414,2.507797,1.0600051,7.157964,11.51911,1.4963936,0.86803705
94_54,50.66482,2.543707,0.89200056,0.9819637,1.1461867,1.1643996,0.20052311,2.2523036,2.4687827,2.119906,15.791725,0.94702995,2.0614946
108_57,3.1619017,3.5196612,0.7702513,1.7201048,1.3092008,20.11893,0.6195471,3.0207603,1.0797343,2.4542806,20.947563,0.5333578,1.9350368
94_23,1.5584153,42.664795,1.4651151,0.6489099,0.6972122,0.7112578,2.7229297,0.7135912,0.4925109,24.619024,2.629521,0.56367743,0.45243785
69_34,5.7126017,3.7593372,4.5421047,1.0257022,0.9503225,1.4579922,1.2801214,1.8436134,1.1540751,7.836659,19.61426,1.192184,0.9765298
13_51,3.03639,8.90444,2.9471629,0.596179,0.7307745,1.9703989,0.1784454,60.04906,0.81710887,18.102688,9.130234,1.3248813,0.79999924
104_42,2.3889508,7.738556,4.3246856,0.8236917,0.66867316,1.0993251,2.8202348,0.66947275,0.937372,9.509315,7.267297,0.87009656,0.51002717
115_65,8.226241,2.0359588,1.7088478,2.1424088,1.9834069,0.6051624,0.17813045,1.5722725,8.172418,2.1821923,4.212225,1.3257887,3.5597792
111_42,1.9240737,46.435402,0.816623,0.76974165,0.810851,0.91623616,2.070656,0.77785176,0.5399738,44.124065,2.9433322,0.7431268,0.4974548
63_20,1.9103621,26.53321,1.524138,0.6700286,0.8782898,1.8193278,3.5256412,1.2472264,0.85210043,18.14162,2.614417,2.090507,0.7198121
17_39,3.4620466,3.0232973,0.84248304,1.6190145,183.0921,1.3838742,0.6286389,6.1121736,1.4394414,1.5588785,2.2390864,2.2497067,3.815342
9_46,8.513486,3.3112373,5.0037193,1.0069114,1.6572416,0.99961716,0.42342234,4.3215632,3.3558717,3.7764182,3.4806614,157.46207,1.5381306
89_44,25.126276,2.3293772,1.2021589,1.2549653,1.0573101,0.80837935,0.22680774,2.3421428,1.5880725,2.1302464,26.778402,1.0816721,1.291977
99_40,1.8390983,42.117043,0.9484342,0.63952327,0.78192073,1.077513,3.0539804,0.75246876,0.5627977,31.755005,3.657511,0.6023254,0.5079543
82_0,2.6685371,3.4597712,1.870741,1.6365278,1.8191533,54.754326,0.21683529,1.5136492,0.9241263,4.976242,2.488577,3.504909,1.3170989
72_27,1.5184593,36.919483,6.4798245,0.58996636,0.6617016,0.48872608,2.0872939,0.8982025,0.6030366,17.428331,1.827817,1.0334952,0.384452
64_27,1.942751,12.294786,147.3671,0.7483656,0.9556477,0.6833077,3.850107,0.8144503,0.9962775,101.01064,1.8040811,0.9578987,0.7436527
78_46,7.6174355,5.4882336,5.358416,1.4418163,0.8766314,0.6611661,6.384285,1.007465,1.941647,2.6510458,13.245138,2.8538203,1.2090194
58_43,3.4902878,3.1324248,0.8523879,1.4334731,3.1856337,16.450493,12.340726,3.0165565,1.433432,1.8069766,3.7692003,0.9337087,6.0838737
66_45,6.8640685,1.9667069,0.88504505,2.157454,3.705841,2.2569184,0.3182883,1.6758565,2.458913,1.7429947,14.7093315,0.8115731,3.5040514
89_14,3.148368,5.320242,1.1774248,0.76896876,1.1877631,21.290245,1.2906023,1.3797805,1.1333237,10.17152,9.250508,0.73378026,0.82167864
78_8,32.78322,1.9210056,0.914356,1.6631721,1.8360357,0.99235886,0.21890101,1.7834831,4.8183913,1.9348707,12.824082,1.2714626,2.2658715
78_18,1.427247,46.196087,1.4663364,0.53810036,0.5386787,0.67531097,3.062338,0.72694874,0.5271284,17.260412,2.414421,0.8109619,0.442293
21_59,7.0959573,1.7815886,0.42735004,4.807428,7.638671,1.0783927,0.13151488,35.151764,2.8644328,2.1227322,7.159009,0.77660453,9.017903
96_24,1.4439003,42.340073,1.2108771,0.61231303,0.6672601,0.59299874,2.4444652,0.8013878,0.4703498,18.95374,2.1777644,0.68055516,0.44195408
63_29,13.850174,2.680694,6.078156,1.4405587,1.1044635,0.54647243,0.6290229,1.2611154,1.412443,4.019965,9.828177,14.204008,0.9558158
88_9,31.29903,2.1874526,0.849422,1.5427114,1.5169828,0.67349756,0.11932336,1.4692901,2.3470597,1.9735658,26.454222,0.85837114,2.2044742
53_31,2.1263762,14.040185,4.0102296,0.828317,0.6888505,0.6376513,2.6032422,0.76527566,0.97203904,23.633732,2.4121099,1.1651424,0.4420181
88_49,27.744347,2.526083,0.8679086,0.8268407,1.0586203,1.7720766,0.3078938,2.5743945,1.4551057,2.2180114,24.347784,0.9233448,1.6773425
45_38,1.5598603,18.10965,2.975245,0.6908284,0.6709186,0.445952,1.9759345,0.805099,1.0108279,7.3195868,3.0860946,2.528573,0.59468573
117_46,13.727651,2.000566,0.80384374,2.1886249,1.7746944,1.4085159,0.051189486,1.6605078,3.409737,2.051877,10.175837,1.8052783,2.491907
29_46,1.6596646,68.960884,1.3149827,0.6119154,0.65530473,0.50796723,1.7118766,0.83821905,0.5672708,19.147854,1.9285655,0.9557496,0.38920394
87_26,2.07125,8.659992,14.90712,0.73919046,0.6961962,0.7713023,14.580106,2.285619,1.0384561,13.980471,2.2755153,2.0031872,0.7531218
75_26,1.7070652,64.398384,0.8393402,0.6388993,0.67439914,0.866956,2.3906732,0.8065365,0.4822805,14.859434,2.6102643,0.69316643,0.42809197
55_23,1.8239785,8.425762,23.767487,0.73146796,0.8232323,1.4236215,4.3385553,0.82554454,0.90987194,14.862568,2.7793326,6.2365,1.1617216
67_32,3.3457937,3.61148,3.2766376,0.9856936,1.1080718,2.6210487,15.5811205,2.1115465,1.1279579,6.09254,7.1003323,2.9612753,2.4105794
78_12,9.681086,2.7203867,3.2739081,1.3962355,1.0022795,0.65326476,0.79479825,1.5972824,4.308049,3.847948,6.419341,9.392189,0.96975267
115_52,4.8369303,3.5631087,8.468195,1.1237999,1.019957,1.0206625,0.8278375,1.9919947,1.6981868,3.4548051,14.633249,11.10332,1.4589921
94_31,11.27905,2.5423584,1.4311461,1.0805197,1.3203468,1.195308,0.4043412,1.9195502,1.9636177,2.1511576,65.880905,1.0765588,2.572332
0_47,3.0242834,3.1873393,1.703844,1.4014211,48.19107,1.1665568,0.1357468,171.66296,1.5204804,7.2799435,4.62794,1.4815385,10470.661
68_47,4.071623,2.303203,0.9093813,2.1628456,3.301507,2.777879,0.46204272,1.705196,1.1815532,2.2697985,15.279604,0.75443363,2.4143713
26_60,2.8993807,2.971097,0.7684138,1.4951116,12.128761,17.361261,0.24846365,14.693166,1.0910782,2.4673235,5.655575,0.6347512,4.9367423
109_39,1.3543829,28.31229,11.258031,0.5181988,0.6471778,0.9882573,3.0540788,0.86525476,0.68096626,13.120532,2.5627756,1.4725988,0.5114219
48_25,12.5304985,2.8213277,2.1578734,0.92820334,0.8673457,2.319912,0.64245456,3.6714323,3.3758538,2.3421605,24.759249,5.526462,1.5587963
111_50,6.789632,2.7229557,1.9626445,1.4114937,1.3125846,2.5335739,0.3627988,1.2112902,1.5715264,3.2985048,11.255637,2.5070658,2.1035652
43_26,13.600405,2.3066177,1.0934595,1.2832801,1.544616,1.7628813,0.277291,2.133722,4.532291,1.2914853,11.219787,3.451095,4.944432
94_52,42.12657,2.5129054,1.0804943,1.1953285,1.0867968,0.987838,0.36816916,1.174378,1.685449,2.6764312,21.566141,1.1080694,1.4298267
91_17,3.3212576,7.5408154,4.121936,0.8288474,0.9091184,1.4845722,2.762492,1.9560336,1.5391793,7.6967487,4.998036,3.0646129,1.2052588
112_46,1.8087271,16.481403,1.6628861,0.7589105,0.81910694,0.49784994,2.09432,0.7366519,0.73447925,13.369507,2.1241238,1.1172454,0.37899944
37_55,10.152071,1.9209111,0.9902899,4.278815,1.7404797,1.1297412,0.101528265,1.3626934,5.3414617,2.752351,10.370766,1.7635461,1.5520066
82_47,15.635523,2.7462993,1.1352204,1.1492733,0.82706904,0.9913949,0.53655446,1.6965941,1.5616782,5.990152,14.653929,1.6479957,0.9294987
83_4,4.267041,1.8325524,0.86394346,18.199396,1.7962558,0.89785635,0.088586174,1.1050742,1.3113009,1.3691493,4.808778,0.6159334,2.4964478
95_18,7.2147636,2.497934,3.2257192,1.3438333,2.297825,1.6391551,0.47437602,2.7059293,1.7584006,2.235585,22.684566,1.0493162,2.059386
79_19,1.4766574,42.414913,1.6440569,0.5496429,0.5858597,0.5713385,2.5980809,0.78561866,0.52105904,15.098373,2.0760148,1.0574652,0.40242642
