,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,Protein private topic 1,Protein private topic 6
mouse_CD5,0.17613839,0.19033614,0.091247424,-0.06389118,-0.37302142,-0.33395162,-0.109716274,-0.50699335
mouse_CD4,0.5599967,-0.8524434,-0.10377041,0.20388502,-0.047026187,-0.10469075,-0.14323446,-0.35219797
mouse_CD68,0.55465245,-0.7120339,0.12864369,-0.01467262,-0.18094577,-0.045230456,0.18580358,-0.34035414
mouse_rat_CD29,0.024068149,-0.20556681,-0.07625786,0.044222027,0.02732321,0.21531285,0.056944013,-0.3172271
mouse_CD8a,0.7165485,-1.4490662,-0.15709825,0.27945706,0.06545593,0.024281217,-0.083301395,-0.28608274
mouse_CD3,0.1591117,-0.28135693,-0.07323279,0.20340125,0.06324048,-0.028070051,-0.06678131,0.03334935
mouse_human_CD44,-0.8440367,1.3957933,0.18152265,-0.33242998,-0.3824254,-0.2254785,0.03465679,-0.43418375
mouse_CD90_2,-0.020801298,0.6039793,-0.020215873,-0.15349819,-0.118375815,-0.16120128,-0.09464081,-0.04806464
mouse_rat_human_CD27,0.5344646,-1.4634609,-0.2132726,0.3991042,0.12271316,0.04955909,-0.11505767,-0.28064746
mouse_CD11c,-2.5286145,2.2570324,0.35750413,-0.6990892,-0.6373072,-0.5159814,-0.49176022,-0.7179315
mouse_CD31,0.08816926,-0.5729632,-0.16082963,0.1282709,0.03971562,0.16694343,0.054432273,-0.037925914
mouse_F4_80,-0.010676291,-0.4932227,-0.001779572,0.12397569,0.16188712,0.077148214,-0.06685565,0.24895509
Rat_IgG2a,0.06968501,-0.47576207,-0.13888976,0.119060814,0.3115739,0.057850283,-0.11822381,0.5388505
mouse_human_CD45R_B220,-0.26154512,0.31446534,0.09405104,-0.25159556,0.19680636,0.10917449,-0.12128208,0.5147436
mouse_CD19,-0.060807265,0.060956206,-0.0035495376,-0.021069273,0.06586396,-0.011630599,-0.016873453,0.40826517
mouse_human_CD11b,-0.68712986,0.5401653,0.5655859,-0.46468955,0.021142267,0.19421665,0.645514,0.09400123
Mouse_IgG2a,-0.15391092,-0.2920756,-0.028858768,-0.17159492,0.47341144,0.3770548,-0.14538412,0.7028428
mouse_Siglec_H,-0.14865547,-0.17039958,-0.04523338,-0.06652052,0.34079197,0.0146628395,-0.053028096,0.6328033
mouse_CD169_Siglec-1,-0.3415175,-0.79630905,0.2588775,-0.27544978,0.42806098,0.46408853,0.056176286,0.34928024
