,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
Rb1cc1,1.4966576,-2.4891603,-0.47359142,0.58015585,0.37759766,-0.7141123,0.38613784,-2.4697409,0.68222207,0.007886912,0.24231566
Pcmtd1,0.30148327,-1.779277,-0.057371467,0.66625994,0.60718,-0.3211888,-0.07909561,-0.8831903,0.24188085,-0.11072729,-0.22203425
Vcpip1,0.6708216,-0.8419932,-0.14558277,0.2737302,-0.36311364,-0.4103269,0.00096752116,-0.6348673,0.025927778,-0.0022269331,-0.07087319
Sgk3,0.5175246,0.3748263,-0.19439562,-0.054576635,-0.021971164,-1.0465136,-0.87997,-0.06031768,-0.20638344,0.06681064,-0.44479424
Arfgef1,0.13328068,-0.082847744,-0.21069942,0.19551072,-0.42368484,-0.21262933,-0.08007533,-0.18655768,0.047338482,-0.0015728568,-0.72964215
Tram1,0.33735257,-0.98669034,-0.025541507,0.1514461,-0.57705104,-0.056045756,0.13564073,-0.20482272,0.0026429677,0.03152381,-0.8252611
Ncoa2,-0.23837157,-0.16440055,0.19223896,0.5020171,0.6922379,-0.8256375,0.087790385,-0.36462343,-0.26639947,0.069095366,0.98585653
Ube2w,-0.30828878,0.11364399,-0.5719869,0.5396611,0.2975784,-0.17028147,0.4983533,0.061553054,-0.037024777,-0.4510117,-0.37026775
Eloc,0.45013708,0.553211,0.017860323,-1.0810043,-0.34228075,-0.55012417,-0.6098757,0.16509904,0.29729208,-0.86047846,-0.8092499
Mcm3,0.58442044,-0.599103,-0.36600432,-0.60336727,-1.5056635,0.7305008,-0.681738,-0.31591257,0.40566707,-0.3499969,0.11987994
Kcnq5,-0.046413153,-2.7618365,-0.23208956,1.2703732,0.819608,0.17782038,0.8202038,-2.2683072,-0.26583865,-0.286148,0.4693719
Smap1,0.26570445,-0.5146551,-1.0639095,0.42504948,-0.2557765,0.18305096,-0.14290436,-0.281554,0.1318969,-0.22404619,-0.2007055
Lmbrd1,0.054115117,-0.16301696,-0.61365694,0.5096998,0.27277038,-0.080714345,0.23250155,-0.098419026,-0.021614324,-0.08300968,-0.25100982
Phf3,0.84652656,-1.624141,-0.3184027,0.2998787,-0.05371077,-0.3714221,0.13296281,-1.5617652,0.05622076,0.37489685,-0.05910203
Prim2,0.21770713,-3.1796813,-1.0556751,0.854252,1.2240124,0.64899623,-0.22933409,-1.8184338,-0.31626692,-0.036856662,0.6135925
Zfp451,0.1536133,-1.2406663,-0.3895818,0.34643734,0.19096527,0.098458245,-0.31717855,-0.36594734,0.05268356,-0.36491182,-0.07380431
Ptpn18,0.4492435,0.71925545,-0.47248164,-0.7667727,-0.76995033,-0.11630309,-0.6744342,0.5556446,0.01355743,-0.5636708,-0.14793624
Dst,-0.3920414,-0.42443728,0.23722218,-0.5538069,0.5467171,0.6448847,-0.40561315,-0.015052766,-0.11945571,0.19036558,-0.24572927
Fam168b,-0.3774954,-0.08512393,0.39456633,0.20585594,-0.2848019,-0.44631174,-0.6415086,-0.002446413,-0.011426156,0.06404829,-0.015886886
Hs6st1,0.51202655,-1.946712,-0.05349376,0.40574285,0.5880427,-0.29694605,-0.12693132,-0.77734244,0.28399992,-0.29612553,-0.21648611
Uggt1,-0.36289895,-0.22890018,0.062579215,0.43412027,0.33039674,-0.10961868,0.72452563,-0.36363205,-0.095276095,0.04708147,0.16226603
Zap70,0.3202463,-0.26145536,0.0181403,-0.18221372,0.31152597,-0.27466118,-0.3024998,-0.024344929,-0.009034738,-0.03481084,0.48199946
Tmem131,0.92086184,-2.588784,-0.54946864,0.81927854,0.29380274,0.2823972,0.1371171,-1.7122622,-0.19901778,-0.48783517,1.1491297
Coa5,-0.7950592,1.9417477,0.44779858,-1.5175322,-0.56764275,-0.38546547,-1.0877192,1.1566801,-0.53787816,0.59189224,-0.8949705
Eif5b,0.051279515,-0.2590839,-0.32674524,-0.12629862,-0.31960058,0.037059586,-0.2514807,-0.08265362,0.038975816,0.057942588,-0.8735731
Aff3,-0.12164633,-2.763878,0.25619215,0.7060505,0.9061888,-0.039712094,0.73342156,-2.4887981,-1.4119337,0.536043,0.9083971
Mrps9,-0.107367255,0.04447499,0.34043804,-0.87785494,-0.35902464,0.32828844,-0.09559288,-0.25163555,-0.12971516,0.2295929,-0.5085962
Map4k4,-1.3630787,0.71359766,0.44962165,0.05848122,0.16908199,-0.4104307,-0.014141476,0.6809031,-1.8180081,0.27463907,0.047299303
Tpp2,0.8667458,-2.2337995,-0.55457515,0.64043933,-0.04268679,0.10171925,0.011079233,-0.9111778,0.63591933,0.025487991,-0.5270512
Nck2,0.021534532,-2.8781571,-0.01927833,0.97073513,0.7831758,0.027714519,0.72924805,-2.971698,-0.45165735,0.56017065,0.86186516
Nabp1,0.13860889,-0.015155345,0.11566159,-0.03659441,-0.511053,-0.46281824,0.25671965,-0.05528596,0.0021213745,0.072785474,-0.5655494
