,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,Protein private topic 6,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
42_81,1.0358927,27.30275,1.1377438,0.66729176,0.5722872,0.6262744,0.5281248,1.0351168,0.48355585,0.8161513,0.6545816,1.2907125
48_23,3.094759,3.138265,19.599266,2.2722044,1.7802584,1.1778916,2.835401,8.178656,5.081828,0.6878752,1.1068474,0.8064666
5_39,21.892042,3.0254228,1.4310148,1.5051754,3.1288984,1.9244559,0.5169968,1.6638547,0.7699562,3.845473,111.635284,0.681539
28_72,2.962562,4.7003403,2.5374591,1.4315994,5.131298,1.030124,1.5686927,16.723917,3.094777,7.8882,1.2371292,4.31444
13_51,2.5860276,3.6801882,2.8458085,3.9540958,16.491194,1.0083426,1.0164758,3.9836645,1.0071507,17.47389,5.8198185,5.3550243
24_69,1.0137643,37.535942,1.2312226,0.6379788,0.48268092,0.6599119,0.41690323,1.006232,0.4356686,0.729789,0.6532639,1.2546579
33_16,31.694983,5.041795,1.500957,0.925653,0.99688065,5.4634385,0.6634919,1.2056952,0.78096825,0.76294136,0.5532349,1.1427876
9_46,3.111597,2.8144152,23.019964,1.9538654,1.7806021,0.98998755,5.614652,5.616678,2.2052498,0.91348016,1.0254372,1.5161175
54_8,1.3719138,38.093445,1.5493762,0.7762567,0.64960074,0.5602039,0.46168777,1.536814,0.5115393,0.58713734,0.62723565,1.2570976
17_39,1.1180573,65.817764,1.707387,1.1694914,0.50146043,0.6280413,0.3905408,0.95570064,0.41025972,0.6473413,0.5334679,1.004868
45_103,5.1444616,2.8093126,3.7706513,11.475621,3.440198,7.8587523,3.1281638,4.2756457,1.3217092,2.4451022,3.4876254,1.708176
46_79,1.440248,33.658085,1.3082128,0.8139181,0.85494053,0.7304979,0.49612403,0.66345143,0.3851698,0.6983421,0.54680127,0.77427065
24_62,2.1513824,6.7076416,1.8311456,1.5497198,3.161345,1.0978544,0.91319907,9.029999,0.86993444,3.9340007,2.2369738,1030.9985
64_27,44.792667,2.998908,1.4152031,1.1551573,1.0412964,1.4967601,2.3587205,1.5424182,4.753751,0.5808756,1.6570786,0.47347215
35_60,2.3038213,4.9919806,1.9919741,56.69466,1.57532,1.4985965,1.1043074,11.325747,0.7119049,5.170612,2.5676265,8.602297
52_106,1.1839452,41.884525,1.2629664,0.81726235,0.68635845,3.8762043,0.4609742,0.82416964,0.48679838,0.58529353,0.5096524,0.6458929
52_4,23.857218,2.8349457,2.4266827,0.9164646,0.90267706,1.1807532,1.1615171,1.6582534,9.959908,0.67260796,0.92466784,0.59347045
21_59,3.865108,3.690053,2.7878299,19.367384,1.2307622,1.6049709,1.7641765,11.787451,2.0561633,1.565569,1.370988,3.4595954
