,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,Protein private topic 6
mouse_CD5,-0.4994809,0.35335568,0.15732752,-0.12829183,-0.0010009308,-0.6533882
mouse_CD68,-0.306148,-0.9519526,0.30696562,0.22317965,0.19814976,-0.43966234
mouse_CD4,0.09598539,-0.9637921,0.54353595,-0.02659486,0.064097226,-0.5506661
mouse_rat_CD29,-0.08844632,-0.14172655,0.09134768,0.16555773,-0.06862303,-0.3960987
mouse_CD8a,0.24359243,-1.700831,0.65633774,0.046012435,0.108892076,-0.496429
mouse_CD3,0.17994368,-0.12000415,0.050407335,-0.010503121,-0.0047483593,0.12268214
mouse_human_CD44,-0.8573842,1.7435613,-0.67560875,-0.15546162,-0.16020413,-0.28560793
mouse_CD90_2,0.07221071,0.25780368,-0.14755087,-0.030396821,0.026339667,0.06881478
mouse_rat_human_CD27,0.43781644,-1.7347634,0.6212284,0.06702257,-0.03755461,-0.33347985
mouse_CD11c,-1.805061,3.0103388,-1.736923,-0.7506225,-0.42822546,-0.8165363
mouse_CD31,0.14336942,-0.58114046,0.23310941,0.13282418,-0.10844035,-0.0064953826
mouse_F4_80,0.3319258,-0.8516916,0.09705308,0.034416024,0.07022487,0.27215204
mouse_human_CD45R_B220,0.16895312,-0.061781295,-0.05919887,0.0056703803,0.01463602,0.49488235
Rat_IgG2a,0.5479157,-0.4778093,0.049301963,-0.004413238,0.021584729,0.6329005
mouse_human_CD11b,-0.53507423,0.72105944,-0.66591007,0.19883837,0.13479015,0.1358345
mouse_CD19,0.34171626,0.15310863,-0.1442094,-0.03463738,-0.007845911,0.62583554
Mouse_IgG2a,0.59133273,-0.51321334,-0.18033747,0.010661712,0.06938658,0.74352914
mouse_Siglec_H,0.42906302,-0.4393514,-0.10391084,-0.022524325,0.006431065,0.6665355
mouse_CD169_Siglec-1,0.07155694,-0.6174202,-0.60797644,0.29551145,0.29304528,0.26563868
