,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
Lypla1,-2.0225303,0.0133106,0.72425944,-0.16808839,0.58863366,0.1448197,-0.016035598,-0.0143564,0.009807705,-0.78792965,-0.018439565
Rb1cc1,0.8827284,-3.4948962,1.2091463,0.50699824,-0.15830953,0.66454583,-0.1103643,0.37488988,-0.066292584,-0.18644874,-0.15475698
Pcmtd1,0.8107848,-2.6948395,0.7245121,0.23240736,0.23194169,0.19725282,-0.04019897,0.26109353,-0.022143764,0.38371027,-0.16277663
Vcpip1,0.20626926,-1.1395398,0.6203159,0.03493687,-0.116620176,0.13475849,-0.0025232222,0.012775799,-0.035060097,0.7769111,-0.052589428
Sgk3,0.2140144,-0.5629935,0.40498066,-0.06076436,0.04672867,0.019507654,-0.0008595728,-0.014946749,-0.008524341,-0.50347006,0.009192912
Cspp1,1.6296496,-2.280825,0.0065273643,0.11983148,0.111122034,0.02600516,-0.053844422,0.36235687,-0.055558376,-0.5904504,0.09303336
Arfgef1,0.14327347,-0.038827077,0.35473707,-0.030586528,-0.038498983,-0.033634935,-0.0012099314,0.019149132,0.0006896581,-0.572037,-0.014523708
Tram1,-0.18108512,-0.87962186,0.68918914,-0.080329366,0.18979989,0.034419913,2.0630832e-05,-0.024404617,0.0027802712,0.29270855,-0.0007004442
Ncoa2,1.1404333,-0.17908476,-0.47894362,-0.05189427,-0.30765933,-0.08562732,-0.008382173,-0.036937103,-0.009099418,0.755187,0.04389879
Ube2w,0.2387506,-0.0045093894,-0.27824217,-0.06358403,0.044058252,0.0074921167,-0.0005768811,-0.010179393,0.0053278683,-0.12929711,-0.010992802
Eloc,-1.2205584,-0.335613,0.56156784,0.041496515,0.009111235,0.018170549,-0.0013461851,0.0017927215,-0.011714949,-0.32830247,-0.02357031
Mcm3,-1.3169613,-0.9812242,0.57580924,0.8128768,0.037188925,0.61093307,0.023988396,0.17971694,0.020608734,-0.8591655,-0.09610286
Kcnq5,2.2437968,-2.401086,-0.37133673,-0.17813264,-0.43904656,0.164722,-0.0071643614,0.35996673,-0.0048046825,0.052187037,0.12360597
Smap1,0.65381575,-1.7929856,0.06617348,0.11063463,0.06220351,0.0035041599,-0.010732206,-0.08446081,0.024289528,0.5546739,-0.007748394
Phf3,0.17005655,-1.1213608,0.93207157,0.037018493,-0.08097479,0.259164,-0.007678697,-0.035606306,-0.041131265,0.54399717,-0.03308995
Zfp451,0.13226351,-0.78240144,0.46245593,-0.20747104,0.03270584,0.012736984,-0.0009851092,0.0720612,0.009256817,0.61643916,-0.01873588
Ptpn18,-0.81304765,0.9642694,0.30280167,-0.05605239,-0.51515704,-0.070207044,0.009639145,-0.6005055,-0.11527509,-0.5003027,-0.07547149
Dst,-0.26330367,-0.6911757,0.07476384,0.027730646,0.07171308,0.074442245,-0.0037295609,0.31316462,-0.020617122,-1.3411169,-0.00029094488
Hs6st1,0.70350605,-1.9902728,1.0639173,-0.19971809,-0.14999261,0.18851484,-0.039242037,0.2545418,0.08672191,0.44985917,0.016836746
Lman2l,1.3374908,-2.3845992,-0.5691248,-0.023521122,0.60169154,-0.21013936,-0.06689201,0.20146345,0.21807425,1.1050775,0.0911628
Fam168b,-0.315835,-0.04713233,0.0714107,-0.006192297,-0.017148672,-0.005611992,0.0012201373,0.011764575,0.0033188504,-0.23511547,-0.005373229
Uggt1,0.60227835,-0.15843618,-0.0020628273,-0.9828612,0.26001042,-0.428577,-0.00017692521,0.23745815,0.032754853,-0.5621241,-0.052609697
Coa5,-1.2273033,1.967675,-1.2850034,0.14313006,-0.5651531,-0.3576912,0.037173163,-0.59420407,0.0060017146,0.12105456,0.008750702
Tmem131,1.7413924,-2.9653862,0.40494734,-0.025680237,0.16230671,0.06397492,-0.12738307,0.681242,0.056851745,0.022811309,0.00042978526
