,Shared topic 1,Shared topic 2,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 5,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Ppp1r14c,-1.3786986,-0.37804368,0.5107516,-0.2718807,-0.1790239,-0.24879998,0.7099595,0.13406816,0.4186355,-0.65957046,-0.0077867266,1.3808972,-0.5973406,-0.67931813,0.5485445,-0.43188462,-0.13907824
Plekhg1,-0.5777861,-0.15077688,-0.72098345,0.6849913,1.3715947,0.38920283,-0.61389315,-0.4254062,-0.8258499,0.5468162,-0.13434598,-0.95009845,-0.15644716,-0.16275081,-0.09708649,-0.43076834,-0.21377487
Rmnd1,0.02316336,-0.0011527508,-0.00073144544,-0.19899987,-0.17514585,-0.53237665,0.18046835,0.0013452455,-0.000797919,0.033188995,-0.46330848,0.08359059,-0.01078443,-0.07188981,0.00953939,-0.0962286,0.11135051
Syne1,0.63665986,0.028108431,-0.17060676,-0.22400185,-0.507853,-0.3869833,0.040381737,0.033737443,0.2970988,-0.04946044,-0.4028434,-0.7359982,0.33784944,0.4527915,0.029096361,-0.07270164,0.45996052
ENSMUSG00000096054,0.8175138,-0.0010138387,0.011026117,0.098648675,-0.6666501,-0.3095311,0.037824687,-0.115344755,-0.19002517,0.03749837,-0.5514673,-0.05172333,0.2226839,0.32326764,-0.083691455,0.08055856,0.020070428
Lrp11,-0.27710694,-0.014352397,-0.15593612,-0.469695,-0.58459795,-0.38958463,0.35137412,0.40849823,0.47435537,-0.27185506,0.61019105,0.3202436,-0.39025882,-0.06973356,0.13529317,-0.4304723,-0.015138096
Pcmt1,-0.2745332,-0.004937863,-0.0014421052,-0.24906287,-0.025016623,-0.46853796,0.16412635,0.12577237,0.2839928,-0.09198361,0.0700466,0.13055077,-0.09966837,-0.014406379,-0.07627647,-0.20680174,-0.16873308
Ppil4,-0.008399308,-0.0010141792,0.041119553,0.19561954,-0.3156066,-0.19872804,0.0006687576,0.04265029,-0.35157704,0.15655522,-0.103060715,0.025310308,-0.014480842,-0.21073018,0.016911922,0.18208182,-0.3291349
Sash1,0.11638087,0.0062674,-0.01924878,0.7092093,0.108187445,0.50850135,-0.5608116,-0.49809286,-0.15829124,0.33429947,0.2108831,-0.19561027,-0.051629376,-0.19804873,-0.3823685,-0.12668881,-0.13580103
Shprh,-0.003791377,-0.0014447034,-0.01862289,-0.044700492,-0.37171614,0.548491,-0.036564704,0.018235708,0.071013995,-0.024217285,0.15431607,-0.030060576,0.019472726,-0.12841547,-0.033451922,0.17961626,-0.17317384
Utrn,0.36066142,0.018449733,-0.4774303,0.3441538,-0.5281413,0.8831267,-0.6307914,-0.24791779,-0.042584613,0.36458218,0.14273821,-0.7216495,0.34097126,0.33513772,-0.08808527,-0.56712973,0.022734279
Phactr2,-0.83460915,-0.025154782,0.29103783,0.42676196,0.028724873,0.87513155,-0.29246828,-0.15658857,-0.17430912,-0.17062744,0.5626857,-0.22152488,-0.17577949,-0.37549856,-0.29824537,0.3495621,-0.14975303
Aig1,-0.19438364,-0.0014478907,-0.014247934,-0.15200807,0.07098728,0.057338733,0.102773584,0.007669896,-0.09890055,-0.046741575,-0.17420973,0.07612095,0.005764751,0.02307404,-0.03649397,-0.19971877,0.15534063
Reps1,0.020514876,-0.0008926382,0.037935015,0.3217372,0.012883861,-0.34014812,0.026676394,-0.07854239,-0.33041516,0.021343116,-0.19486974,0.03981403,-0.123848975,-0.07382332,-0.035900276,0.05872207,-0.06645851
Ccdc28a,0.028677355,-0.0022070264,-0.025093207,-0.10957414,-0.43947926,-0.027000027,-0.009291275,0.0060916315,0.37726185,-0.002154458,0.1329662,-0.06511168,0.00699194,-0.010816765,0.06336688,0.120489694,0.11294382
D10Bwg1379e,-0.17767718,-0.0056809015,0.01976644,-0.48857132,-0.7263077,0.23799479,0.30473834,0.016433759,0.17761812,-0.43971983,-0.2613849,0.09330796,-0.07085739,-0.047599863,-0.024636358,0.12205026,0.3396067
Map3k5,-0.35343686,0.0056775003,-0.10646394,-0.33354655,-0.6435756,-0.4302716,0.64582413,0.13559316,0.36505368,-0.24577953,-0.1419912,0.32149825,-0.046485133,0.12537234,0.07683485,-0.307654,0.02562179
Map7,0.023050595,0.0055806283,-0.07185376,-0.11015673,1.1070555,-0.6225512,-0.24330798,-0.12852958,-0.09929214,0.48046216,-0.3190229,-0.38400143,0.21618992,-0.044996917,-0.06604086,-0.050455652,0.028066993
Pde7b,2.495162,0.17505287,-0.6358477,-0.41379002,-0.5379344,-0.5869266,-1.0102019,-1.0588927,-0.87544775,0.6168775,-0.7843491,-2.0676444,0.83060485,1.0456113,-0.63889223,0.0793796,-0.57007724
Ahi1,0.070743404,0.018702004,0.0662685,-0.2151467,-0.320465,0.31286567,-0.23561308,-0.025580753,-0.08234664,-0.056420144,0.24843019,-0.4444754,0.018824033,-0.047055412,8.8312765e-05,0.2764803,-0.20911817
Hbs1l,-0.21506147,-0.0018491514,0.0027011912,0.07676087,0.07139037,-0.06317107,0.0032151565,0.0055946275,0.080218956,-0.008780789,0.36466244,0.0010591797,-0.026124073,-0.057383157,-0.0039422917,-0.020070264,-0.12580039
Stx7,-0.9390919,0.0039965566,-0.018477771,-0.16001141,0.09152985,0.16938742,0.081587255,0.10744426,-0.1058015,0.00084565615,0.22327971,0.08441384,-0.015664684,-0.41892913,0.046831977,-0.14915106,0.052127272
Ctgf,-1.1433241,-0.0047198893,-0.09924199,0.15395565,-0.11944402,1.1342987,-0.20675899,-0.048926488,-0.0331417,-0.03676379,0.034947377,0.13234735,-0.14883733,-0.12418419,0.059083745,-0.6063556,0.29475537
Akap7,-0.6479323,0.00082770496,0.012029781,-0.18032004,-0.1085674,0.010213526,0.09487931,0.19453926,0.47929823,-0.23389812,0.03064461,0.023420557,-0.33635673,-0.13962747,0.027119333,-0.079451926,0.2839652
Epb4.1l2,-0.27170143,-0.0027596375,-0.64566255,0.26291037,0.5662658,0.81989765,-0.37364703,-0.3212135,0.09498619,0.1517456,0.3080527,-0.8873402,0.33775508,-0.03489593,-0.34435648,-0.5001203,0.39480942
L3mbtl3,-0.9093958,-0.023664266,0.3206308,0.3974,-0.44760868,0.20962255,0.26878652,0.0359599,-0.19531064,-0.1715621,-0.046009574,0.26656532,-0.3801724,-0.3019813,0.048728168,0.084015556,-0.15265656
Arhgap18,0.80935806,0.024436003,0.18815225,0.010255566,0.020389536,-0.570057,0.06374501,-0.44199386,-0.49251655,0.271334,-0.27675965,-0.30971417,-0.18022908,0.07100402,-0.37202272,0.49935034,-0.32521912
Ptprk,-1.6009594,-0.16801614,-0.18726301,-0.02657723,-0.087706976,0.7488228,0.2994489,0.4957123,0.2829366,-0.5069981,0.6706327,0.009413578,-0.44884345,-0.27217427,0.15913782,-0.48353365,0.80273783
Soga3,0.08821775,-0.002324759,-0.015321179,-0.15214553,-0.2781882,-0.34815854,0.04118861,0.1511516,0.24865858,-0.23392288,0.22682597,-0.010465823,-0.028655024,0.07856396,0.17540567,-0.03910285,-0.2841878
