,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Ppp1r14c,-0.69114876,-0.40938896,0.68830156,-0.71264267,0.49532783,-0.31139264,-0.22538885,0.16518192,-0.10350166,0.21554814,-0.5270467,-0.46810418,0.59083426,-0.5746286,-0.19594805,0.26767033,0.4487985,-0.10609482,-0.17328088,0.45059872
Plekhg1,-1.1409498,1.1672363,-1.6076378,-1.1185434,-0.8474993,1.7719716,-0.8384949,0.26002845,-1.334835,-1.1432538,-1.0014474,-0.83387995,-1.1531979,1.662365,-1.1229544,-1.0822664,-1.0973389,0.90123844,-0.43249872,-0.797078
ENSMUSG00000096054,0.58506423,-0.76826555,0.18033637,0.18343256,-0.10785347,-1.1884397,0.3509801,-0.066369206,-0.068373986,-0.33241996,0.16038361,0.12076822,0.26414132,-1.3424693,-0.10399533,0.14699335,-0.9387326,0.1708914,0.16185376,0.24563672
Vip,-0.4472267,0.1811177,1.2052861,-1.1657487,-0.3404844,-0.2336322,-0.9642967,-0.61211324,0.6610089,0.28629836,-0.800744,-0.7183044,-0.3961221,-0.5422611,0.2779178,0.9550431,-0.649152,-0.29344088,-0.33417284,1.1826795
Ipcef1,-0.6313702,-1.0146533,0.42761418,-1.2384772,-1.2831366,-1.1003563,-1.0555671,-0.7730707,1.5102606,0.8586602,-0.66407794,-0.7868783,-1.2035508,-0.90013283,-0.049607918,1.0374365,1.5297742,-1.4415674,-0.733166,-0.16032723
Lrp11,0.33301088,-1.1895945,0.37648326,-0.133231,-0.042433467,-1.1470773,0.011594109,-0.43210965,0.55537254,0.40299284,-0.08082886,0.058254533,-0.817644,-0.91507506,0.42524576,0.6164044,0.34538049,-1.2806402,-0.45843133,0.5198286
Pcmt1,-0.18512367,-0.5617697,0.25701463,-0.049657784,0.36587834,-0.2712479,-0.55939746,-0.03838877,0.21258798,0.20569214,-0.10820687,-0.48516667,-0.10671622,-0.3598508,0.1621801,0.083098784,0.014874337,-0.41596356,-0.17268528,0.14293809
Ppil4,-0.03714145,-0.35139355,0.050716404,0.051696353,-0.084921956,0.07467259,0.044356238,-0.22428215,0.0262021,-0.1405437,0.010583393,-0.08435729,-0.7384578,-0.32128716,0.03093335,-0.0038629302,-0.008934664,0.2741684,-0.0013260684,-0.02231777
Sash1,0.012224804,0.57213014,-0.833067,-1.084496,-0.048243523,0.6254843,-0.5695893,1.0001295,-1.2383776,0.17869788,-0.9357197,0.07608393,0.6880431,0.3005491,-0.3748592,-0.082588404,-0.72966284,1.0265236,-0.7129654,-0.43515408
Shprh,-0.0151850665,-0.18945365,0.04123539,0.13430735,0.060501024,-0.28453788,0.009722133,0.28288862,-0.018527715,-0.22673716,-0.0011141689,-0.030904502,-0.0767125,-0.22165789,-0.0352965,-0.17417613,-0.14392315,0.23835601,-0.015966807,0.016395627
Utrn,0.14474833,0.24641655,-0.75302273,-0.07804736,-0.42559823,-0.7071802,-0.101700954,1.1639122,-0.74915236,0.32204708,-0.21404366,0.19432427,0.3200056,-0.50661016,0.31278944,-0.032253787,-1.1302565,0.97399426,0.085474886,-0.96532696
Phactr2,-1.0263081,-0.20994121,0.5375285,-1.3187395,1.4021037,-0.16469547,-0.94027525,0.97008246,-1.5215633,0.027724368,-0.75590485,-0.47699654,0.8697505,-0.7635998,-0.40449902,0.033680804,-1.1622541,0.7045548,0.018206986,-0.38927683
Aig1,-0.30115452,-0.07481355,0.33650115,0.15114902,-0.41056672,-0.26296437,-0.3516583,-0.30846527,0.659369,-0.31941766,0.14524816,-0.54152524,-0.80297095,-0.29585588,0.50948834,0.033549298,0.65751314,-0.30006757,0.010528653,-0.16497907
Ccdc28a,-0.044807397,-0.07877987,0.30624875,0.37290344,-0.3332552,-0.4124285,-0.28500512,-0.42860755,0.37332794,-0.38733116,0.26790357,-0.20667148,-0.6475869,-0.81203485,0.007502734,-0.067933396,0.014798764,-0.015734699,-0.05433175,0.36629647
Map3k5,-0.17244673,-1.0421611,0.49718174,0.113957,-0.41798064,-1.7902336,-0.12175009,0.39109486,0.91816133,-0.14963141,0.040872097,-0.121110484,-0.38546276,-1.2081605,-0.11589151,0.8545998,0.53328955,0.31869137,-0.42226186,-0.12714072
Map7,-0.12697463,0.57904416,0.22740257,0.08813473,-0.2845799,1.034812,0.092740625,-1.373003,-0.42500287,-0.93078995,0.19506799,-0.75824076,-0.56995946,1.3922045,-0.8308969,0.056029603,-0.7471712,-1.57397,0.00382088,0.016377645
Pde7b,1.444053,-0.85504204,-0.86753285,0.85430586,-1.6866521,-1.0828742,1.1704856,-0.856003,-1.6090006,-1.2311716,0.54532295,1.3966221,-1.1794083,-1.2647005,-1.4019628,-0.10598819,-1.5807018,-0.26933238,0.9332161,-1.4461199
Ahi1,-0.21096832,-0.07367277,-0.24142301,0.043164916,0.6591332,-0.82400346,0.22072786,0.1201527,-0.0867051,-0.2510839,0.25135884,-0.250828,0.81833607,-0.4588014,-0.5240625,-0.82855153,0.032856356,-0.639859,0.3428004,0.1479216
