,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Ppp1r14c,0.51590955,-0.021177975,0.2868849,-0.35339478,-0.7225306,-0.33281526,0.3713503,0.53363526,-0.667626,-1.1698769,0.47792262,-0.35272047,0.3367923,-0.58528787,-0.58943033,-0.8023082,0.43068793,-0.31549156,0.18859924
Plekhg1,-0.69483244,-1.378166,-1.1544448,0.7338181,-2.5640025,1.6391181,-0.81383157,-1.6317273,0.32385218,-0.85811895,-1.0025533,-1.3230174,-0.87215364,-0.98861945,-0.3590221,-0.20959698,-0.7602061,1.7698686,-0.5334455
ENSMUSG00000096054,0.01992968,-0.07516258,-0.43457702,-0.16413489,0.5246949,-1.293561,-0.009529394,0.2650303,0.13537581,-0.33008546,-0.20716535,0.66262776,0.08737725,0.1012579,0.0025627746,0.21410955,0.051666036,-1.1551162,-0.8427838
Vip,0.9956456,1.0133852,-0.35232446,-0.2513029,-2.724164,-0.3237455,0.6677062,1.0330791,-1.4332384,-0.32756305,-0.12198928,-0.21082607,0.4987681,-0.55080914,0.044936713,-0.6323718,-0.6201083,-0.4913999,-0.31328735
Lrp11,-0.13559358,0.32518002,0.18758073,-0.45037308,0.04587488,-1.1593794,0.14798185,0.25490773,-0.2676861,-0.67025286,0.34555978,0.0008230588,0.4427692,0.04552105,-1.1375506,0.008376194,-0.55899024,-0.7557541,-0.599652
Pcmt1,0.04957064,0.37583965,0.20259726,-0.39636248,-0.42176437,-0.4954675,0.074117295,0.10047535,-0.29271722,-0.14424169,0.15403323,-0.0673012,0.24372348,0.32261464,-0.5237622,-0.31121236,0.0355556,-0.6831813,-0.1887299
Ginm1,0.07083961,-1.2200981,-0.0628048,0.7658534,-0.32988775,0.78992945,-0.24210885,-0.33947068,-0.114557005,0.3824697,-0.4784016,-0.62707335,-0.52842915,0.27204585,0.24896845,0.23278302,0.6259401,-0.64293265,-0.69406646
Ppil4,-0.3330677,-0.06462535,0.106904134,-0.8519099,0.016397791,-0.19963364,0.009169578,0.031953383,0.12974913,-0.0012538763,-0.019141791,-0.010199974,0.019740336,-0.007439877,0.16446714,-0.0906994,-0.7162104,-0.7020177,0.13117313
Ust,-1.0129124,-0.22891192,-0.71450394,0.2368997,0.6308923,0.9957719,-0.08911232,-0.08086816,-0.28697938,-0.15475006,-0.5969243,0.8752577,-0.7459008,0.42717835,-0.42781338,-0.34568658,0.06029995,-0.057104558,-0.7447249
Sash1,-0.05384123,-0.0011403877,-0.43254197,1.0390296,-0.7748862,0.52810717,-0.20014553,-1.1244732,0.44429705,-0.1380556,-0.33713633,0.38796777,-1.2263756,-0.109399356,0.6404186,-0.7115712,-0.7584694,0.35903922,1.0114406
Shprh,-0.09877435,-0.4600832,0.009524629,-0.03239331,0.04631546,-0.5111341,0.014502305,0.012792222,0.0121902665,-0.00849692,-0.023700114,0.034584265,0.0006933182,0.024715152,-0.05462022,0.080538034,-0.07621753,-0.23926088,-0.11707619
Utrn,-0.5273466,0.22696765,-0.90210575,1.0721283,0.21868668,-0.55328226,-0.20059009,-0.90460944,0.31450665,0.4427435,-0.687594,0.51027787,-0.22591053,0.18511857,-0.03634996,0.70644337,-1.2928476,-0.917942,0.10404477
Phactr2,0.40407345,0.4367185,-1.5718467,1.3488247,-2.7733712,-0.35045084,-0.6014039,0.6852669,-0.13895488,-0.82629025,-0.10124543,-0.6083616,-0.33481252,-0.77611476,-0.03916641,-0.92256165,1.3040491,-0.71646816,0.91155833
Aig1,-0.41999236,-0.12560207,0.6730774,-0.3860553,-0.08427236,0.043610655,0.19029762,-0.15817732,-0.46734422,-0.07644697,0.103412084,-0.83656913,-0.1290102,0.45749718,-0.22345003,-0.05896744,-0.64540285,0.54365563,-0.032317635
Vta1,-0.6291426,0.0733412,-0.2175786,0.30564496,0.46772334,0.5441289,-0.060482822,-0.05805291,-0.114031956,-0.016746992,-0.04298474,-0.043645073,-0.16665357,-0.06383777,-0.18114261,0.35499814,-0.21161015,0.30487877,-0.057976346
Ifngr1,0.22739422,-1.0764875,-0.13785931,0.31655642,0.5181697,0.45381954,-0.68609273,-1.2833942,0.20548078,-0.34090194,-0.030195976,0.43930417,-1.2236636,-0.17639467,0.07320752,0.82820576,0.09422629,0.3772408,-0.62073404
Map3k5,-0.29049656,0.30576596,0.8040699,-0.4397997,-0.00090666115,-1.3496943,0.22484362,0.33556336,-0.8776896,0.31323487,0.2543271,-0.84217244,0.90007985,0.37548015,-0.96581596,-0.5685193,-0.14214568,-1.0282182,-0.12624739
Map7,-0.871402,-0.3293631,-0.4530952,-1.5224755,-0.025720552,1.095841,-0.19804288,0.16027172,0.37775755,0.3420523,-0.2963071,-0.5244997,0.31873006,-1.1939465,-1.0278448,0.0091203805,-0.42979342,1.4646326,-2.0150907
Pde7b,-1.9190137,-0.79936033,-2.1277885,-1.5670975,2.5053658,-1.5089142,-1.827333,-0.469412,1.1499908,1.0133901,-1.6175517,1.4560632,0.08497448,-1.5243045,-0.13257879,0.8982228,-1.6105434,-1.2378616,-1.3417559
Hbs1l,-1.1071815,-0.319925,0.10554897,-0.73232675,-0.033538878,-0.0065481775,0.029297626,0.19320627,-0.057528123,0.047206566,-0.10449924,0.080716394,-0.005967318,0.07245234,0.029347602,-0.33454156,-0.73631585,-0.7759205,-0.5153586
Stx7,0.4216362,0.11499527,0.3743837,-0.046919074,-1.3966415,0.2443453,0.041574117,-0.05016434,-0.30113938,-0.20037606,0.59330213,-0.3886171,0.0047060605,0.06371991,-1.0955174,-0.8605675,-0.33877814,0.03810552,0.6043958
Ctgf,0.3559154,-1.1640671,1.7886972,1.0072019,-2.1820405,0.031679742,-0.55210364,-1.6055437,-0.37176135,-0.3653356,1.6697595,-0.43879193,-1.5075203,-1.1362498,-1.3559203,0.27047423,-1.7477373,-0.17240593,-0.068407714
