data,ari,mi,nmi,ami,hom,vme,average,moran I,jaccard 1,jaccard 2
Dataset12_Human_Lymph_Node_D1,0,0,0,0,0,0,0,0.5472083043021703,0.13877087513970152,0.29475824228136316
Dataset12_Human_Lymph_Node_D1,0,0,0,0,0,0,0,0.5976640702329556,0.1398830472821021,0.2985221324996989
Dataset12_Human_Lymph_Node_D1,0,0,0,0,0,0,0,0.5651650897327667,0.1411076952339452,0.2996863516414621
Dataset12_Human_Lymph_Node_D1,0,0,0,0,0,0,0,0.6085204565284583,0.13945277154608202,0.28880959302053205
Dataset12_Human_Lymph_Node_D1,0,0,0,0,0,0,0,0.5425974240436371,0.14048804671750087,0.2932830801039933
Dataset12_Human_Lymph_Node_D1,0,0,0,0,0,0,0,0.5339658741996189,0.1384483207213399,0.2899012889874128
Dataset12_Human_Lymph_Node_D1,0,0,0,0,0,0,0,0.5645817695469406,0.1352867907088691,0.288595590384731
Dataset12_Human_Lymph_Node_D1,0,0,0,0,0,0,0,0.5680278398453458,0.1427037595321496,0.2934052585769644
Dataset12_Human_Lymph_Node_D1,0,0,0,0,0,0,0,0.5951207155027791,0.13870691465763071,0.299686662727006
Dataset12_Human_Lymph_Node_D1,0,0,0,0,0,0,0,0.5648925338416202,0.1392449678251167,0.2961698846336578
Dataset5_Mouse_Thymus3,0,0,0,0,0,0,0,0.4767279328581291,0.2211240113175675,0.1374710270909104
Dataset5_Mouse_Thymus3,0,0,0,0,0,0,0,0.5009923395916812,0.23830379776588695,0.1412959323145814
Dataset5_Mouse_Thymus3,0,0,0,0,0,0,0,0.5088987234281069,0.23355478164841303,0.13715674942492198
Dataset5_Mouse_Thymus3,0,0,0,0,0,0,0,0.5372576647307757,0.24495434993385803,0.14136651499777736
Dataset5_Mouse_Thymus3,0,0,0,0,0,0,0,0.4849133725374609,0.24039903078049302,0.14179985327375075
Dataset5_Mouse_Thymus3,0,0,0,0,0,0,0,0.5236710546555516,0.2328521991171372,0.14037709742804616
Dataset5_Mouse_Thymus3,0,0,0,0,0,0,0,0.5142967830872622,0.25569465636692984,0.1459885917690992
Dataset5_Mouse_Thymus3,0,0,0,0,0,0,0,0.46941324352933134,0.22761775034273343,0.1406372776726528
Dataset5_Mouse_Thymus3,0,0,0,0,0,0,0,0.48491744495736444,0.24619542940564335,0.14174186505314867
Dataset5_Mouse_Thymus3,0,0,0,0,0,0,0,0.5066769597451339,0.2254457659511352,0.13906736445392803
Dataset6_Mouse_Thymus4,0,0,0,0,0,0,0,0.49832998843351733,0.2344218331596514,0.1374521487471928
Dataset6_Mouse_Thymus4,0,0,0,0,0,0,0,0.5075759252370418,0.24184082606063873,0.13856479319091514
Dataset6_Mouse_Thymus4,0,0,0,0,0,0,0,0.5324693417126305,0.25173768005460645,0.14096078636690082
Dataset6_Mouse_Thymus4,0,0,0,0,0,0,0,0.5442077202531027,0.2401796714529602,0.13795716491061769
Dataset6_Mouse_Thymus4,0,0,0,0,0,0,0,0.5355820078196291,0.2399735221616154,0.13743855205228078
Dataset6_Mouse_Thymus4,0,0,0,0,0,0,0,0.5187416576246772,0.2391109580247623,0.13192126726131365
Dataset6_Mouse_Thymus4,0,0,0,0,0,0,0,0.5318489633002763,0.23793240241456254,0.1350688286281149
Dataset6_Mouse_Thymus4,0,0,0,0,0,0,0,0.5331719037882362,0.24762809439669264,0.14383779142542288
Dataset6_Mouse_Thymus4,0,0,0,0,0,0,0,0.49516101115985334,0.236135626126725,0.13445663139818048
Dataset6_Mouse_Thymus4,0,0,0,0,0,0,0,0.48897102094373873,0.2607291649372587,0.13899882537739197
