method,dataset,metrics,score
spamv,Dataset12_Human_Lymph_Node_D1,moranI,0.3364479462891286
spamv,Dataset12_Human_Lymph_Node_D1,jaccard_RNA,0.07778884603471631
spamv,Dataset12_Human_Lymph_Node_D1,jaccard_Protein,0.0868573691783922
spamv_scaled,Dataset12_Human_Lymph_Node_D1,moranI,0.3310467720600181
spamv_scaled,Dataset12_Human_Lymph_Node_D1,jaccard_RNA,0.07724181450123287
spamv,Dataset12_Human_Lymph_Node_D1,jaccard_Protein,0.08038306615908238
spamv,Dataset5_Mouse_Thymus3,moranI,0.30927995154920057
spamv,Dataset5_Mouse_Thymus3,jaccard_Protein,0.04838938829229117
spamv,Dataset5_Mouse_Thymus3,jaccard_RNA,0.04625528338420019
spamv_scaled,Dataset5_Mouse_Thymus3,moranI,0.30057617056227576
spamv_scaled,Dataset5_Mouse_Thymus3,jaccard_Protein,0.049479315296144556
spamv,Dataset5_Mouse_Thymus3,jaccard_RNA,0.041294041039298825
spamv,Dataset6_Mouse_Thymus4,moranI,0.3071288266075359
spamv,Dataset6_Mouse_Thymus4,jaccard_Protein,0.05835668668718655
spamv,Dataset6_Mouse_Thymus4,jaccard_RNA,0.058770838277481745
spamv_scaled,Dataset6_Mouse_Thymus4,moranI,0.28155254272148267
spamv_scaled,Dataset6_Mouse_Thymus4,jaccard_Protein,0.057023823424469954
spamv,Dataset6_Mouse_Thymus4,jaccard_RNA,0.057943922141374116
spamv,Dataset8_Mouse_Brain_H3K4me3,moranI,0.2186028731857333
spamv,Dataset8_Mouse_Brain_H3K4me3,jaccard_RNA,0.06128790826608044
spamv,Dataset8_Mouse_Brain_H3K4me3,jaccard_ATAC,0.013073713310404645
spamv_scaled,Dataset8_Mouse_Brain_H3K4me3,moranI,0.22167870457090635
spamv_scaled,Dataset8_Mouse_Brain_H3K4me3,jaccard_RNA,0.05350813515182638
spamv,Dataset8_Mouse_Brain_H3K4me3,jaccard_ATAC,0.011669586604957895
spamv,Dataset10_Mouse_Brain_H3K27me3,moranI,0.2874101637507175
spamv,Dataset10_Mouse_Brain_H3K27me3,jaccard_ATAC,0.013571681230428411
spamv,Dataset10_Mouse_Brain_H3K27me3,jaccard_RNA,0.06912505246985806
spamv_scaled,Dataset10_Mouse_Brain_H3K27me3,moranI,0.29265380176260775
spamv_scaled,Dataset10_Mouse_Brain_H3K27me3,jaccard_ATAC,0.01246381999408174
spamv,Dataset10_Mouse_Brain_H3K27me3,jaccard_RNA,0.06473327701534723
spamv,Dataset1_Mouse_Spleen1,moranI,0.3743750950089531
spamv,Dataset1_Mouse_Spleen1,jaccard_Protein,0.09439975073927445
spamv,Dataset1_Mouse_Spleen1,jaccard_RNA,0.03837463029366411
spamv_scaled,Dataset1_Mouse_Spleen1,moranI,0.34278646603054175
spamv_scaled,Dataset1_Mouse_Spleen1,jaccard_Protein,0.09115825968644035
spamv,Dataset1_Mouse_Spleen1,jaccard_RNA,0.037562228778327406
spamv,Dataset3_Mouse_Thymus1,moranI,0.333512666043263
spamv,Dataset3_Mouse_Thymus1,jaccard_Protein,0.08092610498362311
spamv,Dataset3_Mouse_Thymus1,jaccard_RNA,0.0606402617048821
spamv_scaled,Dataset3_Mouse_Thymus1,moranI,0.3013517526146624
spamv_scaled,Dataset3_Mouse_Thymus1,jaccard_Protein,0.0811131133141812
spamv,Dataset3_Mouse_Thymus1,jaccard_RNA,0.055566120315457046
spamv,Dataset7_Mouse_Brain_ATAC,moranI,0.18900440474308497
spamv,Dataset7_Mouse_Brain_ATAC,jaccard_ATAC,0.016093491814266198
spamv,Dataset7_Mouse_Brain_ATAC,jaccard_RNA,0.03001276295611993
spamv_scaled,Dataset7_Mouse_Brain_ATAC,moranI,0.17152730359997867
spamv_scaled,Dataset7_Mouse_Brain_ATAC,jaccard_ATAC,0.013380426504552541
spamv,Dataset7_Mouse_Brain_ATAC,jaccard_RNA,0.02679189010527479
spamv,Dataset11_Human_Lymph_Node_A1,ari,0.18520586047765403
spamv,Dataset11_Human_Lymph_Node_A1,mi,0.641099268701731
spamv,Dataset11_Human_Lymph_Node_A1,nmi,0.3254614547102913
spamv,Dataset11_Human_Lymph_Node_A1,ami,0.31987383802824965
spamv,Dataset11_Human_Lymph_Node_A1,hom,0.38002826017138386
spamv,Dataset11_Human_Lymph_Node_A1,vme,0.32546145471029125
spamv,Dataset11_Human_Lymph_Node_A1,average,0.3628550227999336
spamv,Dataset11_Human_Lymph_Node_A1,moranI,0.3636531796990915
spamv,Dataset11_Human_Lymph_Node_A1,jaccard_RNA,0.0814583327657011
spamv,Dataset11_Human_Lymph_Node_A1,jaccard_Protein,0.10456845138715998
spamv_scaled,Dataset11_Human_Lymph_Node_A1,ari,0.17677529076802284
spamv_scaled,Dataset11_Human_Lymph_Node_A1,mi,0.4460893190793634
spamv_scaled,Dataset11_Human_Lymph_Node_A1,nmi,0.2915712488931831
spamv_scaled,Dataset11_Human_Lymph_Node_A1,ami,0.28377544854806364
spamv_scaled,Dataset11_Human_Lymph_Node_A1,hom,0.2644310422535194
spamv_scaled,Dataset11_Human_Lymph_Node_A1,vme,0.29157124889318314
spamv_scaled,Dataset11_Human_Lymph_Node_A1,average,0.2923689330725559
spamv_scaled,Dataset11_Human_Lymph_Node_A1,moranI,0.3024480394527488
spamv_scaled,Dataset11_Human_Lymph_Node_A1,jaccard_RNA,0.0797670406629278
spamv,Dataset11_Human_Lymph_Node_A1,jaccard_Protein,0.11669465105273501
spamv,Dataset9_Mouse_Brain_H3K27ac,moranI,0.24411915038833595
spamv,Dataset9_Mouse_Brain_H3K27ac,jaccard_ATAC,0.008009463515131598
