,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 6,ATAC private topic 7,ATAC private topic 9
chr1-3670549-3671127,-0.013312175,0.11028951,0.2229553,-0.8204872,0.3133971,-0.60289735,0.040333845,0.0026709873,-0.5272114,0.04590367,-0.019013558,-0.002305195,0.019726511,0.016795494,0.042974588
chr1-4785238-4786165,-0.00056143804,-0.10422442,0.0026997973,-0.039711356,-0.0792909,0.0018438238,0.007350617,0.014361635,-0.1455924,-0.00625163,-0.008976527,-0.006057471,0.0017775225,-0.006112299,0.11079736
chr1-4807393-4808287,-0.06167101,0.28610817,-0.03289875,0.2521296,0.016747124,0.39404887,0.010265044,-0.017202219,-0.4810275,-0.024692647,0.034999732,0.3313083,-0.13392006,-0.113139026,0.046149503
chr1-5082765-5083688,-0.0011624646,0.048121054,-0.00015533854,0.07933011,0.3042011,-0.13724606,0.0009518823,0.00052355835,-0.014268526,0.004102916,-0.2641262,0.01758951,-0.01331287,-0.016757028,0.033770323
chr1-7397642-7398498,-0.0047929683,-0.21055907,-0.0072652707,-0.04923076,0.7150617,-0.035926946,-0.00437183,0.0035906383,-0.014962547,-0.008908418,-0.22887173,-0.19971083,0.11943038,-0.054394837,0.101818435
chr1-9299334-9300126,-0.10007015,-0.04560437,0.0065131024,-1.060032,1.1411741,-0.75782233,-0.013680919,0.34629488,0.15968132,-0.0028971098,-0.12273289,-0.19773066,0.10296856,0.1141601,-0.3109205
chr1-9544984-9545778,0.0051538115,0.04270656,-0.00020339375,-0.23213787,-0.3360713,0.16909257,-0.00037700092,0.0007532704,-0.027961021,0.0009283177,0.04285968,0.017515888,-0.0044167987,-0.012526918,-0.0019251675
chr1-9747989-9748772,0.0041153748,0.22508028,-0.40077466,0.15404376,-0.01042559,0.07734886,0.0011077425,-2.2822962e-05,-0.0061510243,-0.013740483,0.0051184883,0.010632314,-0.019983402,-0.06559478,0.040143386
chr1-9943668-9944558,0.009186539,-0.67560136,-0.02446205,0.11804533,0.78917336,-0.021418717,-0.014380934,0.013723637,-0.20904315,0.009843291,-0.14932695,0.21434933,0.05391764,-0.08001418,-0.04302043
chr1-10037597-10038480,-0.048130065,0.17841943,0.038462184,0.31480137,0.107996784,0.42598885,-0.14195262,-0.28962344,0.034357373,-0.009987949,-0.058221895,-0.73526734,0.04575727,0.045385484,0.089982316
chr1-10232633-10233357,0.0054285,0.0016467541,-0.008192128,0.09451581,-0.28245074,0.12369427,-0.004360559,0.0014671533,0.02422575,-7.0989714e-05,0.19127758,-0.15751016,-0.0066493987,-0.014541489,0.07062009
chr1-10993120-10993963,0.016745813,0.05929123,-0.023510754,0.82275546,-0.24677554,0.0037540398,-0.12676121,-0.098434374,-0.052940913,-0.024051255,0.35185033,-0.06301299,0.0581833,-0.044775985,0.13672589
chr1-12992149-12992896,-0.0055870507,0.010894299,-0.028829489,-0.0888046,0.7815113,-0.037414026,-0.0020564438,0.006047989,-0.013593795,-0.005907596,-0.17223553,0.031707343,0.037281573,-0.028470252,0.0021405206
chr1-13589188-13590132,-0.025348237,0.43117243,0.018745309,0.24973364,-0.807371,0.2676471,-0.010194777,0.015991468,-0.30072096,-0.003078731,0.035810858,-0.06334891,-0.043373846,-0.036973815,0.15517469
chr1-16656499-16657438,0.0029369292,-0.024319232,-0.0011238477,0.27421385,-0.09062737,-0.0806877,-0.0021417076,-0.015856477,-0.028073069,0.0011201687,-0.08123149,0.0038809634,-0.0056076506,-0.0011492075,0.05072331
chr1-17097385-17098240,0.0042380216,0.1703715,0.04346597,-0.8248327,0.2030122,-0.09677743,0.050515547,0.055980206,-0.26303005,0.005509294,-0.25329086,-0.19036567,0.083478145,0.025515897,-0.08945961
chr1-21218278-21219172,-0.0057267286,-0.045621302,0.011865815,-0.21881711,-0.061433673,-0.07624237,0.00024208635,0.034118075,0.06899921,0.0013280159,-0.15311651,-0.031546205,-0.0013506153,0.023055326,-0.03572144
chr1-23382813-23383657,0.0012655146,0.037101798,-0.0040223277,0.08639414,-0.013201576,0.34803313,-0.012232434,-0.016191024,-0.0033787275,-0.001821942,-0.076641575,-0.053081393,-0.00085886905,-0.015142958,0.08798747
chr1-23762607-23763433,0.009067035,-0.47888047,-0.010839279,-0.3892744,0.39849478,-0.14225356,-0.003908541,0.03658513,-0.008116338,-0.003943464,0.026069745,0.08193081,0.040915623,-0.028876157,0.03302186
chr1-24005162-24006042,-0.001192282,-0.0912702,0.0046257493,-0.27868292,0.28817004,0.24498454,0.001479383,-0.03352314,0.010039781,-0.00059177185,-0.17856175,-0.14944276,0.013744212,-0.0063411063,0.00921314
chr1-24099861-24100722,0.005550149,0.19665018,0.004248619,-0.008413937,-0.19350837,-0.18179825,-0.0032355392,0.005138441,-0.021516345,-0.0019625379,-0.1034027,0.0003172004,0.019535296,0.0003976413,0.0002237061
chr1-24612392-24613261,0.6498819,0.8999293,-0.33012122,0.22401752,-0.74177706,-0.42520455,-0.14333495,-0.30438694,-0.18698566,-2.3092775,0.709001,-0.0054475227,-0.4327959,-0.25441816,1.2686409
chr1-24678235-24679114,-0.0022956845,-0.0042474605,0.002342611,0.19096866,0.20430195,0.08369338,-0.0009899457,-0.004242694,0.016502874,-0.0036936179,-0.46669766,0.10607456,-0.0058529605,-0.008711754,-0.014752504
chr1-25228406-25229303,-0.043769047,-0.109934896,0.028746987,-1.0440086,0.93398213,-0.9527973,0.06282207,0.24398246,-0.013828641,0.03408976,-0.34591112,0.1319327,0.090206005,-0.077377066,0.057663873
chr1-33907375-33908281,-0.00082568056,0.1191306,0.006881522,-0.56097925,-0.1333452,0.006087447,0.014352196,0.044209596,-0.08143222,0.009430305,-0.24043751,-0.22888564,-0.0056602024,-0.023750689,-0.00911895
chr1-34439170-34440093,0.02152454,0.010414732,-0.020534772,0.46916506,-0.26212883,-0.38794222,-0.0038472477,-0.025510432,0.0445398,-0.009221734,0.048535008,0.2972313,-0.0009629903,-0.018299885,-0.010296066
chr1-34579324-34580212,-0.004069331,0.5337149,0.0029675723,-0.8162578,0.4776378,-0.77411556,-0.012570991,0.09060505,0.13051121,-0.011565071,-0.61009985,0.07566566,0.30807653,-0.0028244366,0.052275833
chr1-34801537-34802032,-0.006679258,-0.24801083,0.09117407,-0.38493848,0.33621317,-0.88806605,0.051603664,0.074161515,0.13415319,-0.01650233,-0.21177955,0.06237014,0.15005791,-0.14833264,0.10470033
chr1-34802133-34802586,0.06540846,0.2443849,0.36587644,-0.51679873,0.18509856,-1.2206755,0.16852629,0.44944745,-0.31775996,0.14957902,-0.69380814,0.0060863537,0.262696,-0.14522012,-0.26894298
chr1-34842542-34843475,-0.0003884825,-0.19057092,-0.004049724,0.15952472,0.039672807,0.2243659,0.0007485667,0.0073268306,-0.0052423486,-0.0064070886,0.039899595,-0.031795043,0.015918465,-0.0037776497,-0.0072764405
chr1-36471113-36471953,-0.00014956063,-0.3964138,0.0038186582,0.38627043,-0.018995225,0.33604494,-0.0040421607,-0.03479936,-0.4834421,-0.011756898,0.10767875,0.20448221,0.0026389817,-0.031576797,0.086713746
chr1-36546850-36547716,0.014252591,-0.4705684,-0.006558202,0.29815465,-1.0228281,0.36651006,0.056419227,0.050035525,-0.26012424,0.016692106,-0.11620795,-0.15915331,-0.05860402,-0.06101368,0.045651823
chr1-36939302-36940211,0.004379919,-0.25655574,-0.006062939,0.23908514,-0.1708613,0.42806342,-0.0038279064,-0.032575484,0.16293122,0.0018013718,0.15505627,-0.31818685,-0.028531004,-0.058062725,-0.051215466
chr1-37429599-37430475,0.0016590464,0.001249624,-5.3674835e-06,0.085508704,-0.12142907,-0.15363751,0.00026945808,0.013375826,-0.058504656,-0.0052784607,0.02863164,0.0058251363,0.020597704,0.0031141888,0.020960215
chr1-37677984-37678830,-0.051612865,-0.11593626,0.35594848,-1.0123149,0.5572941,-0.94466,0.1237023,0.5671875,0.14431173,-0.022478728,-0.35961252,-0.17970611,0.34781408,0.05537959,-0.36078927
chr1-37719412-37720287,-0.07735646,-0.17104962,0.08631444,-0.66687286,1.0933349,-0.9725935,-0.024617907,0.2862138,0.07720536,0.03534057,-0.6538099,-0.246839,0.29930982,0.14957817,-0.09469158
chr1-37725674-37726479,-0.08236218,-0.46470353,0.2672751,-0.8675271,1.0384967,-0.9202186,-0.031098546,0.28840187,0.43549648,-0.049032673,-0.5593709,-0.19777453,0.3899218,-0.03613686,-0.084434345
chr1-37864591-37865538,0.0016183066,0.24226357,0.003158575,0.024560139,-0.1466942,-0.1589883,0.0008740559,0.0049739517,-0.0078878,-0.00371976,-0.14269818,0.24297732,0.014993314,-0.069187954,-0.14590886
chr1-37996693-37997549,0.012627501,-0.33964598,-0.009179472,0.110372484,-0.26466405,0.28243807,-0.0066409153,-0.013467981,0.14300847,0.0008911625,0.14783525,-1.608558e-05,-0.00042523743,0.008264406,0.00608403
chr1-38987272-38988180,0.0033995123,0.07599527,-0.0009245869,-0.17112944,0.17885438,-0.09446112,0.0014599932,-0.009421212,0.06556393,0.00223408,-0.12465938,-0.05025923,-0.023171958,-0.018797204,-0.033342805
chr1-39478271-39479094,-0.023211362,-0.398419,0.00095496105,0.19849075,0.5489878,-0.25839907,-0.02273935,-0.000649508,0.2472458,0.00041432702,0.045023948,-0.08684818,0.07272708,0.059961196,-0.041970268
chr1-39535442-39536272,-0.007868322,0.16455859,-0.0038211537,0.17900902,-0.16245705,0.3682668,-0.0033155072,-0.010868312,-0.06018199,0.010658077,0.07857796,-0.27280244,-0.0020632327,0.012581376,-0.038160376
