,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 6,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9
chr1-4491817-4492555,-0.1302111,0.08528006,-0.08714499,-0.22384775,0.19021507,0.2504573,0.22662178,0.1641599,-0.08493681,-0.011848167,-0.042486023,-0.048186596,-0.43873173,-0.06099194,-0.029031739,-0.102502815,0.24571705,0.00084032165
chr1-4492801-4493556,-0.104531094,0.18898271,0.07097304,-0.2521379,0.20599362,0.0113935415,-0.00795393,0.19377235,-0.028510792,0.001663162,-0.3166779,0.24260347,0.040273253,0.034622256,-0.24616887,-0.11711306,0.08060625,-0.02825814
chr1-4496301-4497198,-0.08337382,0.046312585,-0.0010610447,-0.095517114,0.22540402,0.25085637,-0.056876715,-0.31794688,-0.024136303,-0.08791505,0.024369592,-0.1756949,0.07258989,0.055398084,-0.21334974,0.06194532,-0.115084246,0.021897076
chr1-6358810-6359728,-0.20617928,0.104971536,0.122168064,-0.24172938,-0.46940288,-0.081633985,0.24075195,0.014999884,0.18272671,-0.020794982,0.037630457,0.13966237,-0.18069336,0.22383033,0.3597934,-0.040959384,-0.17968404,0.00815275
chr1-9967755-9968311,-0.26600772,0.056938805,0.017737688,-0.33454043,0.24983048,0.11007794,0.02711422,-0.45621696,0.3836716,0.025498295,0.010469303,-0.059315484,-0.29909328,0.027288314,-0.018838933,-0.03172397,0.3488868,0.007689733
chr1-14755185-14756069,-0.23013987,-0.38942376,0.3891275,-0.669503,0.16364911,0.1323143,0.18678063,0.3428912,-0.24774474,0.029696263,-0.16961788,-0.2887356,0.22954294,0.09328028,-0.24736993,-0.08744882,0.39860892,-0.0026026308
chr1-15892078-15893028,-0.15016256,-0.09000871,0.0067285476,-0.09864511,-0.16584611,-0.05882793,0.14100504,-0.072173074,0.15683036,-0.010039043,0.15340625,-0.024419561,0.110356525,0.019810403,-0.29222628,-0.04970289,0.3856509,-0.006371449
chr1-19209876-19210780,-0.100173205,0.15219916,0.01130241,-0.2548648,0.25114226,0.12249846,0.077493936,-0.12988679,-0.0510814,-0.03609604,-0.22433873,0.08369038,-0.08406405,0.021913467,0.1616421,-0.123904966,-0.11442686,0.0112663675
chr1-19230831-19231660,0.07298961,-0.02705814,0.12749977,-0.07030355,-0.0514248,-0.068842925,0.111421496,-0.10708909,-0.13502699,0.02032466,-0.108427726,0.002967236,0.054489393,0.032220803,0.06894108,0.027648697,-0.39519182,0.0049713654
chr1-23762544-23763392,-0.057942644,-0.6745598,0.3638265,-0.2801657,-0.028091345,0.28992814,-0.46824875,0.20210898,0.352421,-0.063660905,0.13709679,0.36196202,0.04068346,-0.010712324,0.030724702,-0.34769657,0.11833789,-0.011470333
chr1-24587057-24587640,-0.121529914,0.3551037,0.29572916,-1.0332386,0.57148427,0.47910613,-0.3649702,-0.37861118,-0.19392426,-0.1528797,0.15932946,-0.031177541,-0.29160482,0.10400916,-0.03750715,-0.24503069,-0.027804479,0.09113901
chr1-24612397-24613290,-0.5582652,-0.109327815,-0.21581861,0.33386075,-0.74498403,-0.6617265,0.16781306,0.66707605,0.4521476,-0.0802232,0.28857496,0.113109834,0.01798988,0.14223988,-0.35102907,0.2576778,0.032321475,-0.015720483
chr1-34459318-34460210,-0.16004497,0.10939294,-0.02917435,0.092801735,0.01979562,-0.23346487,0.20690468,-0.020817522,-0.03815132,0.10181326,-0.35204682,0.16250576,-0.09020836,0.02228657,-0.35264233,0.06526317,-0.22258283,-0.005023881
chr1-34471274-34472139,-0.16788109,-0.16125157,0.07394456,0.18870538,-0.19465226,-0.118340775,0.42489243,-0.07794963,0.10204539,0.012294254,-0.10375087,0.1426952,-0.049760055,-0.16121918,0.04349925,0.05142975,-0.45061803,-0.0016869901
chr1-34536824-34537570,-0.1524145,-0.081524,0.13068497,-0.110577576,0.04436019,-0.1870381,0.19826306,0.031977475,0.13779268,0.011140421,0.0821892,0.1215227,0.015496557,-0.028472383,-0.0018511885,-0.10979142,-0.105998695,-0.018035522
chr1-34579255-34580177,-0.36927608,-0.068348445,0.34838176,-0.64321804,0.42621413,0.277972,-0.45027238,-0.23046167,0.6263206,-0.16681023,0.036527757,0.17571862,0.020908471,0.22216322,-0.110777244,-0.48443037,0.07122333,-0.047896143
chr1-50927083-50927873,-0.4519314,0.075652055,-0.09030953,-0.6332519,0.97829306,-0.15529074,-0.1579087,-0.26396543,0.12540053,-0.0025199137,-0.039066724,-0.20828831,0.13868839,-0.035218123,-0.053613435,-0.0580253,-0.22955498,0.012756506
chr1-52008076-52008941,0.22218864,-0.027583033,0.24325123,0.063408576,-0.30620557,-0.011253613,0.196892,-0.24535543,-0.38910437,0.0006265716,0.03465924,0.1594865,0.030645067,0.09554394,-0.07357778,-0.20510398,-0.21075825,0.00030637626
chr1-56969234-56970168,-0.7619364,0.3797793,0.1516224,-1.1594951,0.6218672,0.10079461,0.45420313,-0.018035058,-0.15798597,0.0043519414,-0.1977374,-0.25692034,-0.2658373,-0.001184094,-0.18414943,-0.3129059,0.24181017,0.1078634
chr1-56977882-56978438,-0.11896029,0.12012454,0.19628844,-0.7963736,0.3536762,0.25087202,0.2536457,0.18864399,-0.43407708,0.14986977,-0.20480819,-0.041033324,-0.35024396,-0.268173,-0.07144778,-0.23703405,-0.100837015,0.13868779
chr1-58795135-58796066,0.20569538,0.022057468,-0.44437185,0.600628,-0.764802,-0.6547517,0.6081481,-0.03300586,0.16810763,-0.010218747,-0.1272215,0.17775221,0.031561196,-0.116122544,-0.09882894,0.0087422095,0.23837654,-0.03522763
chr1-59481692-59482501,0.19000839,0.19583003,-0.09818197,0.22343378,-0.31290075,0.06485927,-0.11014022,0.00102468,-0.39645675,-0.14015324,-0.122921005,-0.028504595,0.22459498,0.0668635,0.05975594,-0.026041547,-0.07083543,0.0070060967
chr1-62702802-62703741,-0.02851301,-0.4019487,0.00096092274,-0.5958324,0.22359002,0.16036414,0.4740028,0.31452754,-0.06581528,0.019066779,-0.06581224,-0.12474878,-0.42990053,-0.09499656,0.14047197,0.3378731,-0.43569282,0.007595524
chr1-63247985-63248830,0.19949219,-0.17579038,-0.21707399,-0.18818805,0.19597416,0.24222974,-0.06848947,-0.29614592,0.13469616,0.078918196,-0.19673516,0.06304457,-0.2946676,-0.011314743,0.115685806,-0.18824098,0.46622956,0.0040205996
chr1-63251062-63252001,0.21768728,0.040047765,-0.24461217,-0.17111082,0.36631343,0.275411,0.021151913,-0.46359456,0.005810275,-0.17272794,-0.17130476,0.15852937,-0.023479315,0.09162383,0.03583679,-0.26320088,-0.25363708,0.016444912
chr1-63263287-63264199,0.056856025,-0.21240512,0.042740032,0.15552026,0.04359203,0.0035984798,0.02011814,-0.16523728,-0.15195395,-0.008376245,-0.07280294,0.013949522,-0.026700094,-0.0013717007,0.07708346,-0.037795626,-0.058608875,-0.003288151
chr1-63273156-63273980,-0.12707618,-0.02201058,0.27950922,-0.19509684,0.09815567,-0.03071377,-0.29958093,-0.15681055,0.21127772,0.065163985,0.26212552,-0.15471631,-0.43561745,0.3380975,-0.27229708,0.010127106,0.27882084,-0.013107751
chr1-65311041-65311924,-0.7967564,0.13833225,0.08838613,-0.5465198,0.24487664,-0.0039249714,0.19258466,0.5668733,0.14129592,-0.44747767,0.049271766,-0.066127956,0.14725354,-0.10101335,-0.049599264,0.04373311,-0.049135204,0.025095232
chr1-71652704-71653494,0.07660999,0.1880782,-0.083903395,0.41117728,-0.28595394,-0.2611201,0.14585128,-0.36827958,0.16751647,-0.03766512,-0.08413645,0.16886881,-0.045198325,-0.0153067615,0.0042262864,0.0644903,-0.42057687,-0.0008688129
chr1-74036558-74037458,-0.0077831997,-0.088832125,-0.17270823,0.5265517,-0.36129588,-0.14526072,-0.098073944,-0.19394629,0.29015562,0.16888894,0.17816989,-0.1040452,0.17772137,-0.075768545,-0.3705469,-0.107532345,0.18363857,-0.020474032
chr1-74098204-74099142,0.27333793,0.24493231,-0.17276268,0.29698128,-0.37080845,-0.43343708,-0.063218616,-0.03925939,0.12803863,-0.3464315,0.12194085,0.09455313,0.19902645,-0.0051107234,-0.28091073,0.0114561375,0.03814109,0.005282935
chr1-74124828-74125576,0.24841125,-0.21785553,0.1702677,0.40639898,-0.43885812,-0.30123582,0.25103438,0.30671087,-0.29208973,0.035255726,-0.34280452,0.18158068,-0.14207296,-0.011293882,-0.032766916,0.09666046,-0.50201523,-0.033013694
chr1-74713247-74714040,-0.2791248,0.050936498,-0.32438466,0.3914435,0.04994693,-0.333869,0.3803244,0.24847433,-0.315978,-0.0454085,0.059614938,0.07626128,-0.3407389,-0.117025,-0.1481296,0.22729841,0.10167767,-0.0047404384
chr1-74748514-74749379,-0.0011504936,-0.09451435,-0.13801864,-0.28331554,0.33041555,0.039953433,0.20338054,0.11551698,0.057567917,-0.10871939,-0.1038991,0.08977142,-0.27316323,0.32631132,-0.25638142,-0.036723062,-0.33589968,0.023117855
chr1-74772842-74773677,-0.0136025,0.16815135,0.14346501,-0.2388354,0.24976164,0.024162939,-0.30113852,-0.31523347,0.23001069,-0.073309,0.101202905,0.029182833,-0.36437446,-0.08392675,0.46532422,-0.17536299,0.60592127,-0.02749917
chr1-74783997-74784853,-0.10114989,-0.024896704,0.3390581,-0.32805768,0.14414212,0.10769767,-0.15354139,0.04188436,0.032451328,-0.009313756,0.13883732,-0.10972528,0.15092622,0.1206736,-0.117096126,-0.012625899,-0.15502155,-0.011956922
chr1-74802927-74803742,-0.50830704,0.0712731,0.41944045,-0.85425043,0.5089085,0.5348522,-0.34383002,-0.16350166,0.07682183,0.09166828,-0.3108676,-0.48069835,0.018939504,-0.08328585,-0.12130283,0.08282903,0.11714913,0.046905883
chr1-74807840-74808652,-0.34401926,0.060184732,0.44813663,-0.8234609,0.4546178,0.4194147,-0.6173329,0.059359726,0.10209822,-0.13783851,-0.090642124,-0.23857592,0.002742201,-0.11119762,0.20549083,-0.2158028,0.552327,-0.020702109
chr1-74854430-74855330,-0.45098674,-0.16046652,0.22010478,-0.4177298,0.66078126,0.39670622,-0.42813852,-0.26006794,0.20052932,-0.058925904,-0.06540186,-0.41331714,-0.30544233,0.07211867,0.2861455,-0.008209778,0.23106875,-0.0028286292
chr1-74900319-74901117,0.15016355,0.30718103,-0.06593246,-0.047185116,0.16832827,0.2488979,-0.105830885,-0.44054887,-0.057604324,-0.21181467,-0.41776574,0.057449482,-0.05657942,0.29998416,0.0062863505,-0.09400627,-0.5143044,-0.0020646714
chr1-74947736-74948444,-0.07877049,0.058759924,-0.30753458,0.2461689,0.0051770913,-0.006050169,0.057531234,-0.008184344,0.10157355,0.0155119505,-0.40388665,0.20720065,0.0010390239,-0.06402168,0.071743004,0.051570885,-0.13049798,0.0081133405
chr1-74953551-74954476,-0.23971337,0.09472129,-0.25491485,0.20376018,0.115707524,0.064545244,-0.14512782,0.22925763,0.0495148,-0.08535285,-0.38432425,-0.047605205,0.022349427,0.1120519,0.09820967,-0.1290559,-0.4888264,0.02504779
chr1-75317271-75318168,-0.3078718,-0.093411915,0.15508172,-0.32697996,0.42850208,0.34969488,-0.2800261,0.04782084,0.11492075,-0.08261387,0.14901775,-0.36041015,-0.16065677,-0.14209335,0.16426036,-0.14776602,0.58166736,-0.02211712
chr1-78189387-78190230,-0.24055302,0.19262584,0.04789967,-0.43453577,0.17755714,0.14665511,-0.24503551,-0.22328986,0.49840245,0.024676615,-0.24877784,-0.09563422,-0.14263733,0.07149237,-0.040232144,-0.06755553,0.16283053,0.0152212735
chr1-78192128-78193021,-0.27736825,-0.09627785,-0.39060503,0.11927201,0.35816965,-0.047095813,-0.023341594,0.108849995,-0.010669893,-0.07640285,-0.33064604,0.12943886,-0.06252322,0.3338561,-0.12860799,0.08343443,-0.0070091872,-0.011287739
chr1-78196641-78197491,-0.08577392,0.1712647,0.16151406,-0.45681366,0.20706536,0.1345564,-0.21913904,0.18313073,0.060314804,-0.030296912,-0.1459332,-0.18077546,0.06508832,0.09333755,-0.25120276,-0.15897758,-0.23472281,0.033384535
chr1-78212483-78213183,-0.23053958,0.38790134,0.07356191,0.076695204,0.06424145,0.19803426,0.063697465,-0.124581106,-0.3012698,-0.08655754,-0.2763507,0.0067361696,-0.0819529,0.038795423,0.055144496,-0.09664627,-0.57862186,0.058040563
chr1-78215706-78216548,0.033272427,0.36264938,-0.2299981,-0.039686974,0.30701104,0.35246328,-0.08786695,-0.4983688,0.0744793,-0.2036609,0.5577201,-0.2981952,-0.15542316,-0.058400773,-0.122148246,-0.13834189,0.055250727,-0.034234107
chr1-78310659-78311347,0.017188033,0.029824363,0.05681869,-0.34447736,0.4470529,0.06013485,-0.15848814,-0.13648011,-0.09600344,0.14049867,-0.10220609,0.10954611,-0.09141365,0.0087262,-0.040933974,-0.06824858,-0.29157618,0.00968935
chr1-78511478-78512308,0.21629162,-0.45606914,-0.2678491,0.30192626,0.40219104,-0.30640122,0.11070016,0.15982069,-0.16431338,0.1816124,-0.08791687,-0.0547202,-0.485601,-0.25861025,0.25895464,-0.09366216,-0.010862537,0.021406779
chr1-79671468-79672335,0.23071164,0.29915336,-0.1294281,-0.40924484,0.30559927,-0.18483907,-0.0653218,-0.032155197,-0.24423307,-0.09686379,0.473832,-0.0256035,-0.23310706,0.07289465,-0.014008736,0.010718826,0.05163217,0.007878528
chr1-86017950-86018799,-0.724571,0.017658962,0.07801141,-0.80860794,-0.00041364247,0.008479263,0.3903481,0.37346166,0.35971105,0.03960816,-0.26895288,-0.21303545,0.07834772,0.0044116024,0.09683607,0.034691427,0.084857754,0.013363194
chr1-86303182-86304021,-0.19269186,-0.22353886,0.3367228,-0.6568451,0.29960266,-0.14000486,-0.0391418,0.36867434,-0.21000634,0.12906435,0.13588692,-0.10135428,-0.24052586,0.3134731,0.30980277,-0.3578351,-0.25201532,0.013151125
chr1-86669326-86670090,-0.6293566,0.20508853,0.30784747,-1.1241024,0.36124894,0.22674502,-0.019873697,0.32764253,-0.011833538,0.097751446,0.3113721,-0.20736974,-0.05380609,0.078178056,0.09960852,-0.40288466,-0.3252217,0.03429791
chr1-87098443-87099294,0.15520868,-0.1954405,0.3812889,0.32873,-0.28119522,0.047372032,0.02378404,-0.5499458,0.15905485,-0.060903527,-0.23737594,-0.070133545,-0.27006194,0.15218182,0.0951787,0.15881321,0.011523383,-0.022035442
chr1-87184685-87185435,-0.22406799,-0.35206047,-0.026899215,-0.09490159,-0.062871195,0.22328638,0.37300166,0.2524132,-0.043250088,0.010037555,0.016629707,-0.13276531,-0.034930166,-0.07672816,-0.04179971,0.04515698,0.16997537,0.0029060272
chr1-87186715-87187437,0.122343116,-0.23121063,-0.017174363,0.0846586,0.1866708,0.16920725,0.28996438,-0.13859716,-0.13452698,0.051363625,-0.23489189,-0.00579881,-0.1219531,0.0046776994,0.0440718,-0.13010569,-0.3469129,-0.002437919
chr1-87264131-87265018,0.17059721,0.13713996,-0.28544614,-0.3696181,-0.025810832,-0.1182709,-0.02556131,0.41015205,-0.074529484,0.013220199,-0.10560803,0.048571877,-0.22872995,0.018813476,0.0154805565,0.037851803,0.08513532,0.0035701417
