,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9,ATAC private topic 10
chr1-3670671-3671229,0.2593449,0.06626925,0.03177846,0.33472854,-0.078106426,0.1955614,0.42797023,-1.4926138,-0.20990968,-0.2032673,0.14407735,-0.13078849,0.013220891,-0.0104069095,0.0049524903,-0.017153539,-1.1083045,-0.0019110735,0.04303663
chr1-4491860-4492636,-0.42552957,1.1916791,-0.6263634,-0.61052763,-0.7276362,-0.5648125,-0.7057584,1.6389124,0.19170964,-0.4396448,-0.5973329,1.0495447,-0.41223577,-0.86579585,-0.3303457,-0.3126695,1.5607922,-0.3547369,-0.74886143
chr1-4857486-4858245,0.11980003,0.14282146,-0.45493555,-0.2489672,0.12611763,0.5282535,-0.08501513,0.37249187,-0.22810183,0.25187376,-0.055829633,-0.11907018,-0.82071686,-0.54267216,0.045296237,0.05753106,0.6043468,-0.08874379,-0.12359332
chr1-5916789-5917714,0.73516816,-1.1988922,0.40323463,0.88838816,-0.5972066,-1.2432384,0.7659907,-0.25212646,-0.07229041,0.03544638,0.22049631,-0.70028126,0.1181322,-0.18162656,-0.14092542,0.12487072,-0.9242086,-0.30326915,0.556922
chr1-6382537-6383403,-0.746878,0.8786494,0.81100047,-0.63143635,-0.6363991,-0.105835065,-0.6633654,0.28819096,0.5404794,-0.1011975,-0.27989888,-0.495154,0.12628694,-0.42815518,-0.0012253774,0.32894245,-0.18510829,0.40579525,-0.3256263
chr1-9908295-9909165,0.71001303,-1.064149,0.7449035,0.46333748,-1.2576549,-1.0457453,0.29888695,-0.6755158,0.7270451,0.15587603,0.62249863,-0.6138141,-0.22733429,-0.18923348,-0.04934376,-0.24479164,-0.218686,-0.13394772,0.24246542
chr1-10037618-10038504,-0.08288608,0.76136947,-0.23172316,-0.3007245,0.012241943,0.48485127,0.24110833,0.40588996,-0.39329624,-0.38558382,-0.54458135,0.1708734,0.33768755,0.3488736,-0.0617729,-0.92770493,0.5299039,-0.102998964,-0.014258342
chr1-13366217-13367059,0.6920125,0.5556677,-0.34212065,1.078463,-1.060674,-0.93803036,0.67698336,-0.959251,-0.55025935,0.12410292,0.2485528,-0.5431407,0.7160484,-0.55944926,-0.09353184,-0.08327958,-0.10418276,-0.37435153,0.1201146
chr1-14755165-14756117,-0.21596025,-0.43766195,0.4329099,0.1617107,0.0361206,-0.49592924,-0.09949024,-0.30953082,0.25315884,-0.055973407,0.05500095,-0.4309226,0.07064591,0.051686227,-0.045241956,0.077657625,-0.4076687,0.032767437,0.07425137
chr1-16616063-16616914,-0.60414,-0.3982348,0.46592072,-0.10419124,-0.23624586,-0.60673654,0.49602094,0.005234018,0.7759519,0.091566645,0.172582,-0.5204825,-0.38619715,0.06395534,0.10952467,0.07346021,-0.59751976,-0.30906898,0.15040272
