,Shared topic 1,Shared topic 2,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 6,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9
chr1-4857321-4858163,-0.43760663,0.0071154735,0.0014945403,0.03416126,-0.0070634466,0.2571688,-0.0020088782,-0.003250537,-0.023498083,-0.13446207,-0.0145619875,-0.12080643,0.33218807,-0.24445653,0.002973575,-0.111473754,0.17895514
chr1-7088433-7089358,-0.03649699,-0.0039593154,-0.0074926466,0.09534113,0.48309922,0.18234028,-0.18168133,0.0032574343,0.004446483,0.19776449,-0.030966027,-0.025209695,0.5871296,-0.031589117,-0.006347783,-0.10330027,-0.04816054
chr1-7397571-7398463,0.40183473,0.001487781,0.0017229194,-0.063817546,0.31198925,-0.07916617,-0.20546938,-0.025215711,-0.0398834,-0.3203955,-0.024062337,-0.06544037,-0.19664288,0.22545049,-0.0004242762,0.01423907,-0.17419851
chr1-9700077-9700990,0.06591004,0.0013387877,-0.0016461432,0.28886116,-0.10492431,0.1844941,-0.02317851,-0.0018367675,-0.011002281,0.28249454,-0.0042089494,-0.0151875075,0.1753244,-0.0041889646,-0.0013949596,-0.01737631,0.04170361
chr1-9797759-9798672,0.004909817,0.0011575315,-0.0017302235,0.008906791,-0.24181111,-0.44160387,0.07134181,0.0090657445,-0.0049858834,-0.24296996,0.001324842,0.009491836,-0.17997867,-0.013224103,0.0005122437,0.010802911,0.015921444
chr1-9943669-9944540,0.5238275,-6.0519622e-05,0.0019386343,0.058070295,-0.2874521,-0.25947875,-0.16425323,-0.0017512946,-0.04370242,-0.16678904,0.002301477,0.27745238,-0.55361944,0.14232245,0.0016390195,0.024056088,-0.1896246
chr1-10037601-10038484,-0.070896015,-0.00023481331,0.00067737175,0.06273446,-0.028254762,-0.18966967,-0.043961544,-0.0003904771,0.0030054338,-0.19488879,-0.0016048364,-0.25126773,0.13253771,0.0022993716,-9.558259e-06,0.013881229,0.01136144
chr1-10993141-10994051,-0.6773546,-0.00055594515,-0.013167315,0.30865905,-0.28281075,0.46821147,-0.23354167,0.03965967,0.20855857,0.7306106,-0.15065725,0.21231216,0.062756926,-0.68824595,-0.008975253,-0.24785064,-0.21615934
chr1-13372255-13373082,-0.49532646,-0.0003027137,-0.0016147629,0.15271482,0.1399514,-0.011130804,-0.07385682,0.0017610004,0.02434209,0.0027977747,0.0075898496,-0.040894113,0.30058408,-0.113737546,0.0003391169,-0.00095829536,-0.037569158
chr1-14309448-14310320,-0.25595048,-0.0009258532,0.0011808124,0.18792418,-0.12813555,-0.44701204,0.32270265,0.0012278461,0.0076514976,-0.5399265,-0.0057745166,0.034608062,0.057324003,-0.07066103,-0.002566144,0.011973789,-0.015857495
chr1-21078916-21079836,-0.9958765,0.0046266112,0.005183779,0.10286997,0.2524442,0.73495704,-0.04503032,-0.06403371,0.08025464,0.11784431,-0.047242526,-0.3279556,0.47267613,-0.5697539,0.013819549,0.066122964,-0.20835853
chr1-23255839-23256655,0.018220086,-0.00092382485,0.00050267566,-0.024213132,0.30162337,-0.1822583,-0.16690958,-0.0006756831,0.0027610536,0.08545187,-0.0060157166,0.011200893,0.2067758,-0.022193944,0.0005203748,-0.03597787,0.010891491
chr1-23921883-23922700,-0.07429485,0.00048412525,0.0008491314,0.1390875,-0.0324115,-0.22489542,-0.046044763,0.0028675687,-0.003127919,0.05421642,-0.0028453397,0.020214437,-0.13128705,-0.0066267354,-0.00045684105,0.0034045856,-0.013382923
chr1-24612403-24613300,-0.21704277,0.10618643,-0.7221449,-1.1836553,0.5682526,0.8378673,-1.1720793,0.09471761,0.06556451,-0.29958743,-0.9646463,0.77022487,-0.17650235,-0.9977503,-0.85458386,0.59456205,0.72219515
chr1-26909958-26910791,1.7295629,0.034337617,-0.15717033,-1.0788475,-0.625648,-1.2108976,0.46791756,-0.0407444,-0.33776104,-0.70597774,-0.045311674,0.2133287,-1.3564296,1.3405161,-0.021511337,0.47190672,-0.017063305
chr1-32172241-32173154,-0.0886945,0.00167741,0.0076937526,-0.08283662,-0.42518145,-0.5376044,0.06629596,0.008299317,-0.021360451,-0.6206927,0.019845106,-0.042843472,-0.018959474,-0.028577033,-0.00022395389,-0.016939761,0.29361466
chr1-34011067-34011939,-0.76007974,-0.009220083,-0.021440422,0.0013242041,0.16158627,0.11692358,0.06829036,0.016524728,0.17665063,0.060033657,0.39463618,-0.32763538,0.14523861,-0.3528942,0.007631853,-0.08418094,-0.1406105
chr1-34842530-34843432,-0.06406478,0.0005106534,0.0014319964,0.22180362,-0.08259952,-0.04508866,-0.046120144,-0.0014026271,-0.005074335,-0.028485622,0.0018128383,-0.20533805,0.26879388,-0.011983198,-0.0009210387,-0.012212627,-0.092644796
chr1-36067922-36068802,0.2037648,0.00087439216,0.00017298908,-0.1555922,0.177905,0.07607772,-0.07464836,-0.012567069,-0.0060607833,-0.4553927,-0.0012703511,0.048062902,0.14926273,0.081056036,0.00020235406,-0.17336403,0.023347639
chr1-36368656-36369500,0.14615297,-0.00045506022,0.00373899,-0.058062322,-0.38819265,-0.052180063,-0.033665948,0.018134408,0.0025240893,-0.21734461,-0.0076763364,-0.36643213,-0.6886357,0.10673475,0.0011862555,-0.15118836,0.62633854
